config,split,label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,signals,skipped_size,skipped_stop
ref_armA_structural,train,train,4355,2669.8,0.3398,1.6685,-1.3889,0.0319,0.2849,0.0966,0.0003,0.3818,-0.3499,1.204,-9.885,-0.4051,-0.2961,0.618,1523.7,346.6,77.0,12.35,0.6736,11.961,47.2,34.4,65.6,0.0,100781,0,269
ref_armA_structural,valid,valid,1530,648.9,0.3052,1.6761,-1.4148,-0.0529,0.3111,0.1055,0.00191,0.4184,-0.4714,-0.978,-6.523,-0.5657,-0.3824,0.52,720.3,334.2,81.0,13.01,0.6824,,49.3,31.6,68.4,0.0,35003,0,38
armA_5m_atrstop,train,train,9333,3455.6,0.3183,1.3186,-1.7366,-0.0167,0.5581,0.1892,-0.0,0.7473,-0.764,-0.705,-22.163,-0.8045,-0.724,0.355,7131.5,17.1,9.0,26.46,0.2537,,47.5,32.8,67.2,0.0,100781,49216,6
armA_5m_atrstop,valid,valid,5900,776.4,0.3068,1.2704,-1.8931,-0.0298,0.6666,0.226,0.00023,0.8927,-0.9226,-0.568,-9.817,-0.9927,-0.8576,0.297,5443.1,19.5,10.0,50.14,0.2313,,48.5,32.3,67.7,0.0,35003,163,1
armA_1m_structural,train,train,6737,4242.6,0.3352,1.6591,-1.3668,0.0148,0.2745,0.093,-6e-05,0.3674,-0.3526,0.708,-13.421,-0.394,-0.3122,0.612,2383.2,281.9,77.0,19.1,0.6031,24.755,48.8,33.8,66.2,0.0,319643,1120,59
armA_1m_structural,valid,valid,1844,855.7,0.321,1.6407,-1.3962,-0.0255,0.2942,0.0997,0.00186,0.3957,-0.4212,-0.546,-6.837,-0.5014,-0.3376,0.556,774.7,353.0,75.0,15.68,0.6018,,48.3,32.5,67.5,0.0,111536,0,3
1m_A,train,train,8892,1977.6,0.3049,1.2757,-1.8214,-0.0516,0.6166,0.209,-0.00012,0.8255,-0.8772,-1.607,-16.121,-0.9263,-0.8293,0.307,7799.8,16.1,9.0,25.27,0.2326,,48.1,31.6,68.4,0.1,319643,268452,40
1m_A,valid,valid,7877,388.4,0.271,1.0698,-2.3811,-0.033,1.0554,0.3578,-0.00042,1.4127,-1.4457,-0.483,-6.572,-1.5435,-1.3553,0.167,11385.2,17.2,9.0,73.98,0.1559,,49.3,32.2,67.8,0.0,111536,63941,20
1m_C,train,train,7989,7989.0,0.2963,1.1509,-2.2268,-0.0417,0.8846,0.2998,-6e-05,1.1843,-1.226,-2.755,-6.707,-1.625,-1.0073,0.218,9794.4,14.4,8.0,22.7,0.1876,,49.7,31.9,68.1,0.1,1021659,949340,260
1m_C,valid,valid,7245,671.2,0.2483,0.8999,-2.565,-0.0124,1.2637,0.4284,0.00014,1.6922,-1.7046,-0.234,-9.783,-1.8126,-1.6041,0.116,12345.3,16.5,9.0,70.01,0.1234,,49.9,32.9,67.1,0.0,334558,263150,135
1m_B,train,train,8712,1883.9,0.3014,1.2675,-1.8171,-0.0644,0.6147,0.2084,-0.00011,0.8229,-0.8873,-2.022,-16.633,-0.9365,-0.8374,0.301,7730.1,16.0,9.0,24.75,0.2312,,48.2,31.2,68.8,0.1,640004,547178,99
1m_B,valid,valid,7918,355.1,0.273,1.072,-2.3866,-0.0251,1.0587,0.3589,-0.00047,1.4171,-1.4422,-0.337,-5.911,-1.5496,-1.3493,0.169,11416.7,17.4,10.0,74.38,0.1574,,49.2,32.5,67.5,0.0,227069,136763,55
1m_T_C,train,train,8094,6921.6,0.2976,1.1646,-10.2697,-0.04,5.0984,1.7283,-0.00018,6.8265,-6.8665,-2.467,-1.244,-18.5199,-1.0031,0.048,55577.3,15.0,8.0,23.0,0.1924,,49.7,32.0,68.0,0.1,2032905,1888765,652
1m_T_C,valid,valid,7244,413.6,0.2514,0.9208,-2.5279,-0.0127,1.231,0.4173,-4e-05,1.6483,-1.661,-0.186,-7.801,-1.7625,-1.5629,0.122,12026.3,18.4,9.0,68.04,0.1294,,49.9,32.9,67.1,0.0,677821,527001,377
1m_A_atr2.0,train,train,8892,1977.6,0.3049,1.2757,-1.8214,-0.0516,0.6166,0.209,-0.00012,0.8255,-0.8772,-1.607,-16.121,-0.9263,-0.8293,0.307,7799.8,16.1,9.0,25.27,0.2326,,48.1,31.6,68.4,0.1,319643,268452,40
1m_A_atr2.0,valid,valid,7877,388.4,0.271,1.0698,-2.3811,-0.033,1.0554,0.3578,-0.00042,1.4127,-1.4457,-0.483,-6.572,-1.5435,-1.3553,0.167,11385.2,17.2,9.0,73.98,0.1559,,49.3,32.2,67.8,0.0,111536,63941,20
1m_A_atr3.5,train,train,13019,5307.9,0.334,1.5143,-1.5043,0.0098,0.3779,0.1281,-0.00013,0.5059,-0.4961,0.509,-20.042,-0.5286,-0.4663,0.505,6457.8,62.3,31.0,36.9,0.3775,51.861,49.2,33.7,66.3,0.0,319643,148116,33
1m_A_atr3.5,valid,valid,6934,1141.4,0.3212,1.481,-1.5959,-0.0187,0.4393,0.1489,0.00077,0.5889,-0.6077,-0.454,-9.415,-0.66,-0.5565,0.439,4211.6,77.1,34.0,58.93,0.3542,,49.5,32.7,67.3,0.0,111536,654,0
1m_A_atr5.0,train,train,9485,3712.5,0.3319,1.6644,-1.3839,0.008,0.2841,0.0963,-0.00018,0.3802,-0.3722,0.35,-11.632,-0.4124,-0.3336,0.597,3539.2,176.0,70.0,26.88,0.5852,47.449,49.5,33.6,66.4,0.0,319643,31124,52
1m_A_atr5.0,valid,valid,3061,1239.5,0.3404,1.6788,-1.3459,0.0232,0.2523,0.0855,0.00168,0.3395,-0.3163,0.542,-6.617,-0.3785,-0.2588,0.644,970.3,204.7,81.0,26.02,0.5813,14.636,49.6,34.1,65.9,0.0,111536,0,3
1m_A_atr7.0,train,train,4134,2806.6,0.3481,1.7841,-1.2227,0.045,0.165,0.0559,0.00011,0.221,-0.176,1.682,-5.96,-0.2234,-0.1277,0.779,744.2,478.1,177.0,11.72,0.9456,4.913,49.4,34.8,65.2,0.0,319643,0,90
1m_A_atr7.0,valid,valid,1220,769.2,0.3361,1.8124,-1.2077,0.0082,0.1483,0.0503,0.00242,0.2009,-0.1927,0.153,-3.26,-0.2797,-0.0997,0.76,236.9,545.2,202.5,10.37,1.0163,24.515,49.6,33.6,66.4,0.1,111536,0,3
