config,arm,sl_pct,target_r,drop_5m,label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct
ArmA  SL=0.25%  TP=2R,A,0.0025,2.0,False,train,8748,7984.9,0.3229,1.344,-1.6925,-0.0305,0.5089,0.1725,1e-05,0.6814,-0.7119,-2.024,-37.751,-0.7471,-0.6772,0.379,6226.2,14.8,4.0,24.86,0.25,,43.3,32.3,67.7,1.2
ArmA  SL=0.25%  TP=2R,A,0.0025,2.0,False,valid,6949,3976.1,0.3285,1.3628,-1.6438,-0.014,0.4793,0.1625,0.00028,0.6421,-0.656,-0.621,-29.568,-0.6896,-0.6227,0.406,4558.4,20.4,7.0,59.05,0.25,,49.3,32.9,67.1,0.4
ArmA  SL=0.50%  TP=2R,A,0.005,2.0,False,train,10870,6884.5,0.3392,1.6815,-1.3202,0.0176,0.2388,0.081,-0.00016,0.3196,-0.3021,1.051,-18.466,-0.3273,-0.2763,0.654,3285.5,72.2,24.0,30.82,0.5,18.191,44.7,33.9,66.1,0.2
ArmA  SL=0.50%  TP=2R,A,0.005,2.0,False,valid,3528,1880.8,0.333,1.6803,-1.3191,-0.0009,0.2371,0.0804,0.00186,0.3193,-0.3201,-0.027,-9.934,-0.366,-0.2718,0.636,1130.6,86.8,32.0,29.98,0.5,,48.9,33.3,66.7,0.1
ArmA  SL=0.75%  TP=2R,A,0.0075,2.0,False,train,7437,4604.1,0.3473,1.7883,-1.212,0.042,0.1582,0.0536,0.00011,0.2119,-0.17,2.044,-8.471,-0.2,-0.1389,0.785,1277.5,154.2,56.0,21.09,0.75,5.051,45.8,34.7,65.3,0.1
ArmA  SL=0.75%  TP=2R,A,0.0075,2.0,False,valid,2272,1205.1,0.346,1.7857,-1.2132,0.0379,0.1577,0.0535,0.00243,0.2136,-0.1758,0.945,-4.345,-0.2317,-0.1172,0.779,398.9,189.4,76.0,19.31,0.75,5.643,49.3,34.6,65.4,0.1
ArmA  SL=1.00%  TP=2R,A,0.01,2.0,False,train,5342,3436.0,0.3463,1.8411,-1.1586,0.0389,0.1184,0.0402,0.00013,0.1587,-0.1198,1.657,-5.147,-0.1564,-0.0824,0.842,653.2,261.7,105.0,15.15,1.0,4.076,46.6,34.6,65.4,0.1
ArmA  SL=1.00%  TP=2R,A,0.01,2.0,False,valid,1615,851.0,0.3511,1.8387,-1.1615,0.0533,0.1183,0.0401,0.00305,0.1614,-0.1082,1.142,-2.327,-0.1736,-0.0408,0.856,186.8,313.3,134.0,13.72,1.0,3.032,49.7,35.1,64.9,0.1
ArmA  SL=1.50%  TP=2R,A,0.015,2.0,False,train,3105,2110.1,0.3601,1.8937,-1.1059,0.0802,0.0788,0.0267,0.00043,0.106,-0.0258,2.669,-0.828,-0.0752,0.0233,0.964,156.1,547.7,242.0,8.81,1.5,1.322,46.9,36.0,64.0,0.1
ArmA  SL=1.50%  TP=2R,A,0.015,2.0,False,valid,887,372.9,0.3382,1.8878,-1.1103,0.0147,0.0787,0.0267,0.00557,0.111,-0.0963,0.201,-1.302,-0.1897,-0.0032,0.869,100.0,676.6,318.0,7.54,1.5,7.572,49.4,33.8,66.2,0.0
ArmA  SL=2.00%  TP=2R,A,0.02,2.0,False,train,2010,1456.7,0.3637,1.9204,-1.0791,0.091,0.0591,0.02,0.00016,0.0793,0.0118,2.472,0.321,-0.0495,0.07,1.017,66.2,920.2,383.0,5.7,2.0,0.871,47.3,36.4,63.6,0.1
ArmA  SL=2.00%  TP=2R,A,0.02,2.0,False,valid,587,286.4,0.3441,1.9083,-1.0814,0.0324,0.059,0.02,0.0059,0.0849,-0.0526,0.427,-0.694,-0.1536,0.0534,0.926,44.7,1077.8,596.0,4.99,2.0,2.624,49.9,34.4,65.6,0.0
ArmA  SL=3.00%  TP=2R,A,0.03,2.0,False,train,1071,773.2,0.3455,1.9469,-1.0538,0.0364,0.0394,0.0133,0.00085,0.0536,-0.0172,0.763,-0.35,-0.0986,0.0641,0.975,58.4,1857.3,947.0,3.04,3.0,1.471,47.8,34.5,65.5,0.0
ArmA  SL=3.00%  TP=2R,A,0.03,2.0,False,valid,279,205.6,0.3728,1.9463,-1.0535,0.1183,0.0393,0.0133,0.00093,0.0536,0.0647,1.386,0.753,-0.0775,0.2059,1.098,14.7,2443.5,1231.0,2.39,3.0,0.453,48.7,37.3,62.7,0.0
ArmA  SL=4.00%  TP=2R,A,0.04,2.0,False,train,643,466.7,0.3608,1.9592,-1.0419,0.0824,0.0295,0.01,0.00195,0.0415,0.0409,1.264,0.625,-0.071,0.1489,1.061,19.9,3173.0,1516.0,1.83,4.0,0.503,47.1,36.1,63.9,0.0
