confirm,max_wait,rr,tr_trades,tr_win_rate,tr_gross_r,tr_net_r,tr_t,tr_trades_per_day,va_trades,va_win_rate,va_gross_r,va_net_r,va_t,va_trades_per_day
break_extreme,3,1.5,8498,0.3996,-0.0009,-0.1594,-12.0,24.09,2278,0.3867,-0.0331,-0.191,-6.4,19.36
break_extreme,5,1.5,8848,0.3974,-0.0066,-0.1652,-12.43,25.08,2350,0.3911,-0.0223,-0.18,-6.4,19.97
break_extreme,10,1.5,9120,0.385,-0.0376,-0.1962,-14.25,25.85,2416,0.3804,-0.049,-0.2063,-6.69,20.54
break_extreme,30,1.5,9271,0.3835,-0.0414,-0.1999,-14.54,26.28,2475,0.3863,-0.0343,-0.1922,-6.33,21.04
n_closes,3,1.5,9765,0.3908,-0.023,-0.1813,-12.4,27.68,2610,0.3958,-0.0105,-0.167,-5.1,22.19
n_closes,5,1.5,9765,0.3908,-0.023,-0.1813,-12.4,27.68,2610,0.3958,-0.0105,-0.167,-5.1,22.19
n_closes,10,1.5,9765,0.3908,-0.023,-0.1813,-12.4,27.68,2610,0.3958,-0.0105,-0.167,-5.1,22.19
n_closes,30,1.5,9765,0.3908,-0.023,-0.1813,-12.4,27.68,2610,0.3958,-0.0105,-0.167,-5.1,22.19
adx_rise,3,1.5,4616,0.4021,0.0052,-0.153,-7.98,13.09,1403,0.407,0.0175,-0.1409,-3.94,11.93
adx_rise,5,1.5,5019,0.4027,0.0067,-0.1515,-8.6,14.23,1532,0.4086,0.0215,-0.1363,-4.01,13.02
adx_rise,10,1.5,5995,0.407,0.0175,-0.1408,-8.19,17.0,1786,0.3947,-0.0132,-0.1702,-5.15,15.18
adx_rise,30,1.5,7548,0.4042,0.0105,-0.1478,-9.57,21.4,2155,0.3889,-0.0278,-0.1819,-6.23,18.32
di_widen,3,1.5,9466,0.3906,-0.0236,-0.1816,-12.23,26.83,2518,0.4063,0.0157,-0.1412,-4.45,21.4
di_widen,5,1.5,9556,0.3865,-0.0339,-0.1919,-13.16,27.09,2546,0.4026,0.0065,-0.1501,-4.57,21.64
di_widen,10,1.5,9604,0.389,-0.0275,-0.1855,-12.57,27.22,2555,0.398,-0.0049,-0.161,-4.82,21.72
di_widen,30,1.5,9633,0.3871,-0.0322,-0.1903,-12.91,27.31,2558,0.4007,0.0018,-0.1544,-4.65,21.74
wpr_cross,3,1.5,3869,0.3836,-0.0411,-0.1989,-9.64,10.97,1060,0.4,0.0,-0.1562,-3.67,9.01
wpr_cross,5,1.5,4946,0.3886,-0.0285,-0.1863,-9.78,14.02,1330,0.3977,-0.0056,-0.161,-4.16,11.3
wpr_cross,10,1.5,6213,0.391,-0.0226,-0.1803,-10.15,17.61,1674,0.3973,-0.0069,-0.1634,-4.23,14.23
wpr_cross,30,1.5,7674,0.3883,-0.0292,-0.1871,-11.02,21.75,2060,0.3845,-0.0388,-0.1954,-5.31,17.51
break_extreme,3,2.0,6925,0.3303,-0.0092,-0.1679,-9.8,19.63,1863,0.3306,-0.0081,-0.1676,-4.37,15.83
break_extreme,5,2.0,7177,0.3259,-0.0223,-0.1809,-9.92,20.35,1898,0.3335,0.0005,-0.1592,-4.37,16.13
break_extreme,10,2.0,7416,0.315,-0.055,-0.2135,-11.79,21.02,1970,0.3239,-0.0284,-0.1873,-4.88,16.74
break_extreme,30,2.0,7548,0.3165,-0.0505,-0.2089,-11.51,21.4,2034,0.3279,-0.0162,-0.1758,-4.63,17.29
