config,rr,tr_trades,tr_win_rate,tr_gross_r,tr_cost_r,tr_net_r,tr_t,tr_trades_per_day,va_trades,va_win_rate,va_gross_r,va_cost_r,va_net_r,va_t,va_trades_per_day
entry 0 bar(s) after flip,1.0,13278,0.4937,-0.0127,0.1584,-0.1711,-15.31,37.62,3593,0.5013,0.0025,0.1574,-0.1549,-6.29,30.54
entry 1 bar(s) after flip,1.0,13088,0.4909,-0.0182,0.1582,-0.1764,-16.24,37.1,3563,0.5007,0.0014,0.1572,-0.1558,-7.04,30.28
entry 2 bar(s) after flip,1.0,13313,0.4932,-0.0136,0.1584,-0.172,-16.87,37.72,3602,0.4853,-0.0294,0.1576,-0.187,-9.22,30.61
entry 3 bar(s) after flip,1.0,13186,0.495,-0.01,0.1582,-0.1682,-16.93,37.36,3580,0.5003,0.0006,0.1575,-0.1569,-8.23,30.43
entry 5 bar(s) after flip,1.0,13161,0.5024,0.0048,0.1586,-0.1538,-15.23,37.29,3582,0.5061,0.0123,0.1576,-0.1453,-7.62,30.45
entry 10 bar(s) after flip,1.0,12601,0.5034,0.0067,0.1584,-0.1517,-15.46,35.7,3472,0.4986,-0.0029,0.1567,-0.1596,-7.67,29.51
entry 20 bar(s) after flip,1.0,10598,0.5052,0.0104,0.1582,-0.1479,-14.37,30.04,2975,0.4998,-0.0003,0.1582,-0.1585,-6.94,25.29
entry 40 bar(s) after flip,1.0,4697,0.501,0.0019,0.1583,-0.1564,-9.67,13.32,1536,0.5247,0.0495,0.1583,-0.1088,-3.88,13.05
flip + ADX(28)>=25,1.0,10763,0.4889,-0.0222,0.1585,-0.1807,-14.9,30.51,3059,0.4962,-0.0075,0.1568,-0.1643,-6.26,26.0
REFERENCE: any bar in direction,1.0,17454,0.5028,0.0055,0.1592,-0.1537,-17.13,49.46,4938,0.4984,-0.0032,0.1589,-0.1622,-7.76,41.96
entry 0 bar(s) after flip,1.5,9717,0.3893,-0.0267,0.1582,-0.1849,-11.97,27.54,2570,0.3961,-0.0097,0.1563,-0.166,-4.43,21.85
entry 1 bar(s) after flip,1.5,9666,0.3903,-0.0242,0.1579,-0.1821,-11.67,27.4,2586,0.3971,-0.0072,0.1555,-0.1626,-4.95,21.98
entry 2 bar(s) after flip,1.5,9765,0.3908,-0.023,0.1583,-0.1813,-12.4,27.68,2611,0.396,-0.01,0.1565,-0.1665,-5.08,22.19
entry 3 bar(s) after flip,1.5,9782,0.3971,-0.0074,0.1581,-0.1655,-11.87,27.72,2594,0.4009,0.0023,0.1568,-0.1545,-5.08,22.05
entry 5 bar(s) after flip,1.5,9644,0.4002,0.0006,0.1586,-0.158,-10.54,27.33,2578,0.4077,0.0192,0.1577,-0.1385,-4.89,21.91
entry 10 bar(s) after flip,1.5,9368,0.4006,0.0015,0.1584,-0.1569,-10.71,26.56,2536,0.4062,0.0154,0.1572,-0.1419,-4.95,21.56
entry 20 bar(s) after flip,1.5,8181,0.3991,-0.0023,0.1584,-0.1607,-10.87,23.19,2281,0.3985,-0.0037,0.1591,-0.1629,-5.7,19.39
entry 40 bar(s) after flip,1.5,4098,0.4039,0.0096,0.1582,-0.1486,-7.07,11.62,1298,0.4168,0.042,0.1581,-0.1161,-3.09,11.04
flip + ADX(28)>=25,1.5,8350,0.3829,-0.0428,0.1583,-0.2011,-11.88,23.66,2288,0.3982,-0.0046,0.1567,-0.1613,-4.26,19.46
REFERENCE: any bar in direction,1.5,12986,0.4017,0.0042,0.1591,-0.155,-11.43,36.81,3380,0.3997,-0.0007,0.1588,-0.1595,-4.88,28.72
entry 0 bar(s) after flip,2.0,7770,0.3238,-0.0286,0.1579,-0.1865,-9.01,22.03,2052,0.3358,0.0073,0.1555,-0.1482,-2.94,17.45
entry 1 bar(s) after flip,2.0,7775,0.3242,-0.0273,0.1577,-0.185,-8.58,22.04,2029,0.3342,0.0025,0.1558,-0.1533,-3.26,17.25
entry 2 bar(s) after flip,2.0,7826,0.3243,-0.0271,0.1582,-0.1853,-9.23,22.19,2097,0.3319,-0.0043,0.1572,-0.1615,-3.87,17.82
entry 3 bar(s) after flip,2.0,7802,0.3318,-0.0045,0.1581,-0.1626,-8.51,22.12,2073,0.3449,0.0347,0.1571,-0.1224,-2.76,17.62
entry 5 bar(s) after flip,2.0,7845,0.3282,-0.0153,0.1584,-0.1737,-9.42,22.24,2041,0.3395,0.0186,0.1566,-0.138,-3.68,17.35
entry 10 bar(s) after flip,2.0,7577,0.3352,0.0057,0.1583,-0.1526,-8.71,21.48,2062,0.3375,0.0126,0.1578,-0.1452,-3.7,17.53
entry 20 bar(s) after flip,2.0,6688,0.3442,0.0326,0.1587,-0.1261,-6.42,18.96,1861,0.3326,-0.0021,0.1602,-0.1624,-4.16,15.82
entry 40 bar(s) after flip,2.0,3659,0.3389,0.0167,0.1586,-0.142,-5.58,10.37,1138,0.3418,0.0255,0.1584,-0.1329,-2.74,9.68
flip + ADX(28)>=25,2.0,6797,0.3172,-0.0484,0.158,-0.2064,-9.62,19.26,1848,0.3404,0.0211,0.157,-0.1359,-2.96,15.72
REFERENCE: any bar in direction,2.0,9948,0.3407,0.022,0.1593,-0.1373,-8.09,28.19,2641,0.3306,-0.0083,0.1592,-0.1676,-4.65,22.44
