st,adx,di,wpr,tr_trades,tr_n_eff,tr_win_rate,tr_gross_r,tr_cost_r,tr_net_r,tr_se,tr_t,tr_trades_per_day,va_trades,va_n_eff,va_win_rate,va_gross_r,va_cost_r,va_net_r,va_se,va_t,va_trades_per_day
0,0,0,wpr_A,9928,7158.9,0.3383,0.015,0.1591,-0.1441,0.0168,-8.59,28.13,2632,1573.7,0.318,-0.046,0.1616,-0.2075,0.0352,-5.9,22.38
0,0,0,wpr_B,9769,5702.4,0.338,0.014,0.1595,-0.1455,0.0188,-7.73,27.69,2579,1321.0,0.3346,0.0039,0.161,-0.1571,0.0389,-4.04,21.92
0,0,0,wpr_C,7716,4406.5,0.3239,-0.0284,0.1579,-0.1863,0.0212,-8.81,21.87,2091,798.6,0.3376,0.0129,0.1553,-0.1424,0.0502,-2.83,17.77
0,0,0,wpr_pullback,8989,4920.4,0.3272,-0.0185,0.1577,-0.1761,0.0201,-8.78,25.48,2385,890.0,0.3384,0.0151,0.156,-0.1409,0.0476,-2.96,20.27
0,0,0,wpr_band,8140,4580.6,0.3291,-0.0127,0.1582,-0.1709,0.0208,-8.2,23.07,2197,824.2,0.3332,-0.0005,0.1563,-0.1568,0.0493,-3.18,18.68
0,0,1,wpr_none,9972,6689.7,0.338,0.0141,0.1593,-0.1451,0.0174,-8.35,28.25,2606,1395.2,0.3262,-0.0215,0.1594,-0.1809,0.0376,-4.81,22.14
0,0,1,wpr_A,9723,7042.8,0.3376,0.0127,0.1595,-0.1469,0.0169,-8.68,27.55,2553,1208.4,0.3286,-0.0141,0.16,-0.1741,0.0405,-4.3,21.7
0,0,1,wpr_B,9469,5815.7,0.3367,0.01,0.1595,-0.1494,0.0186,-8.03,26.84,2508,1160.4,0.3285,-0.0144,0.1602,-0.1746,0.0414,-4.22,21.31
0,0,1,wpr_C,4883,3709.1,0.3391,0.0174,0.1574,-0.1399,0.0233,-6.0,13.84,1334,880.1,0.3306,-0.0082,0.1548,-0.163,0.0476,-3.42,11.34
0,0,1,wpr_pullback,5080,3651.0,0.3376,0.0128,0.1573,-0.1446,0.0235,-6.15,14.4,1378,930.8,0.3374,0.0123,0.1551,-0.1428,0.0465,-3.07,11.71
0,0,1,wpr_band,7345,5235.0,0.3325,-0.0026,0.1582,-0.1608,0.0195,-8.23,20.82,1999,1261.5,0.3412,0.0235,0.1543,-0.1307,0.0401,-3.26,17.0
0,1,0,wpr_none,9007,3793.1,0.3279,-0.0164,0.1602,-0.1766,0.0229,-7.72,25.53,2413,861.2,0.3195,-0.0414,0.1407,-0.1822,0.0478,-3.81,20.52
