day,symbol,side
2025-03-02 00:00:00+00:00,LTCUSD,LONG
2025-03-02 00:00:00+00:00,BNBUSD,LONG
2025-03-02 00:00:00+00:00,BTCUSD,LONG
2025-03-02 00:00:00+00:00,POPCATUSD,LONG
2025-03-02 00:00:00+00:00,ARCUSD,SHORT
2025-03-02 00:00:00+00:00,TRUMPUSD,SHORT
2025-03-02 00:00:00+00:00,FARTCOINUSD,SHORT
2025-03-02 00:00:00+00:00,GRIFFAINUSD,SHORT
2025-04-01 00:00:00+00:00,FARTCOINUSD,LONG
2025-04-01 00:00:00+00:00,ADAUSD,LONG
2025-04-01 00:00:00+00:00,BNBUSD,LONG
2025-04-01 00:00:00+00:00,LTCUSD,SHORT
2025-04-01 00:00:00+00:00,PIUSD,SHORT
2025-04-01 00:00:00+00:00,ARCUSD,SHORT
2025-05-01 00:00:00+00:00,FARTCOINUSD,LONG
2025-05-01 00:00:00+00:00,LAYERUSD,LONG
2025-05-01 00:00:00+00:00,POPCATUSD,LONG
2025-05-01 00:00:00+00:00,ARCUSD,LONG
2025-05-01 00:00:00+00:00,LTCUSD,SHORT
2025-05-01 00:00:00+00:00,BNBUSD,SHORT
2025-05-01 00:00:00+00:00,ETHUSD,SHORT
2025-05-01 00:00:00+00:00,PIUSD,SHORT
2025-05-31 00:00:00+00:00,MOODENGUSD,LONG
2025-05-31 00:00:00+00:00,KAITOUSD,LONG
2025-05-31 00:00:00+00:00,AAVEUSD,LONG
2025-05-31 00:00:00+00:00,ETHUSD,LONG
2025-05-31 00:00:00+00:00,VIRTUALUSD,LONG
2025-05-31 00:00:00+00:00,GLMUSD,SHORT
2025-05-31 00:00:00+00:00,FARTCOINUSD,SHORT
2025-05-31 00:00:00+00:00,TRUMPUSD,SHORT
2025-05-31 00:00:00+00:00,ARCUSD,SHORT
2025-05-31 00:00:00+00:00,LAYERUSD,SHORT
2025-06-30 00:00:00+00:00,SPXUSD,LONG
2025-06-30 00:00:00+00:00,BCHUSD,LONG
2025-06-30 00:00:00+00:00,UNIUSD,LONG
2025-06-30 00:00:00+00:00,AAVEUSD,LONG
