day,symbol,side,turnover
2025-07-02 00:00:00+00:00,BNBUSD,SHORT,2945702.4785
2025-07-02 00:00:00+00:00,ETHUSD,SHORT,545997673.1645
2025-07-02 00:00:00+00:00,BCHUSD,LONG,5686317.09295
2025-07-02 00:00:00+00:00,DOGEUSD,LONG,5592536.18
2025-07-09 00:00:00+00:00,BNBUSD,SHORT,2906033.4095
2025-07-09 00:00:00+00:00,ETHUSD,SHORT,522665520.07975006
2025-07-09 00:00:00+00:00,DOGEUSD,LONG,5496764.752
2025-07-09 00:00:00+00:00,BCHUSD,LONG,6523259.3444
2025-07-16 00:00:00+00:00,LINKUSD,SHORT,1858666.7505
2025-07-16 00:00:00+00:00,BNBUSD,SHORT,2769240.892
2025-07-16 00:00:00+00:00,DOGEUSD,LONG,5635259.089
2025-07-16 00:00:00+00:00,BCHUSD,LONG,6259744.63225
2025-07-23 00:00:00+00:00,LINKUSD,SHORT,1955275.9925
2025-07-23 00:00:00+00:00,ADAUSD,SHORT,2470552.7901999997
2025-07-23 00:00:00+00:00,UNIUSD,LONG,5379371.8265
2025-07-23 00:00:00+00:00,BCHUSD,LONG,5344756.584899999
2025-07-30 00:00:00+00:00,BNBUSD,SHORT,3233379.193
2025-07-30 00:00:00+00:00,LINKUSD,SHORT,2291172.2819999997
2025-07-30 00:00:00+00:00,AAVEUSD,LONG,4342593.055
2025-07-30 00:00:00+00:00,DOGEUSD,LONG,11998782.886
2025-08-06 00:00:00+00:00,BNBUSD,SHORT,3525343.3495000005
2025-08-06 00:00:00+00:00,ETHUSD,SHORT,851278282.5430001
2025-08-06 00:00:00+00:00,DOGEUSD,LONG,14445711.35
2025-08-06 00:00:00+00:00,AVAXUSD,LONG,5801100.483999999
2025-08-13 00:00:00+00:00,BNBUSD,SHORT,5300055.667
2025-08-13 00:00:00+00:00,ETHUSD,SHORT,880496388.26175
2025-08-13 00:00:00+00:00,DOGEUSD,LONG,14603390.6985
2025-08-13 00:00:00+00:00,AVAXUSD,LONG,6742268.398
2025-08-20 00:00:00+00:00,BNBUSD,SHORT,6665159.924000001
2025-08-20 00:00:00+00:00,SOLUSD,SHORT,225524501.6825
2025-08-20 00:00:00+00:00,BCHUSD,LONG,4109926.06575
2025-08-20 00:00:00+00:00,AVAXUSD,LONG,8551252.555
2025-08-27 00:00:00+00:00,SOLUSD,SHORT,229492067.83500004
2025-08-27 00:00:00+00:00,BTCUSD,SHORT,542270141.595
2025-08-27 00:00:00+00:00,AVAXUSD,LONG,8821824.423999999
2025-08-27 00:00:00+00:00,DOGEUSD,LONG,12648234.798500001
2025-09-03 00:00:00+00:00,BNBUSD,SHORT,5922798.314000001
2025-09-03 00:00:00+00:00,ETHUSD,SHORT,1032527911.08375
2025-09-03 00:00:00+00:00,BCHUSD,LONG,3274023.2601
2025-09-03 00:00:00+00:00,AVAXUSD,LONG,8551252.555
2025-09-10 00:00:00+00:00,BNBUSD,SHORT,5566221.811500001
2025-09-10 00:00:00+00:00,SOLUSD,SHORT,301101390.345
2025-09-10 00:00:00+00:00,AVAXUSD,LONG,8551252.555
2025-09-10 00:00:00+00:00,BCHUSD,LONG,3335829.32415
2025-09-17 00:00:00+00:00,BNBUSD,SHORT,5206852.606000001
2025-09-17 00:00:00+00:00,ETHUSD,SHORT,953755223.5135
2025-09-17 00:00:00+00:00,AAVEUSD,LONG,2619530.19
2025-09-17 00:00:00+00:00,AVAXUSD,LONG,8918197.394000001
2025-09-24 00:00:00+00:00,BNBUSD,SHORT,5416696.152000001
