day,n_eligible,k
2025-01-01 00:00:00+00:00,0,0
2025-01-08 00:00:00+00:00,0,0
2025-01-15 00:00:00+00:00,0,0
2025-01-22 00:00:00+00:00,0,0
2025-01-29 00:00:00+00:00,0,0
2025-02-05 00:00:00+00:00,0,0
2025-02-12 00:00:00+00:00,0,0
2025-02-19 00:00:00+00:00,0,0
2025-02-26 00:00:00+00:00,0,0
2025-03-05 00:00:00+00:00,0,0
2025-03-12 00:00:00+00:00,0,0
2025-03-19 00:00:00+00:00,0,0
2025-03-26 00:00:00+00:00,0,0
2025-04-02 00:00:00+00:00,0,0
2025-04-09 00:00:00+00:00,0,0
2025-04-16 00:00:00+00:00,0,0
2025-04-23 00:00:00+00:00,0,0
2025-04-30 00:00:00+00:00,0,0
2025-05-07 00:00:00+00:00,0,0
2025-05-14 00:00:00+00:00,0,0
2025-05-21 00:00:00+00:00,0,0
2025-05-28 00:00:00+00:00,0,0
2025-06-04 00:00:00+00:00,0,0
2025-06-11 00:00:00+00:00,0,0
2025-06-18 00:00:00+00:00,0,0
2025-06-25 00:00:00+00:00,0,0
2025-07-02 00:00:00+00:00,13,2
2025-07-09 00:00:00+00:00,13,2
2025-07-16 00:00:00+00:00,13,2
2025-07-23 00:00:00+00:00,13,2
2025-07-30 00:00:00+00:00,13,2
2025-08-06 00:00:00+00:00,13,2
2025-08-13 00:00:00+00:00,13,2
2025-08-20 00:00:00+00:00,13,2
2025-08-27 00:00:00+00:00,13,2
2025-09-03 00:00:00+00:00,13,2
2025-09-10 00:00:00+00:00,13,2
2025-09-17 00:00:00+00:00,13,2
2025-09-24 00:00:00+00:00,13,2
2025-10-01 00:00:00+00:00,13,2
2025-10-08 00:00:00+00:00,13,2
2025-10-15 00:00:00+00:00,13,2
2025-10-22 00:00:00+00:00,13,2
2025-10-29 00:00:00+00:00,13,2
2025-11-05 00:00:00+00:00,13,2
2025-11-12 00:00:00+00:00,13,2
2025-11-19 00:00:00+00:00,13,2
2025-11-26 00:00:00+00:00,13,2
2025-12-03 00:00:00+00:00,14,2
2025-12-10 00:00:00+00:00,13,2
2025-12-17 00:00:00+00:00,13,2
2025-12-24 00:00:00+00:00,14,2
2025-12-31 00:00:00+00:00,13,2
2026-01-07 00:00:00+00:00,13,2
2026-01-14 00:00:00+00:00,14,2
2026-01-21 00:00:00+00:00,14,2
2026-01-28 00:00:00+00:00,14,2
2026-02-04 00:00:00+00:00,14,2
2026-02-11 00:00:00+00:00,14,2
2026-02-18 00:00:00+00:00,13,2
2026-02-25 00:00:00+00:00,10,2
2026-03-04 00:00:00+00:00,12,2
2026-03-11 00:00:00+00:00,11,2
2026-03-18 00:00:00+00:00,9,2
2026-03-25 00:00:00+00:00,10,2
2026-04-01 00:00:00+00:00,10,2
2026-04-08 00:00:00+00:00,11,2
2026-04-15 00:00:00+00:00,10,2
2026-04-22 00:00:00+00:00,10,2
2026-04-29 00:00:00+00:00,9,2
2026-05-06 00:00:00+00:00,11,2
2026-05-13 00:00:00+00:00,11,2
2026-05-20 00:00:00+00:00,11,2
2026-05-27 00:00:00+00:00,10,2
2026-06-03 00:00:00+00:00,11,2
2026-06-10 00:00:00+00:00,11,2
2026-06-17 00:00:00+00:00,11,2
2026-06-24 00:00:00+00:00,11,2
2026-07-01 00:00:00+00:00,10,2
2026-07-08 00:00:00+00:00,12,2
2026-07-15 00:00:00+00:00,11,2
2026-07-22 00:00:00+00:00,11,2
2026-07-29 00:00:00+00:00,11,2
2026-08-05 00:00:00+00:00,10,2
2026-08-12 00:00:00+00:00,9,2
2026-08-19 00:00:00+00:00,10,2
2026-08-26 00:00:00+00:00,12,2
