label,trades,effective_n,deff,win_rate,gross_r,cost_r,funding_r,net_r,median_r,avg_win,avg_loss,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_net,t_gross,hold_mean,hold_median,stop_pct_mean,stop_pct_median,pct_positive_months,pct_target,pct_stop,pct_time,pct_long,percentile,min_duration,volume_mult,body_mult,target_r
percentile=0.1|min_duration=4|volume_mult=1.0|body_mult=0.25|target_r=2.0,43,43.0,1.0,0.3488,0.0045,0.3846,-0.00416,-0.376,-0.8118,1.1319,-1.1838,0.512,-22.872,-37.345,18.02,-0.6799,-0.0776,-2.429,0.027,15.63,19.0,0.361,0.371,20.0,14.0,46.5,39.5,48.8,0.1,4,1.0,0.25,2.0
percentile=0.1|min_duration=4|volume_mult=1.0|body_mult=0.25|target_r=3.0,43,43.0,1.0,0.3023,-0.049,0.41,-0.0055,-0.4536,-0.8807,1.1949,-1.1679,0.443,-26.088,-44.912,21.9,-0.7808,-0.113,-2.625,-0.293,16.23,22.0,0.361,0.371,0.0,7.0,48.8,44.2,48.8,0.1,4,1.0,0.25,3.0
percentile=0.1|min_duration=4|volume_mult=1.0|body_mult=0.5|target_r=2.0,40,40.0,1.0,0.325,-0.0161,0.3969,-0.00371,-0.4093,-0.8463,1.1896,-1.1792,0.486,-24.857,-40.306,18.23,-0.7205,-0.0713,-2.441,-0.09,15.32,18.5,0.351,0.318,20.0,15.0,47.5,37.5,50.0,0.1,4,1.0,0.5,2.0
percentile=0.1|min_duration=4|volume_mult=1.0|body_mult=0.5|target_r=3.0,40,39.9,1.0,0.275,-0.0736,0.4243,-0.00514,-0.4927,-1.0256,1.2746,-1.1631,0.416,-28.231,-48.352,22.11,-0.8438,-0.1086,-2.58,-0.389,15.97,21.0,0.351,0.318,0.0,7.5,50.0,42.5,50.0,0.1,4,1.0,0.5,3.0
percentile=0.1|min_duration=4|volume_mult=1.0|body_mult=0.75|target_r=2.0,36,36.0,1.0,0.3611,0.0632,0.4078,-0.00412,-0.3405,-0.6346,1.1896,-1.2053,0.558,-19.365,-30.914,14.11,-0.6783,0.006,-1.935,0.361,16.31,19.5,0.348,0.315,20.0,16.7,44.4,38.9,47.2,0.1,4,1.0,0.75,2.0
percentile=0.1|min_duration=4|volume_mult=1.0|body_mult=0.75|target_r=3.0,36,36.0,1.0,0.3056,-0.0007,0.4382,-0.00571,-0.4331,-0.8463,1.2746,-1.1846,0.473,-23.124,-39.334,17.99,-0.8321,-0.0273,-2.067,-0.004,17.03,22.0,0.348,0.315,0.0,8.3,47.2,44.4,47.2,0.1,4,1.0,0.75,3.0
percentile=0.1|min_duration=4|volume_mult=1.5|body_mult=0.25|target_r=2.0,36,36.0,1.0,0.3611,0.069,0.3014,-0.00612,-0.2263,-0.4467,1.1585,-1.0091,0.649,-15.129,-38.17,13.06,-0.5447,0.0822,-1.4,0.415,16.78,20.0,0.365,0.318,20.0,16.7,41.7,41.7,52.8,0.1,4,1.5,0.25,2.0
percentile=0.1|min_duration=4|volume_mult=1.5|body_mult=0.25|target_r=3.0,36,34.7,1.04,0.3056,-0.0255,0.3383,-0.00771,-0.3561,-0.6346,1.1164,-1.004,0.489,-23.259,-57.604,15.22,-0.6078,-0.1147,-2.788,-0.195,17.56,23.0,0.365,0.318,0.0,5.6,44.4,50.0,52.8,0.1,4,1.5,0.25,3.0
percentile=0.1|min_duration=4|volume_mult=1.5|body_mult=0.5|target_r=2.0,34,34.0,1.0,0.3235,0.019,0.3075,-0.00436,-0.2841,-0.6346,1.2316,-1.0091,0.584,-19.115,-48.452,13.42,-0.5873,0.0204,-1.844,0.117,16.41,19.5,0.354,0.299,20.0,17.6,44.1,38.2,52.9,0.1,4,1.5,0.5,2.0
percentile=0.1|min_duration=4|volume_mult=1.5|body_mult=0.5|target_r=3.0,34,31.8,1.07,0.2647,-0.081,0.3466,-0.00605,-0.4215,-0.8463,1.1964,-1.004,0.429,-27.83,-68.822,16.73,-0.672,-0.1719,-3.195,-0.592,17.24,22.5,0.354,0.299,0.0,5.9,47.1,47.1,52.9,0.1,4,1.5,0.5,3.0
percentile=0.1|min_duration=4|volume_mult=1.5|body_mult=0.75|target_r=2.0,30,30.0,1.0,0.3333,0.0188,0.3174,-0.00494,-0.2936,-0.6346,1.1749,-1.0279,0.572,-19.457,-50.422,12.03,-0.6351,0.028,-1.763,0.112,17.17,20.5,0.348,0.292,20.0,16.7,43.3,40.0,46.7,0.1,4,1.5,0.75,2.0
percentile=0.1|min_duration=4|volume_mult=1.5|body_mult=0.75|target_r=3.0,30,29.1,1.03,0.2667,-0.0912,0.3538,-0.00686,-0.4381,-0.8463,1.1631,-1.0204,0.414,-28.113,-71.573,15.54,-0.7718,-0.1162,-2.606,-0.554,18.0,22.5,0.348,0.292,0.0,6.7,46.7,46.7,46.7,0.1,4,1.5,0.75,3.0
percentile=0.1|min_duration=4|volume_mult=2.0|body_mult=0.25|target_r=2.0,27,27.0,1.0,0.3704,0.0916,0.317,-0.00384,-0.2216,-0.4574,1.1769,-1.0442,0.663,-14.786,-42.864,10.53,-0.5579,0.1073,-1.317,0.522,16.15,20.0,0.348,0.287,40.0,18.5,40.7,40.7,51.9,0.1,4,2.0,0.25,2.0
percentile=0.1|min_duration=4|volume_mult=2.0|body_mult=0.25|target_r=3.0,27,26.8,1.01,0.2963,-0.0713,0.3663,-0.00597,-0.4316,-0.8118,0.9985,-1.0338,0.407,-30.186,-77.235,11.27,-0.7031,-0.1631,-3.056,-0.555,17.19,23.0,0.348,0.287,20.0,3.7,44.4,51.9,51.9,0.1,4,2.0,0.25,3.0
percentile=0.1|min_duration=4|volume_mult=2.0|body_mult=0.5|target_r=2.0,27,27.0,1.0,0.3704,0.0916,0.317,-0.00384,-0.2216,-0.4574,1.1769,-1.0442,0.663,-14.786,-42.864,10.53,-0.5579,0.1073,-1.317,0.522,16.15,20.0,0.348,0.287,40.0,18.5,40.7,40.7,51.9,0.1,4,2.0,0.5,2.0
percentile=0.1|min_duration=4|volume_mult=2.0|body_mult=0.5|target_r=3.0,27,26.8,1.01,0.2963,-0.0713,0.3663,-0.00597,-0.4316,-0.8118,0.9985,-1.0338,0.407,-30.186,-77.235,11.27,-0.7031,-0.1631,-3.056,-0.555,17.19,23.0,0.348,0.287,20.0,3.7,44.4,51.9,51.9,0.1,4,2.0,0.5,3.0
percentile=0.1|min_duration=4|volume_mult=2.0|body_mult=0.75|target_r=2.0,25,25.0,1.0,0.36,0.059,0.3274,-0.00415,-0.2643,-0.4574,1.1077,-1.0361,0.601,-17.88,-48.81,9.36,-0.5764,0.0378,-1.698,0.373,16.72,21.0,0.343,0.287,20.0,16.0,40.0,44.0,44.0,0.1,4,2.0,0.75,2.0
