k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,scenario,signal_real,economics_viable
0.25,0.0025,82662,1416,8,-0.0022229077447920445,0.001534986469568208,-1.448161132923438,-0.005231481225145732,0.0007856657355616431,0.7721806876194623,0.773959013815296,-0.034774140475672066,-0.03255123273088001,0.632,-0.6667741404756721,-0.66455123273088,-0.0022229077447920445,-0.0022229077447920445,-0.0035172590898608297,,5,ALL,primary,B,A_baseline,False,False
0.25,0.0025,82662,1416,8,-0.0022229077447920445,0.001534986469568208,-1.448161132923438,-0.005231481225145732,0.0007856657355616431,0.7721806876194623,0.773959013815296,-0.034774140475672066,-0.03255123273088001,0.552,-0.5867741404756721,-0.58455123273088,-0.0022229077447920445,-0.0022229077447920445,-0.004027006784043559,,5,ALL,primary,B,B_low_slip,False,False
0.25,0.0025,82662,1416,8,-0.0022229077447920445,0.001534986469568208,-1.448161132923438,-0.005231481225145732,0.0007856657355616431,0.7721806876194623,0.773959013815296,-0.034774140475672066,-0.03255123273088001,0.872,-0.9067741404756721,-0.90455123273088,-0.0022229077447920445,-0.0022229077447920445,-0.002549206129348675,,5,ALL,primary,B,C_high_slip,False,False
0.25,0.0025,82662,1416,8,-0.0022229077447920445,0.001534986469568208,-1.448161132923438,-0.005231481225145732,0.0007856657355616431,0.7721806876194623,0.773959013815296,-0.034774140475672066,-0.03255123273088001,0.4104,-0.44517414047567205,-0.44295123273088,-0.0022229077447920445,-0.0022229077447920445,-0.005416441873274963,,5,ALL,primary,B,D_fee_sens,False,False
0.5,0.0025,82660,1415,10,-0.0007621582385676264,0.002471748328428062,-0.30834783210001404,-0.005606784962286628,0.004082468485151375,0.6569199128962013,0.6574280183885797,-0.014620130655698005,-0.013857972417130493,0.632,-0.646620130655698,-0.6458579724171305,-0.0007621582385676264,-0.0007621582385676264,-0.001205946580012067,,5,ALL,primary,B,A_baseline,False,False
0.5,0.0025,82660,1415,10,-0.0007621582385676264,0.002471748328428062,-0.30834783210001404,-0.005606784962286628,0.004082468485151375,0.6569199128962013,0.6574280183885797,-0.014620130655698005,-0.013857972417130493,0.552,-0.566620130655698,-0.5658579724171305,-0.0007621582385676264,-0.0007621582385676264,-0.0013807214466804824,,5,ALL,primary,B,B_low_slip,False,False
0.5,0.0025,82660,1415,10,-0.0007621582385676264,0.002471748328428062,-0.30834783210001404,-0.005606784962286628,0.004082468485151375,0.6569199128962013,0.6574280183885797,-0.014620130655698005,-0.013857972417130493,0.872,-0.886620130655698,-0.8858579724171305,-0.0007621582385676264,-0.0007621582385676264,-0.0008740346772564522,,5,ALL,primary,B,C_high_slip,False,False
0.5,0.0025,82660,1415,10,-0.0007621582385676264,0.002471748328428062,-0.30834783210001404,-0.005606784962286628,0.004082468485151375,0.6569199128962013,0.6574280183885797,-0.014620130655698005,-0.013857972417130493,0.4104,-0.425020130655698,-0.4242579724171305,-0.0007621582385676264,-0.0007621582385676264,-0.0018571107177573743,,5,ALL,primary,B,D_fee_sens,False,False
0.75,0.0025,82657,1415,13,0.0021912844647156322,0.0033826508476457115,0.6478009594873626,-0.004438711196669962,0.008821280126101226,0.5706594722770001,0.5694073097257341,-0.0013459235152498694,-0.0035372079799653733,0.632,-0.6333459235152499,-0.6355372079799654,0.0021912844647156322,0.0021912844647156322,0.0034672222542968863,288.41531538992405,5,ALL,primary,B,A_baseline,False,False
0.75,0.0025,82657,1415,13,0.0021912844647156322,0.0033826508476457115,0.6478009594873626,-0.004438711196669962,0.008821280126101226,0.5706594722770001,0.5694073097257341,-0.0013459235152498694,-0.0035372079799653733,0.552,-0.5533459235152499,-0.5555372079799654,0.0021912844647156322,0.0021912844647156322,0.003969718233180493,251.90704761904763,5,ALL,primary,B,B_low_slip,False,False
0.75,0.0025,82657,1415,13,0.0021912844647156322,0.0033826508476457115,0.6478009594873626,-0.004438711196669962,0.008821280126101226,0.5706594722770001,0.5694073097257341,-0.0013459235152498694,-0.0035372079799653733,0.872,-0.8733459235152499,-0.8755372079799654,0.0021912844647156322,0.0021912844647156322,0.002512940899903248,397.94011870255343,5,ALL,primary,B,C_high_slip,False,False
0.75,0.0025,82657,1415,13,0.0021912844647156322,0.0033826508476457115,0.6478009594873626,-0.004438711196669962,0.008821280126101226,0.5706594722770001,0.5694073097257341,-0.0013459235152498694,-0.0035372079799653733,0.4104,-0.41174592351524986,-0.41393720797996536,0.0021912844647156322,0.0021912844647156322,0.005339387097260313,187.28741366459624,5,ALL,primary,B,D_fee_sens,False,False
1.0,0.0025,82656,1415,14,0.002068815331010453,0.004271758265789013,0.4843006561440652,-0.006303830869936012,0.010441461531956919,0.5021897986837012,0.501155391018196,0.004379597367402344,0.0023107820363919007,0.632,-0.6276204026325977,-0.6296892179636081,0.002068815331010453,0.002068815331010453,0.003273441979446919,305.4888421052632,5,ALL,primary,B,A_baseline,False,False
