k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,signal_real,economics_viable,symbol
0.5,0.0025,82660,1415,10,-0.0007621582385676264,0.002471748328428062,-0.30834783210001404,-0.005606784962286628,0.004082468485151375,0.6569199128962013,0.6574280183885797,-0.014620130655698005,-0.013857972417130493,0.632,-0.646620130655698,-0.6458579724171305,-0.0007621582385676264,-0.0007621582385676264,-0.001205946580012067,,5,ALL,primary,A,False,False,
0.5,0.0025,29566,966,10,0.00778766150307786,0.004519555485548122,1.7231034175772242,-0.0010706672485964598,0.016645990254752177,0.6684367178515863,0.663244943516201,0.002655076777379417,-0.005132584725698441,0.632,-0.6293449232226206,-0.6371325847256984,0.00778766150307786,0.00778766150307786,0.01232224921373079,81.15401520086861,5,LOW,primary,A,False,False,
0.5,0.0025,27992,1207,0,-0.0087078450985996,0.004131077996060052,-2.1078868776877524,-0.016804757970877302,-0.0006109322263218981,0.6549014004001144,0.6607066304658474,-0.01764789939982847,-0.008940054301228795,0.632,-0.6496478993998285,-0.6409400543012288,-0.0087078450985996,-0.0087078450985996,-0.013778235915505695,,5,NORMAL,primary,A,False,False,
0.5,0.0025,25102,1019,0,-0.0019719544259421563,0.0038425820020352554,-0.5131847348729822,-0.009503415149931258,0.005559506298046945,0.6456059278145168,0.6469205640984782,-0.031591108278224866,-0.029619153852282754,0.632,-0.6635911082782249,-0.6616191538522828,-0.0019719544259421563,-0.0019719544259421563,-0.0031201810537059434,,5,HIGH,primary,A,False,False,
0.5,0.0025,20698,353,6,0.0027538892646632525,0.0054435639524022875,0.5058982109410031,-0.00791549608204523,0.013423274611371733,0.6632524881631076,0.6614165619866654,-0.005121267755338721,-0.007875157020001855,0.632,-0.6371212677553387,-0.6398751570200019,0.0027538892646632525,0.0027538892646632525,0.004357419722568438,229.49361403508772,5,ALL,primary,A-symbol,False,False,BTCUSD
0.5,0.0025,20824,354,2,-0.001512677679600461,0.0048070108171702226,-0.31468156347751675,-0.010934418881254097,0.007909063522053176,0.6616404149058779,0.6626488666922782,-0.007539377641183176,-0.006026699961582782,0.632,-0.6395393776411832,-0.6380266999615828,-0.001512677679600461,-0.001512677679600461,-0.0023934773411399698,,5,ALL,primary,A-symbol,False,False,ETHUSD
0.5,0.0025,20237,354,0,0.0026683797005485005,0.004778116775367164,0.5584584525654366,-0.006696729179171142,0.012033488580268144,0.6539012699510797,0.6521223501507141,-0.019148095073380444,-0.021816474773928896,0.632,-0.6511480950733805,-0.6538164747739289,0.0026683797005485005,0.0026683797005485005,0.0042221197793488935,236.84785185185183,5,ALL,primary,A-symbol,False,False,SOLUSD
0.5,0.0025,20901,354,2,-0.006817855604994975,0.004695175596521407,-1.4520981089708835,-0.016020399774176936,0.002384688564186983,0.6488684751925745,0.6534137122625712,-0.026697287211138176,-0.01987943160614325,0.632,-0.6586972872111382,-0.6518794316061433,-0.006817855604994975,-0.006817855604994975,-0.010787746210435087,,5,ALL,primary,A-symbol,False,False,XRPUSD
0.5,0.005,82635,1412,35,0.004919223089489925,0.0026744565994515353,1.8393355459567886,-0.0003227118454350833,0.010161158024414935,0.6657106552913414,0.6624311732316814,-0.0014340170629878468,-0.006353240152477846,0.316,-0.31743401706298785,-0.32235324015247785,0.004919223089489925,0.004919223089489925,0.01556716167560103,64.23778597785979,5,ALL,primary,A,False,False,
0.5,0.005,29549,963,27,0.012411587532573015,0.004503122770286637,2.7562178882773347,0.0035854669028112076,0.021237708162334824,0.671562489424346,0.663288097735964,0.007343734136519009,-0.0050678533960539784,0.316,-0.308656265863481,-0.321067853396054,0.012411587532573015,0.012411587532573015,0.03927717573599055,25.46007907293797,5,LOW,primary,A,True,False,
0.5,0.005,27984,1207,8,0.00013400514579759863,0.0048618139492272155,0.02756278771607431,-0.009395150194687745,0.009663160486282941,0.6625214408233276,0.6624321040594625,-0.0062178387650084765,-0.006351843910806232,0.316,-0.3222178387650085,-0.32235184391080624,0.00013400514579759863,0.00013400514579759863,0.0004240669170810083,2358.1184,5,NORMAL,primary,A,False,False,
0.5,0.005,25102,1019,0,0.001434148673412477,0.004456781710822992,0.32179019895224936,-0.007301143479800587,0.01016944082662554,0.6623774998008127,0.6614214006852044,-0.006433750298780905,-0.007867898972193421,0.316,-0.3224337502987809,-0.3238678989721934,0.001434148673412477,0.001434148673412477,0.004538445169026826,220.3397777777778,5,HIGH,primary,A,False,False,
0.5,0.005,20697,353,7,-0.002681548050442093,0.005092877652754417,-0.5265290535679396,-0.012663588249840752,0.0073004921489565645,0.662849688360632,0.6646373870609267,-0.005725467459052114,-0.0030439194086100407,0.316,-0.3217254674590521,-0.31904391940861004,-0.002681548050442093,-0.002681548050442093,-0.00848591155203194,,5,ALL,primary,A-symbol,False,False,BTCUSD
0.5,0.005,20818,353,8,0.00662887885483716,0.0055863715700164625,1.1866161732628224,-0.004320409422395106,0.017578167132069427,0.6638966279181477,0.6594773753482563,-0.004155058122778388,-0.010783936977615483,0.316,-0.3201550581227784,-0.3267839369776155,0.00662887885483716,0.00662887885483716,0.02097746473049734,47.67020289855073,5,ALL,primary,A-symbol,False,False,ETHUSD
0.5,0.005,20236,353,1,0.013639059102589442,0.005658488043348984,2.4103716395797394,0.0025484225376254345,0.02472969566755345,0.6694504842854319,0.6603577782170389,0.004175726428147897,-0.00946333267444166,0.316,-0.3118242735718521,-0.32546333267444166,0.013639059102589442,0.013639059102589442,0.04316157943857418,23.168753623188408,5,ALL,primary,A-symbol,True,False,SOLUSD
0.5,0.005,20884,353,19,0.0022984102662325224,0.005003183637262174,0.45938954731037035,-0.007507829662801339,0.012104650195266384,0.6667305113962843,0.6651982378854625,9.576709442637998e-05,-0.0022026431718062955,0.316,-0.3159042329055736,-0.3182026431718063,0.0022984102662325224,0.0022984102662325224,0.00727345020959659,137.48633333333333,5,ALL,primary,A-symbol,False,False,XRPUSD
