k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,signal_real,economics_viable,symbol,net_low_slip,net_high_slip,gate
0.5,0.0025,82660,1415,10,-0.0007621582385676264,0.002471748328428062,-0.30834783210001404,-0.005606784962286628,0.004082468485151375,0.6569199128962013,0.6574280183885797,-0.014620130655698005,-0.013857972417130493,0.632,-0.646620130655698,-0.6458579724171305,-0.0007621582385676264,-0.0007621582385676264,-0.001205946580012067,,5,ALL,primary,A,False,False,,-0.566620130655698,-0.886620130655698,RED
0.5,0.005,82635,1412,35,0.004919223089489925,0.0026744565994515353,1.8393355459567886,-0.0003227118454350833,0.010161158024414935,0.6657106552913414,0.6624311732316814,-0.0014340170629878468,-0.006353240152477846,0.316,-0.31743401706298785,-0.32235324015247785,0.004919223089489925,0.004919223089489925,0.01556716167560103,64.23778597785979,5,ALL,primary,A,False,False,,-0.27743401706298787,-0.43743401706298785,RED
0.5,0.0075,82615,1412,55,0.004439266477032016,0.002665683181181346,1.6653391177059063,-0.0007854725580834217,0.009664005512147453,0.6657749803304485,0.6628154693457604,-0.001337529504327306,-0.005776795981359384,0.21066666666666667,-0.21200419617099397,-0.21644346264802605,0.004439266477032016,0.004439266477032016,0.0210724674542659,47.455287434673934,5,ALL,primary,A,False,False,,-0.18533752950432733,-0.292004196170994,RED
0.5,0.01,82609,1412,61,0.004267089542301686,0.0025570456996978114,1.668757638084437,-0.0007447200291060244,0.009278899113709396,0.668619641927635,0.6657749155661006,0.002929462891452461,-0.001337626650849133,0.158,-0.15507053710854754,-0.15933762665084913,0.004267089542301686,0.004267089542301686,0.027006895837352444,37.02758014184397,5,ALL,primary,A,False,False,,-0.13507053710854755,-0.21507053710854754,RED
0.5,0.015,82599,1412,71,0.0022972433080303634,0.002529692741041199,0.9081115942503115,-0.002660954464410386,0.007255441080471113,0.665395464836136,0.6638639692974492,-0.0019068027457960213,-0.004204046053826183,0.10533333333333333,-0.10724013607912936,-0.10953737938715952,0.0022972433080303634,0.0022972433080303634,0.021809271911680667,45.852057971014496,5,ALL,primary,A,False,False,,-0.09390680274579603,-0.14724013607912936,RED
0.5,0.02,82569,1412,101,0.0027704102023761944,0.002406803878301918,1.1510743469180433,-0.0019469253990955656,0.007487745803847954,0.6645351160847291,0.6626881759498117,-0.0031973258729063314,-0.005967736075282559,0.079,-0.08219732587290633,-0.08496773607528256,0.0027704102023761944,0.0027704102023761944,0.035068483574382206,28.515632786885245,5,ALL,primary,A,False,False,,-0.07219732587290634,-0.11219732587290633,RED
0.5,0.03,82486,1412,184,0.00409160342361128,0.0021044435279971535,1.9442685770263226,-3.310589126314127e-05,0.0082163127384857,0.660718182479451,0.6579904468637102,-0.008922726280823468,-0.013014329704434724,0.05266666666666667,-0.061589392947490135,-0.06568099637110139,0.00409160342361128,0.00409160342361128,0.07768867260021417,12.871889382716049,5,ALL,primary,A,False,False,,-0.054922726280823474,-0.08158939294749014,RED
0.5,0.05,82356,1411,314,0.0021856331050560977,0.001818308447476834,1.2020144921445972,-0.0013782514519984968,0.005749517662110693,0.6521079217057653,0.6506508329690611,-0.021838117441352112,-0.024023750546408262,0.031599999999999996,-0.05343811744135211,-0.05562375054640826,0.0021856331050560977,0.0021856331050560977,0.06916560459038285,14.458053333333334,5,ALL,primary,A,False,False,,-0.04943811744135211,-0.06543811744135211,RED
0.5,0.075,81752,1402,918,0.0021559105587630883,0.0016947865475299244,1.272083827845596,-0.0011658710743955632,0.00547769219192174,0.6625159017516391,0.6610786280457971,-0.006226147372541346,-0.00838205793130431,0.021066666666666668,-0.027292814039208014,-0.029448724597970977,0.0021559105587630883,0.0021559105587630883,0.10233752652356432,9.77158657210402,5,ALL,diagnostic,A,False,False,,-0.02462614737254135,-0.03529281403920802,RED
0.5,0.1,80513,1386,2157,0.001835107373964453,0.001674176630743313,1.096125307369563,-0.0014462788222924404,0.0051164935702213464,0.6637064821830015,0.6624830772670252,-0.004440276725497627,-0.006275384099462267,0.015799999999999998,-0.020240276725497625,-0.022075384099462265,0.001835107373964453,0.001835107373964453,0.11614603632686413,8.609850423011842,5,ALL,diagnostic,A,False,False,,-0.018240276725497627,-0.026240276725497627,RED
