trades,effective_n,deff,gross_expectancy,net_expectancy,fee_R,slippage_R,funding_R,cost_per_R,win_rate,profit_factor,median_stop_pct,median_hold_min,pct_target,median_concurrency,max_concurrency,candidate_id,mechanism,exec_tf,pair,cb_gross,cb_net,cb_trades,cb_seed_sd,excess_gross_cb,excess_net_cb
26145,11969.0,2.184,0.02742398164084911,-0.35286690520388125,0.2841717709282591,0.09632941387398615,-0.0002102979575149169,0.3802908868447304,0.34140371007840886,0.611,0.5121047845644853,80.0,34.24746605469497,2.0,14.0,M1|5m|5/20,M1,5,5/20,0.026922673664845805,-0.4979905946799256,31355.0,0.011858967242910154,0.0005013079760033054,0.14512368947604437
13594,8572.1,1.586,0.018684713844343094,-0.34891939727797777,0.2744303885340822,0.09302725035053636,0.00014647223770236528,0.3676041111223209,0.3387523907606297,0.613,0.5311678647242869,84.0,33.95615712814477,1.0,9.0,M2|5m|5/20|s0.00,M2,5,5/20,0.035127797610494796,-0.5972777784935193,27327.0,0.10347971034694704,-0.016443083766151702,0.2483583812155415
102,100.9,1.011,0.2647058823529412,0.0438517127861275,0.16351842106188877,0.055429973241318216,0.0019057752636067308,0.2208541695668137,0.4215686274509804,1.062,0.9572382903273396,176.0,42.15686274509804,0.0,1.0,M2|5m|5/20|s0.25,M2,5,5/20,0.003960396039603968,-0.29739012813077903,505.0,0.1044503205502934,0.2607454863133372,0.3412418409169065
3,3.0,1.0,1.0,0.9612955267101594,0.03851641134418145,0.013056410625146253,-0.012868348679487144,0.03870447328984056,0.6666666666666666,3.712,3.3138569672926375,963.0,66.66666666666666,0.0,0.0,M2|5m|5/20|s0.50,M2,5,5/20,-0.1,-0.3037139319240451,14.0,0.6909234504569928,1.1,1.2650094586342044
1650,1065.1,1.549,0.01999999999999999,-0.23170549975647686,0.18842177249431685,0.06387178728620911,-0.0005880600240491227,0.2517054997564768,0.34,0.719,0.7801923828850901,94.5,34.0,0.0,4.0,M3|5m|5/20|v1.2,M3,5,5/20,-0.010899458393014403,-0.5276727681245823,5887.0,0.17332345561121246,0.030899458393014393,0.29596726836810544
279,199.3,1.4,-0.08602150537634409,-0.2595049962619159,0.1306781162451758,0.044297666523788415,-0.0014922918833923811,0.17348349088557186,0.3046594982078853,0.681,1.0789958544449563,124.0,30.46594982078853,0.0,3.0,M3|5m|5/20|v1.5,M3,5,5/20,0.05825905139209862,-0.30103465890129,1168.0,0.09037191093838386,-0.1442805567684427,0.041529662639374076
12153,7583.5,1.603,0.0372747469760553,-0.45732345863351087,0.36937801048435687,0.12521288490995147,7.310215257756971e-06,0.4945982056095662,0.34197317534765076,0.533,0.41468046351199217,54.0,34.57582489920185,1.0,8.0,M4|5m|5/20|d0.25,M4,5,5/20,0.02899536671950716,-0.9253379943865463,30837.0,0.04175525778001991,0.008279380256548136,0.4680145357530354
17875,8776.7,2.037,0.03283916083916084,-0.4182108978536366,0.3368695571066336,0.1141930702056385,-1.2568619474732794e-05,0.4510500586927974,0.3404755244755245,0.562,0.4675524992368188,67.0,34.427972027972025,1.0,9.0,M4|5m|5/20|d0.5,M4,5,5/20,0.016609996010296585,-0.714679963874652,30590.0,0.061052891868200156,0.016229164828864252,0.29646906602101547
12789,3533.6,3.619,0.03776683087027915,-0.348901365912641,0.2882478681162845,0.09771114173433373,0.0007091869323019222,0.38666819678292014,0.3449057784033153,0.615,0.502038731943404,74.0,34.59222769567597,1.0,8.0,M5|5m|5/20,M5,5,5/20,0.023522571335956612,-0.6520417811039583,30313.0,0.07186845917507245,0.014244259534322536,0.3031404151913173
18713,10936.5,1.711,0.03772778282477422,-0.3392877969254166,0.2817308774306112,0.09550199234935973,-0.00021729002978009457,0.37701557975019084,0.34478704643830493,0.623,0.5139591242437201,81.0,34.590926094159144,1.0,11.0,M1|5m|9/21,M1,5,9/21,0.02947638924723355,-0.5933637474357648,29435.0,0.09468589278027278,0.008251393577540674,0.2540759505103482
15147,10069.5,1.504,0.035254505842741146,-0.3334707665732767,0.2754868010899999,0.09338535630169487,-0.00014688497567690492,0.3687252724160178,0.34429259919455996,0.627,0.5264738591971874,83.0,34.508483528091375,1.0,8.0,M2|5m|9/21|s0.00,M2,5,9/21,0.029327701750423162,-0.5804339564603023,28580.0,0.03483693147077195,0.005926804092317984,0.2469631898870256
3419,2756.9,1.24,0.04591985960807254,-0.3059121659717399,0.26312464045462036,0.08919479337444759,-0.00048740824925557,0.3518320255798124,0.3480549868382568,0.652,0.5663409157108313,96.0,34.86399532026908,0.0,3.0,M2|5m|9/21|s0.25,M2,5,9/21,0.022610493073050915,-0.7672937163806022,13011.0,0.15929245592297794,0.023309366535021622,0.46138155040886225
72,59.0,1.221,0.16666666666666666,-0.09871029173282464,0.19772514736257557,0.06702547368222901,0.0006263373546867352,0.2653769583994913,0.3888888888888889,0.874,1.0200489416654166,210.5,38.88888888888889,0.0,1.0,M2|5m|9/21|s0.50,M2,5,9/21,0.08857142857142855,-0.24891391912846625,350.0,0.10458921117910537,0.0780952380952381,0.1502036273956416
1282,870.4,1.473,0.02262090483619345,-0.21477379127976695,0.17749703728157407,0.0601684872140929,-0.00027082837970659085,0.2373946961159604,0.3408736349453978,0.737,0.8346531788904901,105.5,34.08736349453978,0.0,3.0,M3|5m|9/21|v1.2,M3,5,9/21,0.01582887304341323,-0.49963309836163045,5056.0,0.14730906301754396,0.006792031792780217,0.28485930708186347
247,177.3,1.393,-0.04048582995951417,-0.19540410001661263,0.1168433487900044,0.03960791484406928,-0.0015329935769752027,0.15491827005709846,0.31983805668016196,0.751,1.2404994413989916,145.0,31.983805668016196,0.0,2.0,M3|5m|9/21|v1.5,M3,5,9/21,0.048015873015873026,-0.2901843865838544,1082.0,0.11915284957877233,-0.0885017029753872,0.0947802865672418
6364,4711.2,1.351,0.05405405405405404,-0.5290210260987906,0.4353692003762633,0.14758277978856382,0.00012309998801755232,0.5830750801528447,0.3441231929604023,0.483,0.3510063448669834,40.0,35.13513513513514,0.0,4.0,M4|5m|9/21|d0.25,M4,5,9/21,0.026425216677144543,-1.1490292309386592,23268.0,0.08889258225545411,0.0276288373769095,0.6200082048398685
10562,6355.6,1.662,0.03787161522438932,-0.5123095030507951,0.41092939247630234,0.13929809914450927,-4.6373345627044825e-05,0.5501811182751846,0.3376254497254308,0.497,0.39368677340981906,48.0,34.59572050747964,0.0,7.0,M4|5m|9/21|d0.5,M4,5,9/21,0.027218423112204248,-0.9600664222880116,30125.0,0.11055053518834106,0.010653192112185069,0.4477569192372165
9077,3429.1,2.647,0.05100804230472624,-0.3352507727483612,0.2880172300113512,0.09763295932588177,0.0006086257158544779,0.3862588150530874,0.3493444970805332,0.628,0.5023454255599775,73.0,35.03360141015754,0.0,7.0,M5|5m|9/21,M5,5,9/21,0.010584745891552977,-0.7172522455588423,27943.0,0.16228034474304612,0.040423296413173264,0.3820014728104811
14442,8217.6,1.757,0.02762775238886581,-0.3407509290185486,0.2752488915873768,0.09330470901267011,-0.00017491919263251416,0.36837868140741437,0.3415039468217698,0.621,0.5271231116279772,83.0,34.254258412962194,1.0,9.0,M1|5m|12/26,M1,5,12/26,0.025586164141331115,-0.5642734906721019,25382.0,0.06894978663803623,0.0020415882475346946,0.22352256165355328
12494,7315.1,1.708,0.029614214823115097,-0.3324782101587358,0.2705716389293797,0.09171919963707786,-0.00019841358460662929,0.3620924249818509,0.34232431567152233,0.628,0.5360758719813172,87.0,34.32047382743717,1.0,7.0,M2|5m|12/26|s0.00,M2,5,12/26,0.03190745319983262,-0.5345864732556687,24790.0,0.07787734490214582,-0.0022932383767175213,0.20210826309693286
4295,2895.9,1.483,0.02747380675203726,-0.3103658670433543,0.2525669787428247,0.0856159249975677,-0.0003432299450008834,0.33783967379539154,0.3408614668218859,0.647,0.5997558516002311,102.0,34.249126891734576,0.0,4.0,M2|5m|12/26|s0.25,M2,5,12/26,0.03653036456907408,-0.5716292927055393,14425.0,0.13615997514533473,-0.009056557817036823,0.261263425662185
177,156.2,1.133,0.1864406779661017,-0.08003670968774358,0.19933869460256182,0.06757243884832603,-0.000433745797042581,0.26647738765384527,0.3898305084745763,0.896,0.8913547682932402,251.0,39.548022598870055,0.0,1.0,M2|5m|12/26|s0.50,M2,5,12/26,0.02298269613843091,-0.35730359571351594,856.0,0.1165260884978108,0.1634579818276708,0.2772668860257724
1117,779.8,1.432,0.02327663384064457,-0.19890776823344172,0.16547633018888122,0.05609367125046821,0.00061440063473681,0.22218440207408624,0.3410922112802149,0.754,0.8812266428802087,116.0,34.10922112802149,0.0,4.0,M3|5m|12/26|v1.2,M3,5,12/26,0.02506305952988359,-0.4133115941594513,4507.0,0.13967649668462573,-0.0017864256892390212,0.21440382592600957
218,153.9,1.417,-0.13302752293577982,-0.2891292082876884,0.1159990892206757,0.03932172515955108,0.0007808709716818554,0.15610168535190866,0.2889908256880734,0.648,1.2247159394436307,156.5,28.899082568807337,0.0,2.0,M3|5m|12/26|v1.5,M3,5,12/26,0.08439136125654452,-0.16053336436044136,957.0,0.12298472972327933,-0.21741888419232436,-0.12859584392724704
4204,3551.3,1.184,0.07183634633682207,-0.5576718628359028,0.46997354585907786,0.15931306639290774,0.00022159692073926243,0.6295082091727249,0.3451474785918173,0.466,0.3310125992123645,35.0,35.727878211227406,0.0,4.0,M4|5m|12/26|d0.25,M4,5,12/26,0.03756879186513214,-1.1451218170013586,17400.0,0.20011583552018586,0.03426755447168993,0.5874499541654559
