candidate_id,mechanism,exec_tf,pair,variant,trades,gross_expectancy,fee_drag,slippage_drag,funding_drag,net_expectancy,gross_total_R,net_total_R,win_rate,wins,losses,longs,shorts,median_net_R,avg_stop_pct,median_stop_pct,median_stop_bps,cost_per_R,pct_target,pct_stop,unresolved_at_boundary,effective_n,profit_factor,max_dd_R,t_gross,t_net,net_ci_low,net_ci_high,ca_trades,cb_trades,excess_vs_ca,excess_vs_cb,setups_detected,rejected_warmup,rejected_stop_invalid,rejected_no_entry_bar,rejected_outside_split,eligible_setups,skipped_stop,skipped_size,rejected_position_open,trades_entered,reconciled,cb_net,cb_gross,cb_stop,cb_seed_sd,cb_min,cb_max,ca_net,ca_gross,cb_cost,ca_cost,excess_gross_cb,excess_gross_ca
M1|5m|5/20,M1,5,5/20,{},6312,-0.0052281368821292,-0.2201563492616794,-0.0746292709361625,0.0005252866300611,-0.29948847044991,-33.000000000000014,-1890.371225479832,0.3314321926489227,2092.0,4220.0,3292.0,3020.0,-1.1674442101501254,0.7735205976046373,0.6424117009917673,64.24117009917673,0.2942603335677807,33.159062103929024,66.84093789607097,0.0,3403.2,0.653,1894.8,-0.219,-12.186,-0.3343,-0.2641,41927,16410,2.6727476234895784,0.168290112236369,44167,14,0,0,17920,26233,11,0,19910,6312,True,-0.4677785826862791,0.026889847042263677,0.6703501877965798,0.05855264906029654,-0.5665063465457643,-0.41783860705888703,-2.9722360939394883,0.02989338206984039,0.49466842972854275,3.002129476009329,-0.03211798392439288,-0.03512151895196959
M2|5m|5/20|s0.00,M2,5,5/20,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.0}",5497,-0.0078224486083318,-0.2333235759712429,-0.0790927376173704,5.703859086104562e-05,-0.3201817236060841,-43.0,-1760.0389346626444,0.3303620156448972,1816.0,3681.0,2778.0,2719.0,-1.1744681270028516,0.74260670498364,0.6123421366699866,61.23421366699866,0.3123592749977523,33.072585046388944,66.92741495361106,0.0,3861.0,0.635,1761.22,-0.349,-13.716,-0.3564,-0.2789,33100,15407,2.6956427449122438,0.2004041256076777,23065,6,0,0,9421,13638,8,0,8133,5497,True,-0.5205858492137618,0.04415471558566374,0.6449190943323176,0.13632536566589348,-0.6639969427326696,-0.36101924396962465,-3.0158244685183275,0.03966955562764808,0.5647405647994256,3.055494024145976,-0.051977164193995534,-0.04749200423597988
M2|5m|5/20|s0.25,M2,5,5/20,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.25}",101,0.2772277227722772,-0.1642431913570222,-0.0556756580871261,-0.0019246443256226,0.0553842290025061,28.0,5.5938071292531255,0.4257425742574257,43.0,58.0,50.0,51.0,-1.071194061459177,1.2088014642549791,0.946785578426804,94.6785578426804,0.221843493769771,42.57425742574257,57.42574257425742,0.0,101.0,1.078,13.82,1.628,0.329,-0.2742,0.4164,485,494,2.748993813183713,0.3560178380837191,199,0,0,0,94,105,3,0,1,101,True,-0.30063360908121295,-0.005354099695683847,0.9448166237363536,0.1101929259468113,-0.49007583348760936,-0.20184996788026224,-2.6936095841812064,0.18248239256915383,0.2952795093855291,2.8760919767503603,0.28258182246796104,0.09474533020312337
M2|5m|5/20|s0.50,M2,5,5/20,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.5}",3,1.0,-0.0385164113441814,-0.0130564106251462,0.0128683486794874,0.9612955267101596,3.0,2.883886580130479,0.6666666666666666,2.0,1.0,1.0,2.0,1.9599366818477555,3.050659861343857,3.313856967292637,331.3856967292637,0.0387044732898402,66.66666666666666,33.33333333333333,0.0,3.0,3.712,0.0,,,,,18,14,1.360386236663998,1.2650094586342049,6,0,0,0,2,4,1,0,0,3,True,-0.30371393192404494,-0.1,3.324531112465303,0.6909234504569923,-1.4253724716014713,0.4622942710473936,-0.3990907099538383,-0.1,0.20371393192404494,0.29909070995383824,1.1,1.1
M3|5m|5/20|v1.2,M3,5,5/20,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.2, ""baseline_window"": 20}",1182,0.0355329949238578,-0.1802001574831114,-0.0610847991468174,0.0006326543788328,-0.2051193073272382,41.99999999999999,-242.45102126079564,0.3451776649746192,408.0,774.0,620.0,562.0,-1.1192475843935106,1.0067644195941845,0.8114181106559682,81.14181106559683,0.2406523022510961,34.51776649746193,65.48223350253807,0.0,786.9,0.747,248.48,0.766,-4.05,-0.2903,-0.1219,6552,4641,2.30863161242689,0.2909490727721979,2802,0,0,0,1146,1656,5,0,469,1182,True,-0.4960683800994362,-0.0022449346144829603,0.830526527909719,0.2214364782281541,-0.8346215531539205,-0.25224313990270725,-2.5137509197541283,0.006420991863207384,0.49382344548495327,2.520171911617336,0.03777792953834076,0.029112003060650416
M3|5m|5/20|v1.5,M3,5,5/20,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.5, ""baseline_window"": 20}",234,-0.0512820512820512,-0.1317597640968379,-0.0446643268124874,0.0022670701465387,-0.2254390720448379,-12.0,-52.75274285849208,0.3162393162393162,74.0,160.0,123.0,111.0,-1.086073424555033,1.3773985473298005,1.0781745512808585,107.81745512808584,0.1741570207627866,31.62393162393162,68.37606837606837,0.0,176.0,0.719,58.75,-0.496,-2.266,-0.3903,-0.0551,1216,1068,1.172932797914658,0.0312382567323142,488,0,0,0,204,284,5,0,45,234,True,-0.2566773287771522,0.08394539382320867,1.0698686633490113,0.10324847033017823,-0.40642736731838847,-0.1715874394097685,-1.398371869959496,0.07074219322598922,0.34062272260036086,1.4691140631854853,-0.13522744510525986,-0.12202424450804042
M4|5m|5/20|d0.25,M4,5,5/20,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.25}",6213,0.0294543698696282,-0.3394273101955185,-0.1150601051510232,0.0004489753521409,-0.4245840701247726,183.0,-2637.9408276852123,0.3399323998068566,2112.0,4101.0,3199.0,3014.0,-1.208248584571833,0.6008730854825902,0.4454997553665005,44.54997553665005,0.4540384399944007,34.31514566232094,65.68485433767906,0.0,4858.7,0.555,2638.49,1.465,-18.91,-0.4639,-0.3865,35549,17955,0.1549781637780354,0.3432698318876857,20890,8,0,0,8659,12223,19,0,5991,6213,True,-0.7678539020124583,0.037531122573997086,0.4753784487100405,0.09469948068489349,-0.8943955583440004,-0.6639935935853054,-0.579562233902808,0.032669536783237765,0.8053850245864553,0.6122317706860458,-0.008076752704368886,-0.003215166913609565
M4|5m|5/20|d0.5,M4,5,5/20,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.5}",6157,0.0139678414812408,-0.2884164189033429,-0.0977682775943535,0.0003338159780834,-0.3718830390383722,85.99999999999997,-2289.683871359258,0.3347409452655514,2061.0,4096.0,3127.0,3030.0,-1.1772088263473055,0.7178289172409966,0.5486395410365617,54.86395410365616,0.3858508805196131,33.798928049374695,66.2010719506253,0.0,4254.5,0.596,2291.65,0.632,-15.373,-0.413,-0.3331,41111,16468,0.4814289666331081,0.3164756925541345,30365,11,0,0,12394,17960,22,0,11781,6157,True,-0.6883587315925067,0.008266138184092256,0.5772521143686365,0.0726478956673655,-0.7972465285518388,-0.6290787660350676,-0.8533120056714804,0.035686884065285626,0.696624869776599,0.888998889736766,0.005701703297148544,-0.021719042584044827
M5|5m|5/20,M5,5,5/20,"{""regime_fast"": 20, ""regime_slow"": 50, ""regime_tf"": 60, ""regime_tf_name"": ""1h""}",6105,0.0275184275184275,-0.2487130110682833,-0.0843094952773841,-0.0005915900173532,-0.3060956688445932,168.0,-1868.714058296242,0.3425061425061425,2091.0,4014.0,2797.0,3308.0,-1.1855086716282794,0.6937257921669351,0.5750393312078053,57.50393312078053,0.3336140963630207,34.250614250614255,65.74938574938575,0.0,3490.9,0.651,1869.75,1.095,-11.168,-0.3458,-0.2654,35994,16897,2.583992771362259,0.279210976214516,21651,0,0,0,8824,12827,12,0,6710,6105,True,-0.5853066450591093,0.02041273753394379,0.599279812281372,0.0727737579826216,-0.6963655139036955,-0.5211178086269619,-2.890088440206852,0.035362752270598354,0.6057193825930531,2.9254511924774502,0.007105689984483712,-0.007844324752170853
M1|5m|9/21,M1,5,9/21,{},5923,-0.0082728347121391,-0.2312117494744495,-0.0783768642286269,0.0005029306358526,-0.3173585177793628,-48.99999999999997,-1879.7145008071664,0.330406888401148,1957.0,3966.0,3032.0,2891.0,-1.1751976438587923,0.753859984018051,0.6123546431900798,61.23546431900798,0.3090856830672238,33.05757217626203,66.94242782373797,0.0,3693.3,0.638,1889.95,-0.357,-12.481,-0.3564,-0.2777,41667,15666,2.779497251992314,0.2551684266095587,32015,11,0,1,13222,18781,14,0,12844,5923,True,-0.5725269443889216,0.030548729091650507,0.6463775369603578,0.10226582805624893,-0.730316971584532,-0.4668754855617617,-3.0968557697716768,0.027550279913744168,0.6030756734805721,3.124406049685421,-0.03882156380378961,-0.035823114625883265
