setups_detected,rejected_warmup,rejected_stop_invalid,rejected_no_entry_bar,rejected_outside_split,eligible_setups,skipped_stop,skipped_size,rejected_position_open,trades_entered,funnel_residual,symbol,candidate_id,reconciled
10886,3,0,0,4344,6539,0,0,5014,1525,5014,BTCUSD,M1|5m|5/20,True
11172,5,0,0,4533,6634,1,0,5142,1491,5142,ETHUSD,M1|5m|5/20,True
10902,3,0,0,4483,6416,5,0,4642,1769,4642,SOLUSD,M1|5m|5/20,True
11207,3,0,0,4560,6644,5,0,5112,1527,5112,XRPUSD,M1|5m|5/20,True
5728,1,0,0,2279,3448,0,0,2083,1365,2083,BTCUSD,M2|5m|5/20|s0.00,True
5776,3,0,0,2354,3419,0,0,2105,1314,2105,ETHUSD,M2|5m|5/20|s0.00,True
5675,1,0,0,2375,3299,4,0,1808,1487,1808,SOLUSD,M2|5m|5/20|s0.00,True
5886,1,0,0,2413,3472,4,0,2137,1331,2137,XRPUSD,M2|5m|5/20|s0.00,True
66,0,0,0,33,33,0,0,0,33,0,BTCUSD,M2|5m|5/20|s0.25,True
38,0,0,0,17,21,0,0,1,20,1,ETHUSD,M2|5m|5/20|s0.25,True
46,0,0,0,18,28,2,0,0,26,0,SOLUSD,M2|5m|5/20|s0.25,True
49,0,0,0,26,23,1,0,0,22,0,XRPUSD,M2|5m|5/20|s0.25,True
0,0,0,0,0,0,0,0,0,0,0,BTCUSD,M2|5m|5/20|s0.50,True
4,0,0,0,1,3,0,0,0,3,0,ETHUSD,M2|5m|5/20|s0.50,True
0,0,0,0,0,0,0,0,0,0,0,SOLUSD,M2|5m|5/20|s0.50,True
2,0,0,0,1,1,1,0,0,0,0,XRPUSD,M2|5m|5/20|s0.50,True
855,0,0,0,309,546,0,0,177,369,177,BTCUSD,M3|5m|5/20|v1.2,True
658,0,0,0,284,374,0,0,111,263,111,ETHUSD,M3|5m|5/20|v1.2,True
665,0,0,0,289,376,3,0,86,287,86,SOLUSD,M3|5m|5/20|v1.2,True
624,0,0,0,264,360,2,0,95,263,95,XRPUSD,M3|5m|5/20|v1.2,True
193,0,0,0,70,123,0,0,18,105,18,BTCUSD,M3|5m|5/20|v1.5,True
128,0,0,0,61,67,0,0,14,53,14,ETHUSD,M3|5m|5/20|v1.5,True
90,0,0,0,38,52,3,0,6,43,6,SOLUSD,M3|5m|5/20|v1.5,True
77,0,0,0,35,42,2,0,7,33,7,XRPUSD,M3|5m|5/20|v1.5,True
5134,2,0,0,2137,2995,3,0,1477,1515,1477,BTCUSD,M4|5m|5/20|d0.25,True
5508,3,0,0,2336,3169,6,0,1621,1542,1621,ETHUSD,M4|5m|5/20|d0.25,True
5107,1,0,0,2102,3004,5,0,1412,1587,1412,SOLUSD,M4|5m|5/20|d0.25,True
5141,2,0,0,2084,3055,5,0,1481,1569,1481,XRPUSD,M4|5m|5/20|d0.25,True
7509,3,0,0,3033,4473,1,0,3050,1422,3050,BTCUSD,M4|5m|5/20|d0.5,True
