label,trades,effective_n,win_rate,price_bps,funding_bps,fee_bps,slippage_bps,gross_bps,net_bps,median_bps,ci_low,ci_high,t_net,price_r,funding_r,cost_r,net_r,profit_factor,max_dd_bps,hold_mean,pct_positive_months,pct_positive_quarters,pct_long,funding_gaps,arm,low_pctl,high_pctl,hold_h,price_lookback_h
armA|low_pctl=0.05|high_pctl=0.9|hold_h=24|price_lookback_h=24,376,228.5,0.4574,-20.761,9.605,11.8,4.0,-11.156,-26.956,-35.053,-61.335,5.315,-1.234,-0.1537,0.1194,0.1945,-0.2287,0.803,12133.7,24.0,60.0,66.7,87.8,0,A,0.05,0.9,24,24
armA|low_pctl=0.05|high_pctl=0.9|hold_h=48|price_lookback_h=24,208,156.1,0.524,-38.752,18.246,11.8,4.0,-20.506,-36.306,7.623,-106.693,26.986,-0.912,-0.1182,0.2284,0.1973,-0.0871,0.804,9861.6,47.8,60.0,66.7,88.5,0,A,0.05,0.9,48,24
armA|low_pctl=0.05|high_pctl=0.9|hold_h=72|price_lookback_h=24,108,90.5,0.4907,-30.267,27.047,11.8,4.0,-3.22,-19.02,-11.653,-126.146,85.982,-0.321,-0.1924,0.3497,0.2038,-0.0465,0.914,5816.6,71.1,40.0,33.3,87.0,0,A,0.05,0.9,72,24
armA|low_pctl=0.05|high_pctl=0.95|hold_h=24|price_lookback_h=24,376,228.5,0.4574,-20.761,9.605,11.8,4.0,-11.156,-26.956,-35.053,-61.335,5.315,-1.234,-0.1537,0.1194,0.1945,-0.2287,0.803,12133.7,24.0,60.0,66.7,87.8,0,A,0.05,0.95,24,24
armA|low_pctl=0.05|high_pctl=0.95|hold_h=48|price_lookback_h=24,208,156.1,0.524,-38.752,18.246,11.8,4.0,-20.506,-36.306,7.623,-106.693,26.986,-0.912,-0.1182,0.2284,0.1973,-0.0871,0.804,9861.6,47.8,60.0,66.7,88.5,0,A,0.05,0.95,48,24
armA|low_pctl=0.05|high_pctl=0.95|hold_h=72|price_lookback_h=24,108,90.5,0.4907,-30.267,27.047,11.8,4.0,-3.22,-19.02,-11.653,-126.146,85.982,-0.321,-0.1924,0.3497,0.2038,-0.0465,0.914,5816.6,71.1,40.0,33.3,87.0,0,A,0.05,0.95,72,24
armA|low_pctl=0.1|high_pctl=0.9|hold_h=24|price_lookback_h=24,404,202.6,0.5,0.41,9.64,11.8,4.0,10.05,-5.75,0.639,-39.356,27.335,-0.238,0.0909,0.1233,0.2013,0.0128,0.953,8114.8,23.9,60.0,33.3,90.3,0,A,0.1,0.9,24,24
armA|low_pctl=0.1|high_pctl=0.9|hold_h=48|price_lookback_h=24,222,140.4,0.5,-23.11,18.887,11.8,4.0,-4.223,-20.023,-0.272,-79.482,35.616,-0.548,0.003,0.2398,0.2007,0.0421,0.883,7384.1,47.9,40.0,33.3,93.7,0,A,0.1,0.9,48,24
armA|low_pctl=0.1|high_pctl=0.9|hold_h=72|price_lookback_h=24,151,89.8,0.4834,-61.197,26.856,11.8,4.0,-34.341,-50.141,-8.004,-147.568,38.122,-0.823,-0.4355,0.3457,0.2013,-0.2911,0.767,9801.2,71.0,60.0,66.7,92.1,0,A,0.1,0.9,72,24
armA|low_pctl=0.1|high_pctl=0.95|hold_h=24|price_lookback_h=24,404,202.6,0.5,0.41,9.64,11.8,4.0,10.05,-5.75,0.639,-39.356,27.335,-0.238,0.0909,0.1233,0.2013,0.0128,0.953,8114.8,23.9,60.0,33.3,90.3,0,A,0.1,0.95,24,24
armA|low_pctl=0.1|high_pctl=0.95|hold_h=48|price_lookback_h=24,222,140.4,0.5,-23.11,18.887,11.8,4.0,-4.223,-20.023,-0.272,-79.482,35.616,-0.548,0.003,0.2398,0.2007,0.0421,0.883,7384.1,47.9,40.0,33.3,93.7,0,A,0.1,0.95,48,24
armA|low_pctl=0.1|high_pctl=0.95|hold_h=72|price_lookback_h=24,151,89.8,0.4834,-61.197,26.856,11.8,4.0,-34.341,-50.141,-8.004,-147.568,38.122,-0.823,-0.4355,0.3457,0.2013,-0.2911,0.767,9801.2,71.0,60.0,66.7,92.1,0,A,0.1,0.95,72,24
