label,trades,win_rate,gross_bps,funding_bps,fee_bps,slip_bps,legging_bps,cost_bps,net_bps,median_bps,ci_low,ci_high,t,profit_factor,max_dd_bps,hold_median,spread_entry_med,spread_exit_med,convergence_med,cost_pct_of_gross,pct_converged,pct_stopped,pct_timeout,pct_legged,exec_model,entry_z,exit_z,max_hold_h
maker/maker|z=2.0|x=0.0|h=24,4,0.0,1.56,-75.79,4.7,1.99,0.0,6.69,-80.92,-80.64,-84.06,-77.79,-61.521,0.0,248.8,24.0,769.1,643.7,234.8,429.9,0.0,0.0,100.0,0.0,maker/maker,2.0,0.0,24
maker/maker|z=2.0|x=0.0|h=48,2,0.0,2.91,-150.91,4.69,1.99,0.0,6.68,-154.69,-154.69,-156.91,-152.46,-199.33,0.0,156.9,48.0,897.2,649.2,247.9,229.7,0.0,0.0,100.0,0.0,maker/maker,2.0,0.0,48
maker/maker|z=2.0|x=0.5|h=24,4,0.0,1.56,-75.79,4.7,1.99,0.0,6.69,-80.92,-80.64,-84.06,-77.79,-61.521,0.0,248.8,24.0,769.1,643.7,234.8,429.9,0.0,0.0,100.0,0.0,maker/maker,2.0,0.5,24
maker/maker|z=2.0|x=0.5|h=48,2,0.0,2.91,-150.91,4.69,1.99,0.0,6.68,-154.69,-154.69,-156.91,-152.46,-199.33,0.0,156.9,48.0,897.2,649.2,247.9,229.7,0.0,0.0,100.0,0.0,maker/maker,2.0,0.5,48
maker/maker|z=2.5|x=0.0|h=24,3,0.0,0.57,-77.73,4.7,1.99,0.0,6.69,-83.86,-83.94,-87.53,-80.19,-57.906,0.0,167.6,24.0,629.7,655.1,322.4,1175.7,0.0,0.0,100.0,0.0,maker/maker,2.5,0.0,24
maker/maker|z=2.5|x=0.0|h=48,2,0.0,3.42,-161.77,4.7,1.99,0.0,6.69,-165.05,-165.05,-168.64,-161.46,-131.806,0.0,168.6,48.0,640.2,604.1,36.1,196.0,0.0,0.0,100.0,0.0,maker/maker,2.5,0.0,48
maker/maker|z=2.5|x=0.5|h=24,3,0.0,0.57,-77.73,4.7,1.99,0.0,6.69,-83.86,-83.94,-87.53,-80.19,-57.906,0.0,167.6,24.0,629.7,655.1,322.4,1175.7,0.0,0.0,100.0,0.0,maker/maker,2.5,0.5,24
maker/maker|z=2.5|x=0.5|h=48,2,0.0,3.42,-161.77,4.7,1.99,0.0,6.69,-165.05,-165.05,-168.64,-161.46,-131.806,0.0,168.6,48.0,640.2,604.1,36.1,196.0,0.0,0.0,100.0,0.0,maker/maker,2.5,0.5,48
maker/maker|z=3.0|x=0.0|h=24,1,0.0,9.07,-74.9,4.7,1.99,0.0,6.7,-72.52,-72.52,,,,0.0,0.0,24.0,606.5,307.7,298.8,73.8,0.0,0.0,100.0,0.0,maker/maker,3.0,0.0,24
maker/maker|z=3.0|x=0.0|h=48,1,0.0,4.26,-153.3,4.7,1.99,0.0,6.7,-155.74,-155.74,,,,0.0,0.0,48.0,606.5,649.0,-42.5,157.3,0.0,0.0,100.0,0.0,maker/maker,3.0,0.0,48
maker/maker|z=3.0|x=0.5|h=24,1,0.0,9.07,-74.9,4.7,1.99,0.0,6.7,-72.52,-72.52,,,,0.0,0.0,24.0,606.5,307.7,298.8,73.8,0.0,0.0,100.0,0.0,maker/maker,3.0,0.5,24
maker/maker|z=3.0|x=0.5|h=48,1,0.0,4.26,-153.3,4.7,1.99,0.0,6.7,-155.74,-155.74,,,,0.0,0.0,48.0,606.5,649.0,-42.5,157.3,0.0,0.0,100.0,0.0,maker/maker,3.0,0.5,48
maker/taker|z=2.0|x=0.0|h=24,4,0.0,1.43,-75.79,4.7,2.98,0.0,7.68,-82.04,-81.76,-85.36,-78.72,-59.158,0.0,252.5,24.0,769.1,643.7,234.8,535.8,0.0,0.0,100.0,0.0,maker/taker,2.0,0.0,24
maker/taker|z=2.0|x=0.0|h=48,2,0.0,2.79,-150.91,4.69,2.98,0.0,7.67,-155.8,-155.8,-158.39,-153.21,-172.498,0.0,158.4,48.0,897.2,649.2,247.9,275.1,0.0,0.0,100.0,0.0,maker/taker,2.0,0.0,48
maker/taker|z=2.0|x=0.5|h=24,4,0.0,1.43,-75.79,4.7,2.98,0.0,7.68,-82.04,-81.76,-85.36,-78.72,-59.158,0.0,252.5,24.0,769.1,643.7,234.8,535.8,0.0,0.0,100.0,0.0,maker/taker,2.0,0.5,24
maker/taker|z=2.0|x=0.5|h=48,2,0.0,2.79,-150.91,4.69,2.98,0.0,7.67,-155.8,-155.8,-158.39,-153.21,-172.498,0.0,158.4,48.0,897.2,649.2,247.9,275.1,0.0,0.0,100.0,0.0,maker/taker,2.0,0.5,48
maker/taker|z=2.5|x=0.0|h=24,3,0.0,0.24,-77.73,4.7,2.99,0.0,7.69,-85.18,-84.93,-88.86,-81.5,-58.705,0.0,170.6,24.0,629.7,655.1,322.4,3167.3,0.0,0.0,100.0,0.0,maker/taker,2.5,0.0,24
maker/taker|z=2.5|x=0.0|h=48,2,0.0,3.42,-161.77,4.7,2.98,0.0,7.69,-166.05,-166.05,-169.64,-162.45,-132.448,0.0,169.6,48.0,640.2,604.1,36.1,225.0,0.0,0.0,100.0,0.0,maker/taker,2.5,0.0,48
maker/taker|z=2.5|x=0.5|h=24,3,0.0,0.24,-77.73,4.7,2.99,0.0,7.69,-85.18,-84.93,-88.86,-81.5,-58.705,0.0,170.6,24.0,629.7,655.1,322.4,3167.3,0.0,0.0,100.0,0.0,maker/taker,2.5,0.5,24
maker/taker|z=2.5|x=0.5|h=48,2,0.0,3.42,-161.77,4.7,2.98,0.0,7.69,-166.05,-166.05,-169.64,-162.45,-132.448,0.0,169.6,48.0,640.2,604.1,36.1,225.0,0.0,0.0,100.0,0.0,maker/taker,2.5,0.5,48
