label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time,k,exec_model,fill_model,signals,unfilled
k=2.5 maker/maker optimistic,5064,2791.6,1.81,0.6286,-0.0958,0.1806,-0.0465,0.0495,-0.00014,0.589,-20.14,-23.985,487.97,-0.1087,-0.0832,-14.551,-10.804,3.47,2.0,0.3,0.456,0.1,60.0,13.7,26.3,2.5,maker/maker,optimistic,5182,118
k=2.5 maker/maker conservative,5009,2781.8,1.8,0.6255,-0.0981,0.1797,-0.0489,0.0493,-0.00016,0.582,-20.548,-24.536,494.02,-0.1108,-0.085,-14.612,-10.889,3.48,2.0,0.299,0.46,0.1,59.7,13.8,26.5,2.5,maker/maker,conservative,5191,182
k=2.5 maker/taker optimistic,5064,2751.3,1.84,0.6224,-0.1204,0.1349,-0.0465,0.074,-0.00014,0.484,-26.153,-29.888,611.15,-0.1333,-0.108,-18.47,-13.614,3.47,2.0,0.3,0.456,0.1,60.0,13.7,26.3,2.5,maker/taker,optimistic,5182,118
k=2.5 maker/taker conservative,5009,2742.7,1.83,0.6197,-0.1225,0.1344,-0.0489,0.0737,-0.00016,0.479,-26.497,-30.381,614.65,-0.1349,-0.1094,-18.484,-13.677,3.48,2.0,0.299,0.46,0.1,59.7,13.8,26.5,2.5,maker/taker,conservative,5191,182
k=2.5 taker/taker optimistic,5288,2883.0,1.83,0.6146,-0.1379,0.0961,-0.0239,0.1142,-0.00018,0.405,-32.672,-34.751,730.44,-0.1509,-0.1252,-21.079,-15.565,3.01,2.0,0.299,0.426,0.1,62.8,12.6,24.6,2.5,taker/taker,optimistic,5288,0
k=2.5 maker/maker+delay optimistic,4381,2522.6,1.74,0.572,-0.0986,0.0455,-0.0472,0.0516,-0.00023,0.563,-19.391,-22.506,433.26,-0.1131,-0.0843,-13.471,-10.222,3.91,3.0,0.307,0.439,0.1,54.2,12.5,33.3,2.5,maker/maker+delay,optimistic,5106,117
k=2.5 maker/maker+delay conservative,4334,2511.2,1.73,0.5704,-0.101,0.0452,-0.0497,0.0516,-0.00029,0.557,-19.764,-23.034,439.14,-0.1153,-0.0867,-13.724,-10.447,3.92,3.0,0.305,0.442,0.1,53.9,12.6,33.5,2.5,maker/maker+delay,conservative,5115,176
k=3.0 maker/maker optimistic,3129,1697.0,1.84,0.6031,-0.0952,0.1748,-0.0517,0.0435,-8e-05,0.584,-19.83,-23.495,299.44,-0.1113,-0.0792,-11.521,-8.485,3.75,3.0,0.281,0.443,0.0,56.2,12.7,31.1,3.0,maker/maker,optimistic,3198,69
k=3.0 maker/maker conservative,3101,1695.9,1.83,0.6001,-0.0973,0.1739,-0.0539,0.0435,-7e-05,0.577,-20.202,-23.982,303.4,-0.1131,-0.0812,-11.9,-8.8,3.76,3.0,0.28,0.446,0.0,55.9,12.8,31.3,3.0,maker/maker,conservative,3204,103
k=3.0 maker/taker optimistic,3129,1684.3,1.86,0.5999,-0.115,0.1344,-0.0517,0.0634,-8e-05,0.497,-24.672,-28.293,360.9,-0.1309,-0.0993,-14.113,-10.354,3.75,3.0,0.281,0.443,0.0,56.2,12.7,31.1,3.0,maker/taker,optimistic,3198,69
k=3.0 maker/taker conservative,3101,1682.9,1.84,0.5972,-0.1169,0.133,-0.0539,0.0631,-7e-05,0.492,-24.991,-28.732,363.49,-0.1325,-0.1009,-14.539,-10.711,3.76,3.0,0.28,0.446,0.0,55.9,12.8,31.3,3.0,maker/taker,conservative,3204,103
k=3.0 taker/taker optimistic,3250,1749.0,1.86,0.5997,-0.1277,0.1046,-0.0304,0.0973,-6e-05,0.437,-29.424,-32.039,415.85,-0.1431,-0.1122,-16.134,-11.836,3.34,3.0,0.285,0.417,0.0,58.9,11.7,29.4,3.0,taker/taker,optimistic,3250,0
k=3.0 maker/maker+delay optimistic,2764,1572.8,1.76,0.5633,-0.0971,0.041,-0.0523,0.0448,-6e-05,0.551,-19.558,-22.577,268.84,-0.1145,-0.0803,-11.168,-8.425,4.14,4.0,0.279,0.419,0.0,51.6,11.2,37.2,3.0,maker/maker+delay,optimistic,3181,65
k=3.0 maker/maker+delay conservative,2739,1558.4,1.76,0.5612,-0.0991,0.0402,-0.0543,0.0449,-5e-05,0.545,-19.859,-23.011,271.98,-0.1163,-0.0823,-11.383,-8.586,4.16,4.0,0.278,0.422,0.0,51.3,11.3,37.4,3.0,maker/maker+delay,conservative,3186,96
k=3.5 maker/maker optimistic,2090,1186.7,1.76,0.577,-0.1,0.1549,-0.0604,0.0396,-8e-05,0.561,-20.608,-24.418,211.79,-0.118,-0.0823,-10.881,-8.199,4.02,4.0,0.262,0.443,0.0,52.0,11.8,36.2,3.5,maker/maker,optimistic,2135,45
k=3.5 maker/maker conservative,2080,1185.7,1.75,0.5745,-0.1018,0.1508,-0.0622,0.0396,-8e-05,0.555,-20.92,-24.827,214.21,-0.1197,-0.0835,-11.136,-8.408,4.04,4.0,0.261,0.445,0.0,51.7,11.9,36.4,3.5,maker/maker,conservative,2138,58
k=3.5 maker/taker optimistic,2090,1183.8,1.77,0.5742,-0.1164,0.1208,-0.0604,0.0561,-8e-05,0.489,-24.626,-28.362,245.01,-0.1342,-0.0991,-12.87,-9.686,4.02,4.0,0.262,0.443,0.0,52.0,11.8,36.2,3.5,maker/taker,optimistic,2135,45
k=3.5 maker/taker conservative,2080,1182.3,1.76,0.5721,-0.1181,0.12,-0.0622,0.0559,-8e-05,0.484,-24.897,-28.736,247.28,-0.1358,-0.1,-13.151,-9.915,4.04,4.0,0.261,0.445,0.0,51.7,11.9,36.4,3.5,maker/taker,conservative,2138,58
k=3.5 taker/taker optimistic,2155,1176.7,1.83,0.5754,-0.1278,0.0973,-0.0417,0.0861,-4e-05,0.438,-28.693,-31.783,276.99,-0.1459,-0.1098,-13.829,-10.219,3.64,3.0,0.27,0.421,0.0,54.5,11.0,34.5,3.5,taker/taker,optimistic,2155,0
