label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time,k,retest,exec_model,fill_model,signals,invalidated,expired,skipped
k=2.5 rt=0.25 maker/maker optimistic,4414,2984.8,1.48,0.5267,-0.0318,0.213,0.1092,0.1396,0.00144,0.932,-3.328,-8.296,150.32,-0.0584,-0.0044,-2.258,-1.857,3.47,3.0,0.939,0.768,0.3,46.0,34.3,19.8,2.5,0.25,maker/maker,optimistic,5674,0,993,267
k=2.5 rt=0.25 maker/maker conservative,4400,2980.3,1.48,0.5239,-0.0368,0.1806,0.1044,0.1397,0.00152,0.922,-3.854,-9.598,162.93,-0.0649,-0.0081,-2.549,-2.098,3.47,3.0,0.936,0.772,0.3,45.7,34.4,19.9,2.5,0.25,maker/maker,conservative,5677,0,1008,269
k=2.5 rt=0.25 maker/taker optimistic,4414,2918.5,1.51,0.5267,-0.0803,0.1974,0.1092,0.1881,0.00144,0.829,-8.815,-20.956,355.05,-0.1064,-0.0538,-5.839,-4.748,3.47,3.0,0.939,0.768,0.3,46.0,34.3,19.8,2.5,0.25,maker/taker,optimistic,5674,0,993,267
k=2.5 rt=0.25 maker/taker conservative,4400,2912.2,1.51,0.5239,-0.085,0.1754,0.1044,0.1879,0.00152,0.82,-9.321,-22.14,374.57,-0.1125,-0.0572,-6.005,-4.886,3.47,3.0,0.936,0.772,0.3,45.7,34.4,19.9,2.5,0.25,maker/taker,conservative,5677,0,1008,269
k=2.5 rt=0.25 taker/taker optimistic,4397,2818.6,1.56,0.5824,-0.021,0.2962,0.309,0.3289,0.00107,0.944,-2.54,-3.856,160.22,-0.0485,0.0063,-1.507,-1.206,3.35,3.0,1.217,0.641,0.3,52.9,21.4,25.7,2.5,0.25,taker/taker,optimistic,5645,0,988,260
k=2.5 rt=0.25 maker/maker+delay optimistic,3759,2632.5,1.43,0.5025,-0.0744,0.0173,0.0686,0.1413,0.00171,0.846,-7.658,-18.35,282.95,-0.1058,-0.0448,-4.825,-4.038,3.67,3.0,0.871,0.804,0.2,42.8,34.9,22.3,2.5,0.25,maker/maker+delay,optimistic,5744,0,1340,645
k=2.5 rt=0.25 maker/maker+delay conservative,3747,2617.3,1.43,0.5004,-0.0781,0.0062,0.0651,0.1415,0.00173,0.839,-8.033,-19.236,295.98,-0.1079,-0.0491,-5.15,-4.304,3.67,3.0,0.868,0.807,0.2,42.5,35.1,22.4,2.5,0.25,maker/maker+delay,conservative,5745,0,1353,645
k=2.5 rt=0.33 maker/maker optimistic,4127,2818.8,1.46,0.5343,-0.0341,0.4564,0.1218,0.1544,0.00151,0.93,-3.654,-9.551,142.32,-0.0649,-0.0035,-2.2,-1.818,3.13,2.0,1.006,0.8,0.5,48.8,36.2,15.0,2.5,0.33,maker/maker,optimistic,5810,0,1356,327
k=2.5 rt=0.33 maker/maker conservative,4112,2810.7,1.46,0.5321,-0.0377,0.416,0.1184,0.1546,0.00149,0.923,-4.034,-10.528,155.79,-0.0676,-0.0083,-2.471,-2.043,3.14,2.0,1.003,0.804,0.5,48.6,36.4,15.1,2.5,0.33,maker/maker,conservative,5813,0,1369,332
k=2.5 rt=0.33 maker/taker optimistic,4127,2751.4,1.5,0.5333,-0.0922,0.3251,0.1218,0.2125,0.00151,0.811,-10.412,-25.67,380.96,-0.1224,-0.0622,-6.111,-4.99,3.13,2.0,1.006,0.8,0.5,48.8,36.2,15.0,2.5,0.33,maker/taker,optimistic,5810,0,1356,327
k=2.5 rt=0.33 maker/taker conservative,4112,2742.4,1.5,0.5311,-0.0955,0.3123,0.1184,0.2124,0.00149,0.804,-10.776,-26.524,393.27,-0.1243,-0.0668,-6.429,-5.25,3.14,2.0,1.003,0.804,0.5,48.6,36.4,15.1,2.5,0.33,maker/taker,conservative,5813,0,1369,332
k=2.5 rt=0.33 taker/taker optimistic,4122,2628.9,1.57,0.5997,-0.0067,0.3599,0.3567,0.3624,0.00098,0.982,-0.844,-1.269,163.62,-0.0359,0.0236,-0.442,-0.353,3.0,2.0,1.323,0.635,0.4,57.7,21.2,21.1,2.5,0.33,taker/taker,optimistic,5800,0,1353,325
k=2.5 rt=0.33 maker/maker+delay optimistic,3548,2474.7,1.43,0.5217,-0.0653,0.1997,0.0919,0.1556,0.00168,0.868,-6.843,-17.788,239.62,-0.0973,-0.0332,-4.013,-3.351,3.33,2.0,0.937,0.83,0.3,46.1,36.6,17.3,2.5,0.33,maker/maker+delay,optimistic,5843,0,1619,676
k=2.5 rt=0.33 maker/maker+delay conservative,3534,2479.5,1.43,0.519,-0.0702,0.1767,0.0872,0.1558,0.00165,0.859,-7.344,-19.084,251.1,-0.1023,-0.0383,-4.298,-3.6,3.34,3.0,0.931,0.833,0.2,45.8,36.7,17.5,2.5,0.33,maker/maker+delay,conservative,5846,0,1634,678
k=2.5 rt=0.5 maker/maker optimistic,3344,2437.3,1.37,0.5589,-0.0594,0.7359,0.1416,0.2005,0.00047,0.888,-6.951,-22.055,205.09,-0.0974,-0.0209,-3.078,-2.627,2.35,1.0,1.164,0.897,1.6,53.7,39.6,6.7,2.5,0.5,maker/maker,optimistic,6099,0,2218,537
k=2.5 rt=0.5 maker/maker conservative,3324,2454.6,1.35,0.5572,-0.0635,0.7332,0.1379,0.2008,0.00057,0.881,-7.418,-23.605,215.22,-0.1006,-0.0269,-3.299,-2.835,2.35,1.0,1.16,0.902,1.6,53.5,39.7,6.7,2.5,0.5,maker/maker,conservative,6103,0,2235,544
k=2.5 rt=0.5 maker/taker optimistic,3344,2373.0,1.41,0.5553,-0.1432,0.4495,0.1416,0.2843,0.00047,0.73,-17.927,-51.296,480.12,-0.18,-0.1057,-7.663,-6.455,2.35,1.0,1.164,0.897,1.6,53.7,39.6,6.7,2.5,0.5,maker/taker,optimistic,6099,0,2218,537
k=2.5 rt=0.5 maker/taker conservative,3324,2384.8,1.39,0.5535,-0.1469,0.4468,0.1379,0.2842,0.00057,0.725,-18.343,-52.633,489.34,-0.1837,-0.111,-7.831,-6.633,2.35,1.0,1.16,0.902,1.6,53.5,39.7,6.7,2.5,0.5,maker/taker,conservative,6103,0,2235,544
k=2.5 rt=0.5 taker/taker optimistic,3360,3013.6,1.11,0.6342,-0.0158,0.3936,0.47,0.4852,0.00062,0.959,-1.843,-1.626,187.22,-0.0625,0.0273,-0.685,-0.648,2.13,1.0,1.67,0.642,0.3,67.3,20.0,12.7,2.5,0.5,taker/taker,optimistic,6131,0,2226,545
k=2.5 rt=0.5 maker/maker+delay optimistic,2996,2301.1,1.3,0.5648,-0.0431,0.7354,0.156,0.1982,0.00095,0.916,-4.997,-14.945,135.19,-0.0814,-0.007,-2.294,-2.011,2.44,2.0,1.135,0.889,1.5,53.9,38.3,7.8,2.5,0.5,maker/maker+delay,optimistic,6089,0,2252,841
