label,trades,family,swing_n,struct_tf,exec_tf,trigger,grid,signals,skipped_stop,skipped_size,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
A|N2|5m|oneshot,8166,A,2,5,5,oneshot,primary,13794,379,0,8118.7,4,0.3091,0.0066,-1.2919,-1.0,0.8812,0.2987,0.00174,1.1816,-1.175,54.0,-9595.3,0.274,1.01,9599.1,0.3271,178.691,100.0,33.6,66.4,0.6,30.0,23.14,0.6435,0.4886,0.3354,2.0,10.0,15.0,1.078,-1.045,3.0,0.985,0.419,-13.98,-0.0261,0.036,-1.3532,-1.0173
A|N2|5m|level,9132,A,2,5,5,level,primary,125291,6215,0,8888.0,4,0.2866,-0.0039,-1.2849,-1.0,1.5166,0.5141,0.00312,2.0339,-2.0378,-36.0,-18609.4,0.169,0.994,18613.8,0.3232,,100.0,33.2,66.8,1.9,26.5,25.88,0.6237,0.4829,0.3319,2.0,10.0,25.0,0.995,-1.028,3.0,1.039,-0.263,-17.3,-0.0329,0.0256,-2.2664,-1.8128
A|N2|15m|oneshot,2785,A,2,15,15,oneshot,primary,4692,145,0,1973.5,4,0.3282,0.018,-1.1511,-1.0,0.3671,0.1244,0.00092,0.4925,-0.4745,50.0,-1321.6,0.531,1.027,1329.0,0.5992,27.432,100.0,33.9,66.1,0.2,91.0,7.9,0.6697,0.4995,0.339,2.0,30.0,45.0,0.953,-0.962,3.0,1.007,0.557,-11.677,-0.0338,0.0707,-0.5421,-0.4088
A|N2|15m|level,3366,A,2,15,15,level,primary,41785,2330,0,2978.9,4,0.3191,0.0116,-1.1428,-1.0,0.8072,0.2736,-0.00116,1.0797,-1.0681,39.0,-3595.3,0.326,1.017,3602.3,0.5847,93.187,100.0,33.7,66.3,1.1,80.0,9.54,0.6465,0.4831,0.3366,2.0,30.0,75.0,0.879,-0.943,3.0,1.0,0.443,-7.787,-0.0375,0.0597,-1.3357,-0.8395
A|N2|60m|oneshot,804,A,2,60,60,oneshot,primary,1203,74,0,607.9,4,0.3308,0.0037,-1.0821,-1.0,0.1893,0.0642,0.00419,0.2577,-0.2539,3.0,-204.2,0.702,1.006,210.7,1.1926,69.058,100.0,33.5,66.5,0.2,387.5,2.29,0.6654,0.505,0.3333,2.0,120.0,180.0,0.953,-0.856,3.0,1.036,0.069,-4.431,-0.0858,0.097,-0.3521,-0.1608
A|N2|60m|level,1080,A,2,60,60,level,primary,10249,1051,0,762.6,4,0.3343,0.0361,-1.0775,-1.0,0.3417,0.1158,0.00437,0.4619,-0.4258,39.0,-459.9,0.579,1.055,467.3,1.1701,12.792,100.0,34.5,65.5,0.6,277.0,3.07,0.6481,0.5056,0.3435,2.0,120.0,300.0,0.898,-0.882,3.0,1.06,0.748,-5.267,-0.0444,0.1167,-0.5562,-0.2938
A|N3|5m|oneshot,5771,A,3,5,5,oneshot,primary,9740,290,0,5771.0,4,0.3183,0.009,-1.231,-1.0,0.7515,0.2547,0.00162,1.0079,-0.9989,52.0,-5764.5,0.323,1.014,5763.5,0.3949,111.855,100.0,33.6,66.4,0.4,46.0,16.36,0.6527,0.5011,0.3363,3.0,15.0,20.0,1.288,-1.242,5.0,1.024,0.485,-8.839,-0.0274,0.0459,-1.2427,-0.8029
A|N3|5m|level,7235,A,3,5,5,level,primary,125466,6686,0,6512.5,4,0.2867,-0.0156,-1.2466,-1.0,1.5117,0.5125,0.0019,2.0261,-2.0417,-113.0,-14771.9,0.174,0.977,14774.8,0.3568,,100.0,32.8,67.2,2.3,33.0,20.51,0.6249,0.4814,0.3281,3.0,15.0,35.0,1.135,-1.317,5.0,1.05,-0.868,-14.03,-0.0488,0.0176,-2.3341,-1.7962
A|N3|15m|oneshot,2087,A,3,15,15,oneshot,primary,3393,125,0,1819.6,4,0.3474,0.0637,-1.1262,-1.0,0.4301,0.1458,0.00335,0.5793,-0.5156,133.0,-1076.0,0.532,1.099,1087.8,0.7214,9.09,100.0,35.5,64.5,0.3,130.0,5.92,0.6675,0.5079,0.3536,3.0,45.0,60.0,1.162,-1.138,5.0,1.055,1.808,-5.415,-0.0024,0.1255,-0.6944,-0.3537
A|N3|15m|level,2746,A,3,15,15,level,primary,41368,2876,0,2746.0,4,0.3237,0.0401,-1.1309,-1.0,0.8849,0.3,0.00231,1.1872,-1.1471,110.0,-3150.0,0.315,1.061,3165.0,0.6437,29.636,100.0,34.7,65.3,1.6,92.0,7.79,0.6333,0.4811,0.3456,3.0,45.0,105.0,1.04,-1.215,4.0,1.0,1.449,-9.763,-0.0124,0.0969,-1.3867,-0.9346
A|N3|60m|oneshot,532,A,3,60,60,oneshot,primary,844,80,0,406.6,4,0.344,0.032,-1.0741,-1.0,0.1677,0.0569,0.00595,0.2305,-0.1986,17.0,-105.6,0.76,1.049,110.5,1.3969,7.214,100.0,34.4,65.6,0.4,463.5,1.52,0.6673,0.4925,0.3365,3.0,180.0,270.0,1.18,-1.139,4.0,0.99,0.503,-2.802,-0.0752,0.1447,-0.3207,-0.0766
A|N3|60m|level,849,A,3,60,60,level,primary,9996,1275,0,558.4,4,0.3357,0.0459,-1.0743,-1.0,0.4983,0.1689,0.00495,0.6722,-0.6263,39.0,-531.7,0.488,1.071,533.8,1.2591,14.634,100.0,34.9,65.1,0.6,297.0,2.42,0.6478,0.4829,0.3439,3.0,180.0,420.0,1.132,-1.285,4.0,0.954,0.836,-2.189,-0.0425,0.1343,-1.1616,-0.3012
A|N5|5m|oneshot,3953,A,5,5,5,oneshot,primary,6365,220,0,2962.7,4,0.3289,0.0367,-1.1781,-1.0,0.5015,0.17,0.002,0.6735,-0.6368,145.0,-2517.3,0.449,1.056,2524.8,0.4956,18.361,100.0,34.6,65.4,0.2,64.0,11.21,0.6524,0.4978,0.3456,5.0,25.0,30.0,1.578,-1.581,8.0,1.005,1.35,-11.434,-0.0096,0.0845,-0.7367,-0.5486
A|N5|5m|level,5249,A,5,5,5,level,primary,125854,7196,0,4176.8,4,0.2922,0.0042,-1.1988,-1.0,1.4088,0.4776,0.0025,1.8888,-1.8846,22.0,-9892.5,0.192,1.006,9902.2,0.4213,450.66,100.0,33.5,66.5,2.4,41.0,14.89,0.6165,0.4831,0.3345,5.0,25.0,60.0,1.322,-1.742,7.0,1.068,0.187,-11.73,-0.0341,0.0425,-2.1856,-1.6305
A|N5|15m|oneshot,1338,A,5,15,15,oneshot,primary,2152,109,0,928.7,4,0.3393,0.0291,-1.106,-1.0,0.2599,0.0881,0.00324,0.3512,-0.322,39.0,-430.9,0.646,1.044,438.3,0.8949,12.048,100.0,34.3,65.7,0.2,226.0,3.81,0.657,0.5075,0.3408,5.0,75.0,97.5,1.487,-1.462,8.0,1.055,0.652,-5.729,-0.0426,0.1009,-0.4203,-0.2365
A|N5|15m|level,1947,A,5,15,15,level,primary,40996,3231,0,1947.0,4,0.321,0.0324,-1.1096,-1.0,0.7714,0.2615,0.00338,1.0363,-1.004,63.0,-1954.7,0.349,1.049,1962.9,0.7554,32.027,100.0,34.4,65.6,1.6,128.0,5.53,0.641,0.4972,0.3421,5.0,75.0,180.0,1.29,-1.605,7.0,1.062,0.996,-6.858,-0.0293,0.0955,-1.3224,-0.7455
A|N5|60m|oneshot,350,A,5,60,60,oneshot,primary,531,73,0,269.7,4,0.3429,0.0286,-1.0557,-1.0,0.1318,0.0447,0.00548,0.1819,-0.1533,10.0,-53.7,0.804,1.043,57.7,1.7925,6.366,100.0,34.3,65.7,0.0,727.0,1.0,0.66,0.4857,0.3429,5.0,300.0,360.0,1.463,-1.656,7.0,0.968,0.341,-1.741,-0.1086,0.1743,-0.3016,-0.0036
A|N5|60m|level,670,A,5,60,60,level,primary,10174,1771,0,280.7,4,0.3149,-0.0194,-1.0714,-1.0,0.7849,0.2661,0.00275,1.0537,-1.0731,-13.0,-719.0,0.337,0.971,722.5,1.2055,,100.0,32.7,67.3,0.9,326.0,1.91,0.6373,0.4716,0.3254,5.0,300.0,660.0,1.542,-1.996,7.0,0.957,-0.236,-1.941,-0.1224,0.0836,-1.8885,-0.4946
A|N8|5m|oneshot,2492,A,8,5,5,oneshot,primary,4157,146,0,2492.0,4,0.3395,0.0449,-1.1393,-1.0,0.442,0.1498,0.00113,0.593,-0.5481,112.0,-1365.8,0.507,1.069,1378.1,0.6479,13.195,100.0,34.8,65.2,0.2,99.0,7.07,0.6621,0.498,0.3475,8.0,40.0,55.0,2.003,-2.03,12.0,1.0,1.413,-5.358,-0.0201,0.1064,-0.7776,-0.3826
A|N8|5m|level,3726,A,8,5,5,level,primary,125478,7702,0,3635.1,4,0.2982,0.0064,-1.1682,-1.0,1.4981,0.5078,-0.00042,2.0055,-1.9991,24.0,-7448.6,0.19,1.01,7457.5,0.4758,311.358,100.0,33.5,66.5,2.4,48.0,10.57,0.6157,0.4742,0.3347,8.0,40.0,95.0,1.586,-2.393,11.0,1.032,0.268,-8.435,-0.0395,0.0524,-2.506,-1.5761
