label,trades,symbol,family,swing_n,struct_tf,exec_tf,trigger,grid,candidate,split,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
A|N2|5m|oneshot|BTCUSD,1873,BTCUSD,A,2,5,5,oneshot,primary,A|N2|5m|oneshot,train,1478.3,1,0.283,0.0235,-1.4847,-1.0,1.6251,0.5509,0.00384,2.1798,-2.1563,44.0,-4038.8,0.14,1.036,4035.3,0.2069,92.792,100.0,34.1,65.9,0.6,31.0,5.31,0.6476,0.4949,0.3406,2.0,10.0,15.0,1.166,-1.075,3.0,1.012,0.631,-6.177,-0.0406,0.0876,-2.7897,-1.6047
A|N2|5m|oneshot|ETHUSD,2122,ETHUSD,A,2,5,5,oneshot,primary,A|N2|5m|oneshot,train,2122.0,1,0.3167,0.0108,-1.2901,-1.0,0.7196,0.2439,0.00268,0.9662,-0.9554,23.0,-2027.3,0.326,1.016,2032.3,0.3375,89.143,100.0,33.7,66.3,0.5,32.0,6.01,0.6555,0.4967,0.3369,2.0,10.0,15.0,1.034,-1.053,3.0,1.008,0.357,-10.253,-0.0472,0.073,-1.1592,-0.796
A|N2|5m|oneshot|SOLUSD,2135,SOLUSD,A,2,5,5,oneshot,primary,A|N2|5m|oneshot,train,2135.0,1,0.3237,0.0019,-1.228,-1.0,0.614,0.2081,0.00145,0.8235,-0.8217,4.0,-1754.2,0.371,1.003,1753.5,0.4057,439.559,100.0,33.4,66.6,0.6,28.0,6.05,0.6375,0.4834,0.334,2.0,10.0,15.0,1.049,-1.002,3.0,0.966,0.062,-8.767,-0.06,0.0595,-1.0337,-0.66
A|N2|5m|oneshot|XRPUSD,2036,XRPUSD,A,2,5,5,oneshot,primary,A|N2|5m|oneshot,train,2036.0,1,0.3099,-0.0083,-1.2609,-1.0,0.6455,0.2188,-0.00089,0.8634,-0.8718,-17.0,-1775.0,0.349,0.988,1784.4,0.3734,,100.0,33.1,66.9,0.6,28.0,5.77,0.6336,0.4799,0.3306,2.0,10.0,15.0,1.059,-1.044,3.0,0.965,-0.258,-13.805,-0.0747,0.0535,-1.0014,-0.7524
A|N2|5m|level|BTCUSD,2058,BTCUSD,A,2,5,5,level,primary,A|N2|5m|level,train,2058.0,1,0.259,0.0117,-1.4991,-1.0,2.6901,0.9119,0.00561,3.6076,-3.5959,24.0,-7400.4,0.084,1.018,7400.6,0.1983,309.351,100.0,33.7,66.3,1.9,26.0,5.84,0.6302,0.4966,0.3367,2.0,10.0,25.0,1.042,-1.071,3.0,1.091,0.387,-9.501,-0.0467,0.07,-4.386,-2.9108
A|N2|5m|level|ETHUSD,2397,ETHUSD,A,2,5,5,level,primary,A|N2|5m|level,train,2397.0,1,0.2924,-0.0013,-1.2815,-1.0,1.2432,0.4214,0.00537,1.6699,-1.6712,-3.0,-4005.9,0.204,0.998,4007.0,0.3297,,100.0,33.3,66.7,2.1,28.0,6.79,0.6224,0.4806,0.3329,2.0,10.0,25.0,0.932,-1.034,3.0,1.05,-0.043,-12.634,-0.0588,0.0551,-1.9475,-1.425
A|N2|5m|level|SOLUSD,2393,SOLUSD,A,2,5,5,level,primary,A|N2|5m|level,train,2393.0,1,0.3063,0.0042,-1.2162,-1.0,1.2922,0.438,0.00135,1.7316,-1.7274,10.0,-4133.7,0.208,1.006,4133.0,0.4017,414.374,100.0,33.5,66.5,1.7,27.0,6.78,0.6281,0.4852,0.3347,2.0,10.0,25.0,0.988,-0.969,3.0,1.053,0.141,-7.195,-0.0523,0.0656,-2.2348,-1.3071
A|N2|5m|level|XRPUSD,2284,XRPUSD,A,2,5,5,level,primary,A|N2|5m|level,train,2182.5,1,0.2846,-0.0293,-1.2452,-1.0,0.9815,0.3327,0.00037,1.3145,-1.3439,-67.0,-3069.4,0.243,0.957,3084.9,0.3786,,100.0,32.4,67.6,1.7,25.0,6.48,0.6147,0.4707,0.3236,2.0,10.0,25.0,1.017,-1.025,3.0,0.968,-0.957,-14.013,-0.0898,0.0285,-1.5325,-1.1669
A|N2|15m|oneshot|BTCUSD,544,BTCUSD,A,2,15,15,oneshot,primary,A|N2|15m|oneshot,train,544.0,1,0.3548,0.1415,-1.2231,-1.0,0.552,0.1871,0.00543,0.7445,-0.603,77.0,-328.0,0.469,1.228,340.6,0.3797,5.26,100.0,38.1,61.9,0.2,97.5,1.55,0.7004,0.5331,0.3805,2.0,30.0,45.0,0.903,-0.931,3.0,1.137,2.325,-6.524,0.0202,0.2629,-0.7916,-0.4256
A|N2|15m|oneshot|ETHUSD,723,ETHUSD,A,2,15,15,oneshot,primary,A|N2|15m|oneshot,train,686.8,1,0.3306,-0.0,-1.1586,-1.0,0.3228,0.1094,0.00253,0.4348,-0.4348,-0.0,-314.3,0.555,1.0,320.4,0.5912,,100.0,33.3,66.7,0.3,84.0,2.06,0.6542,0.491,0.332,2.0,30.0,60.0,0.923,-0.987,3.0,0.992,-0.0,-6.881,-0.108,0.1079,-0.5549,-0.3114
A|N2|15m|oneshot|SOLUSD,762,SOLUSD,A,2,15,15,oneshot,primary,A|N2|15m|oneshot,train,762.0,1,0.3307,0.0157,-1.1136,-1.0,0.2927,0.0992,0.00274,0.3947,-0.379,12.0,-288.8,0.6,1.024,293.2,0.7433,25.064,100.0,33.9,66.1,0.0,99.0,2.16,0.6942,0.5171,0.3386,2.0,30.0,45.0,0.964,-0.944,3.0,1.084,0.306,-6.627,-0.0827,0.1142,-0.4891,-0.2706
A|N2|15m|oneshot|XRPUSD,756,XRPUSD,A,2,15,15,oneshot,primary,A|N2|15m|oneshot,train,756.0,1,0.3042,-0.0516,-1.1516,-1.0,0.3515,0.1191,-0.00569,0.4649,-0.5165,-39.0,-390.5,0.495,0.925,394.4,0.6578,,100.0,31.6,68.4,0.3,84.0,2.14,0.6376,0.4656,0.3161,2.0,30.0,45.0,1.004,-0.972,3.0,0.881,-1.01,-7.878,-0.1508,0.0476,-0.6525,-0.3959
