symbol,struct_tf,swing_n,bars,bull_pct,bear_pct,conf_delay_bars,conf_delay_min
BTCUSD,5,2,101685,30.51,30.75,2,10
BTCUSD,5,3,101685,30.73,30.16,3,15
BTCUSD,5,5,101685,30.86,29.56,5,25
BTCUSD,5,8,101685,30.99,29.1,8,40
BTCUSD,15,2,33895,30.63,30.3,2,30
BTCUSD,15,3,33895,31.12,28.73,3,45
BTCUSD,15,5,33895,31.29,28.66,5,75
BTCUSD,15,8,33895,29.38,29.58,8,120
BTCUSD,60,2,8474,29.62,29.3,2,120
BTCUSD,60,3,8474,29.73,28.66,3,180
BTCUSD,60,5,8474,29.86,30.51,5,300
BTCUSD,60,8,8474,26.66,29.77,8,480
ETHUSD,5,2,101685,31.17,29.68,2,10
ETHUSD,5,3,101685,30.56,29.07,3,15
ETHUSD,5,5,101685,30.91,29.17,5,25
ETHUSD,5,8,101685,31.61,29.65,8,40
ETHUSD,15,2,33895,31.87,29.12,2,30
ETHUSD,15,3,33895,30.93,28.67,3,45
ETHUSD,15,5,33895,31.2,27.19,5,75
ETHUSD,15,8,33895,30.84,29.55,8,120
ETHUSD,60,2,8474,31.04,29.21,2,120
ETHUSD,60,3,8474,31.96,28.72,3,180
ETHUSD,60,5,8474,32.26,26.56,5,300
ETHUSD,60,8,8474,31.52,25.7,8,480
SOLUSD,5,2,101685,31.28,30.53,2,10
SOLUSD,5,3,101685,31.84,29.9,3,15
SOLUSD,5,5,101685,32.2,29.14,5,25
SOLUSD,5,8,101685,30.82,29.22,8,40
SOLUSD,15,2,33895,30.98,29.74,2,30
SOLUSD,15,3,33895,30.38,29.73,3,45
SOLUSD,15,5,33895,29.49,30.06,5,75
SOLUSD,15,8,33895,30.74,30.39,8,120
SOLUSD,60,2,8474,30.87,29.8,2,120
SOLUSD,60,3,8474,28.91,30.62,3,180
SOLUSD,60,5,8474,30.13,31.89,5,300
SOLUSD,60,8,8474,31.9,27.0,8,480
XRPUSD,5,2,101685,30.27,31.27,2,10
XRPUSD,5,3,101685,30.25,30.51,3,15
XRPUSD,5,5,101685,29.8,30.99,5,25
XRPUSD,5,8,101685,29.98,30.74,8,40
XRPUSD,15,2,33895,29.81,30.22,2,30
XRPUSD,15,3,33895,29.62,30.6,3,45
XRPUSD,15,5,33895,28.98,30.66,5,75
XRPUSD,15,8,33895,28.54,29.9,8,120
XRPUSD,60,2,8474,29.43,30.34,2,120
XRPUSD,60,3,8474,27.38,31.72,3,180
XRPUSD,60,5,8474,27.84,31.44,5,300
XRPUSD,60,8,8474,28.83,32.63,8,480
