label,trades,effective_n,win_rate,avg_win_r,avg_loss_r,gross_r,fee_r,slip_r,funding_r,cost_r,net_r,t_gross,t_net,ci_low,ci_high,profit_factor,max_dd_r,dur_mean,dur_median,trades_per_day,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,arm,split,desc,signals,skipped_stop,skipped_size
A|train,4356,2671.5,0.3398,1.6675,-1.3898,0.0317,0.2856,0.0968,0.00029,0.3827,-0.351,1.198,-9.569,-0.4064,-0.2967,0.617,1529.1,346.5,77.0,12.35,0.6724,12.079,47.2,34.4,65.6,0.0,A,train,full stack + WPR,100752,266,0
A|valid,1504,668.1,0.3072,1.6791,-1.406,-0.0505,0.3031,0.1027,0.00192,0.4078,-0.4583,-0.944,-6.477,-0.5509,-0.3685,0.53,687.3,333.9,81.0,12.81,0.6865,,48.9,31.6,68.4,0.0,A,valid,full stack + WPR,135604,312,5
B|train,4439,2493.1,0.3453,1.6738,-1.4102,0.0577,0.3006,0.1019,0.0004,0.4028,-0.3452,2.114,-9.08,-0.4032,-0.2898,0.626,1532.3,352.5,79.0,12.61,0.6741,6.985,47.8,35.3,64.7,0.1,B,train,remove WPR,211310,476,0
B|valid,1530,608.6,0.3098,1.6789,-1.4243,-0.0431,0.3117,0.1056,0.00245,0.4198,-0.4629,-0.768,-6.078,-0.5598,-0.3691,0.529,706.3,328.0,86.0,13.03,0.6978,,47.9,31.9,68.1,0.0,B,valid,remove WPR,285506,558,0
C|train,6355,3485.7,0.3333,1.5699,-1.5193,0.0206,0.3812,0.1292,-3e-05,0.5103,-0.4897,0.863,-14.103,-0.5412,-0.44,0.517,3112.3,238.5,43.0,18.01,0.4852,24.758,47.7,34.0,66.0,0.0,C,train,remove 1m ADX/DI,189237,338,753
C|valid,2421,840.2,0.2999,1.4508,-1.686,-0.0533,0.5145,0.1744,0.00306,0.692,-0.7453,-1.167,-9.77,-0.8349,-0.6592,0.369,1802.3,145.8,27.0,20.59,0.3583,,48.1,31.6,68.4,0.0,C,valid,remove 1m ADX/DI,250456,407,13431
D|train,5601,3307.4,0.321,1.5612,-1.9849,0.0407,0.6625,0.2246,0.00016,0.8872,-0.8465,1.644,-9.722,-0.9818,-0.7252,0.372,4741.5,267.6,42.0,15.88,0.5063,21.796,46.1,34.7,65.3,0.4,D,train,remove 1m Supertrend,134828,334,235
D|valid,2238,1470.7,0.2668,1.4443,-2.5544,-0.0483,1.0737,0.364,0.00184,1.4395,-1.4877,-1.337,-5.347,-2.0158,-1.1503,0.206,3325.1,166.6,20.0,19.02,0.3153,,49.8,31.7,68.3,0.4,D,valid,remove 1m Supertrend,182169,419,9005
E|train,9705,5782.0,0.2764,1.2556,-2.9459,0.0612,1.3787,0.4674,-0.0001,1.846,-1.7848,3.341,-12.893,-2.0121,-1.5931,0.163,17321.3,101.8,6.0,27.57,0.1812,30.16,46.9,35.4,64.6,0.9,E,train,5m regime + WPR only,324567,741,111477
E|valid,321,153.1,0.271,0.7318,-2.6746,0.0748,1.3638,0.4623,0.0,1.8262,-1.7514,0.575,-9.182,-2.0134,-1.49,0.102,559.0,2.3,1.0,5.11,0.1203,24.425,45.8,35.8,64.2,3.1,E,valid,5m regime + WPR only,432381,1191,217935
