window_bars,rr,tr_trades,tr_n_eff,tr_wins,tr_losses,tr_win_rate,tr_gross_r,tr_cost_r,tr_net_r,tr_t,tr_trades_per_day,va_trades,va_n_eff,va_wins,va_losses,va_win_rate,va_gross_r,va_cost_r,va_net_r,va_t,va_trades_per_day,sl_pct
0,1.0,7304,5258.7,3589,3715,0.4914,-0.0173,0.1584,-0.1756,-12.74,20.7,2122,1388.4,1082,1040,0.5099,0.0198,0.157,-0.1372,-5.11,18.04,
1,1.0,9368,6278.0,4632,4736,0.4944,-0.0111,0.1583,-0.1694,-13.42,26.55,2624,1368.3,1345,1279,0.5126,0.0252,0.1571,-0.1319,-4.88,22.3,
2,1.0,10185,6387.2,5015,5170,0.4924,-0.0152,0.1582,-0.1735,-13.87,28.86,2843,1491.5,1445,1398,0.5083,0.0165,0.1568,-0.1402,-5.41,24.16,
3,1.0,10623,6731.4,5215,5408,0.4909,-0.0182,0.1583,-0.1764,-14.48,30.1,2961,1453.9,1509,1452,0.5096,0.0193,0.1568,-0.1376,-5.24,25.16,
5,1.0,11161,7107.8,5498,5663,0.4926,-0.0148,0.1583,-0.1731,-14.6,31.62,3079,1465.6,1572,1507,0.5106,0.0211,0.1569,-0.1358,-5.2,26.17,
10,1.0,11624,6959.7,5724,5900,0.4924,-0.0151,0.1583,-0.1735,-14.47,32.93,3215,1477.6,1626,1589,0.5058,0.0115,0.157,-0.1455,-5.59,27.32,
0,1.5,5970,4645.4,2345,3625,0.3928,-0.018,0.1584,-0.1764,-9.84,16.93,1688,981.1,687,1001,0.407,0.0175,0.156,-0.1386,-3.53,14.35,
1,1.5,7403,4846.4,2859,4544,0.3862,-0.0345,0.1581,-0.1926,-11.02,20.99,2000,960.5,807,1193,0.4035,0.0088,0.1563,-0.1476,-3.73,17.01,
2,1.5,7977,5142.5,3073,4904,0.3852,-0.0369,0.1581,-0.195,-11.5,22.61,2146,962.0,863,1283,0.4021,0.0054,0.1561,-0.1507,-3.81,18.25,
3,1.5,8265,5323.1,3160,5105,0.3823,-0.0442,0.1581,-0.2022,-12.15,23.43,2229,962.9,898,1331,0.4029,0.0072,0.1559,-0.1487,-3.76,18.95,
5,1.5,8592,5276.8,3304,5288,0.3845,-0.0386,0.1581,-0.1967,-11.75,24.36,2308,931.2,926,1382,0.4012,0.003,0.156,-0.153,-3.81,19.62,
10,1.5,8920,5350.2,3435,5485,0.3851,-0.0373,0.158,-0.1953,-11.74,25.29,2411,957.5,964,1447,0.3998,-0.0004,0.1561,-0.1565,-3.95,20.49,
0,2.0,5088,3481.6,1713,3375,0.3367,0.01,0.1585,-0.1485,-6.18,14.43,1417,984.2,495,922,0.3493,0.048,0.1566,-0.1086,-2.38,12.05,
1,2.0,6146,3885.0,2015,4131,0.3279,-0.0164,0.1581,-0.1745,-7.72,17.42,1651,879.4,566,1085,0.3428,0.0285,0.156,-0.1276,-2.65,14.04,
2,2.0,6556,3904.3,2128,4428,0.3246,-0.0262,0.158,-0.1842,-8.2,18.58,1744,796.0,594,1150,0.3406,0.0218,0.1556,-0.1338,-2.65,14.83,
3,2.0,6774,4140.6,2174,4600,0.3209,-0.0372,0.1579,-0.1951,-8.97,19.2,1803,810.0,624,1179,0.3461,0.0383,0.1556,-0.1173,-2.34,15.33,
5,2.0,7021,4117.9,2259,4762,0.3217,-0.0348,0.1578,-0.1926,-8.82,19.9,1853,782.7,634,1219,0.3421,0.0264,0.1556,-0.1291,-2.54,15.76,
10,2.0,7262,4041.2,2348,4914,0.3233,-0.03,0.1578,-0.1878,-8.51,20.59,1932,760.9,665,1267,0.3442,0.0326,0.1559,-0.1233,-2.39,16.42,
0,1.5,5970,4645.4,2345,3625,0.3928,-0.018,0.1584,-0.1764,-9.84,16.93,1688,981.1,687,1001,0.407,0.0175,0.156,-0.1386,-3.53,14.35,0.01
0,2.0,5088,3481.6,1713,3375,0.3367,0.01,0.1585,-0.1485,-6.18,14.43,1417,984.2,495,922,0.3493,0.048,0.1566,-0.1086,-2.38,12.05,0.01
0,1.5,3573,2825.3,1409,2164,0.3943,-0.0141,0.1058,-0.1199,-5.22,10.13,997,663.1,433,564,0.4343,0.0858,0.1022,-0.0165,-0.34,8.48,0.015
0,2.0,2944,2368.3,988,1956,0.3356,0.0068,0.1056,-0.0988,-3.39,8.35,795,482.7,277,518,0.3484,0.0453,0.1036,-0.0583,-0.9,6.76,0.015
0,1.5,2353,2003.3,945,1408,0.4016,0.004,0.0792,-0.0752,-2.75,6.68,648,442.0,261,387,0.4028,0.0069,0.0754,-0.0684,-1.17,5.51,0.02
0,2.0,1935,1642.3,680,1255,0.3514,0.0543,0.079,-0.0247,-0.7,5.49,503,303.1,153,350,0.3042,-0.0875,0.0809,-0.1684,-2.12,4.35,0.02
0,1.5,1262,1040.7,537,725,0.4255,0.0638,0.0527,0.011,0.29,3.58,348,265.0,135,213,0.3879,-0.0302,0.0506,-0.0807,-1.08,2.96,0.03
0,2.0,1011,851.9,361,650,0.3571,0.0712,0.052,0.0192,0.39,2.87,281,219.4,96,185,0.3416,0.0249,0.0481,-0.0232,-0.24,2.39,0.03
0,1.5,757,590.0,298,459,0.3937,-0.0159,0.0391,-0.055,-1.09,2.15,211,193.2,87,124,0.4123,0.0308,0.0343,-0.0035,-0.04,1.8,0.04
0,2.0,594,527.8,204,390,0.3434,0.0303,0.0357,-0.0054,-0.09,1.69,160,114.0,53,107,0.3312,-0.0062,0.0324,-0.0387,-0.29,1.37,0.04
