symbol,bars,synthetic_ratio,usable_start,usable_end,usable_days,halt_bars,passes,reason,age_days,coverage
BTCUSD,20155,0.0,1785273000.0,1786482480.0,13.998611111111112,0,True,ok,967.3323726851852,0.9999007936507937
ETHUSD,20156,0.00019845207382417147,1785273000.0,1786482480.0,13.998611111111112,0,True,ok,918.3784606481481,0.9999007936507937
SOLUSD,20159,0.013939183491244605,1785273000.0,1786482480.0,13.998611111111112,0,True,ok,855.3977662037037,0.9999007936507937
BEATUSD,20159,0.015278535641648891,1785273000.0,1786482480.0,13.998611111111112,0,True,ok,218.44685185185185,0.9999007936507937
BLESSUSD,15021,0.009852872644963718,1785581280.0,1786482480.0,10.430555555555555,0,False,only liquid for 75% of the window,308.62086805555555,0.7450396825396826
XAUTUSD,20159,0.009921127040031747,1785273000.0,1786482480.0,13.998611111111112,0,False,listed 116d ago < 180d,116.43331018518519,0.9999007936507937
SKYAIUSD,12900,0.011782945736434108,1785708360.0,1786482480.0,8.959722222222222,0,False,only liquid for 64% of the window; listed 99d ago < 180d,99.36512731481481,0.6399801587301587
BMTUSD,3926,0.022669383596535916,1786246980.0,1786482480.0,2.7256944444444446,0,False,only liquid for 19% of the window,508.6848958333333,0.19469246031746032
PAXGUSD,20158,0.029963290008929458,1785273000.0,1786482480.0,13.998611111111112,0,False,listed 173d ago < 180d,173.32622685185186,0.9999007936507937
TSTUSD,6534,0.04346495255586165,1786090500.0,1786482480.0,4.5368055555555555,0,False,only liquid for 32% of the window,537.5154513888889,0.3240575396825397
XRPUSD,20158,0.06950094255382479,1785273000.0,1786482480.0,13.998611111111112,0,False,synthetic 7.0% > 5%,853.6522569444444,0.9999007936507937
AKEUSD,20159,0.09896324222431668,1785273000.0,1786482480.0,13.998611111111112,23,False,synthetic 9.9% > 5%; listed 20d ago < 180d,20.420613425925925,0.9999007936507937
SNDKBUSD,20155,0.19558422227735053,1785273000.0,1786482360.0,13.997222222222222,82,False,synthetic 19.6% > 5%; listed 33d ago < 180d,33.481886574074075,0.9998015873015873
COOKIEUSD,8132,0.23893261190359075,1785994620.0,1786482480.0,5.646527777777778,22,False,synthetic 23.9% > 5%; only liquid for 40% of the window,564.634849537037,0.4033234126984127
SLVONUSD,20108,0.27078774617067836,,,0.0,0,False,synthetic 27.1% > 5%; never reaches continuous liquidity; listed 166d ago < 180d,166.35822916666666,0.0
MMTUSD,18158,0.3045489591364688,1785392820.0,1786482360.0,12.610416666666667,280,False,synthetic 30.5% > 5%,272.6472685185185,0.9007440476190477
SPCXXUSD,20150,0.36074441687344916,,,0.0,0,False,synthetic 36.1% > 5%; never reaches continuous liquidity; listed 57d ago < 180d,56.52619212962963,0.0
HUSD,20144,0.36616362192216045,,,0.0,0,False,synthetic 36.6% > 5%; never reaches continuous liquidity,391.6367824074074,0.0
DOGEUSD,20138,0.4354950839209455,,,0.0,0,False,synthetic 43.5% > 5%; never reaches continuous liquidity,855.4772337962963,0.0
ZECUSD,20129,0.47881166476228326,,,0.0,0,False,synthetic 47.9% > 5%; never reaches continuous liquidity,309.4111921296296,0.0
BNBUSD,20130,0.5269249875807253,,,0.0,0,False,synthetic 52.7% > 5%; never reaches continuous liquidity,853.5871875,0.0
VELVETUSD,20096,0.6132066082802548,,,0.0,0,False,synthetic 61.3% > 5%; never reaches continuous liquidity; listed 57d ago < 180d,56.5590625,0.0
LINKUSD,20123,0.639020026834965,,,0.0,0,False,synthetic 63.9% > 5%; never reaches continuous liquidity,853.5932175925926,0.0
TSLAXUSD,20108,0.6621742590013925,,,0.0,0,False,synthetic 66.2% > 5%; never reaches continuous liquidity; listed 173d ago < 180d,173.32564814814816,0.0
LIGHTUSD,20012,0.7059764141515091,,,0.0,0,False,synthetic 70.6% > 5%; never reaches continuous liquidity,218.44172453703703,0.0
METAXUSD,20071,0.787305067012107,,,0.0,0,False,synthetic 78.7% > 5%; never reaches continuous liquidity; listed 173d ago < 180d,173.32574074074074,0.0
