symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,stop_mult,hold_hours
BEATUSD,manual_scalp,5,1,977909932064,62961,24919,ok,741,3.3895268499547337,218.61458333333334,3,1525,10000.0,-972.5150238682137,9027.484976131793,-9.725150238682136,20.640578652110523,1148.614080308,70.83794356021463,-901.6770803079871,16296.159656280364,-17268.67468014858,43.68943607581867,-46.92574641344722,63.160724447705924,-62.330877046090286,0.943683285377645,0.5033738191632928,-0.025650860958821832,-0.09685747653027608,0.04313707174120691,0.015472695888940513,0.04112355684776234,48.37246963562753,450.68027210884264,0.12928710460743298,0.0,,
BEATUSD,manual_scalp_banded,5,1,14eba00aeaf8,62961,9620,ok,547,2.502120360222995,218.61458333333334,3,422,10000.0,-1046.3516841967503,8953.648315803222,-10.463516841967504,15.852550416432276,886.379430234,-119.6077460372554,-1165.959430234032,12775.362572681388,-13821.714256878138,47.14155930878741,-50.07867484376137,71.82984348954791,-73.07401187220468,0.9242965333568481,0.4954296160877514,-0.03954650474370191,-0.12590088906907457,0.04667472503652057,1.606194670244382e-05,0.03956256669040435,54.308957952468006,464.8810309187654,0.12439195201323847,0.0,,
AKEUSD,manual_scalp,5,1,977909932064,6009,2337,ok,87,4.169745381927109,20.864583333333332,0,253,10000.0,-398.91477082809786,9601.085229171893,-3.9891477082809788,7.919311749642379,125.51780921599997,10.860961612097299,-388.05380921600954,1865.5847452001958,-2264.4995160282933,45.50206695610234,-49.22825034844116,51.715977609064204,-55.74263305446446,0.8238397632657682,0.47126436781609193,-0.09547144623028991,-0.30329658394254144,0.12222647507115614,-0.05884221997395824,0.0366292262563317,49.39080459770115,562.4713024845687,0.1137717363725567,0.0,,
AKEUSD,manual_scalp_banded,5,1,14eba00aeaf8,6009,998,ok,82,3.930104842735896,20.864583333333332,0,88,10000.0,-13.017075585864951,9986.982924414135,-0.1301707558586495,5.439409164592391,120.04846224,-17.433386654135695,-30.450462240005436,1980.5012078058987,-1993.5182833917634,47.15479066204521,-49.837957084794084,51.277847741577595,-57.39878663358483,0.9934703003758173,0.5121951219512195,-0.0014023229193212024,-0.2122991291326657,0.2181263159687518,0.03591840410527626,0.03732072702459747,46.41463414634146,537.243600918097,0.11613663934326982,0.0,,
BANKUSD,manual_scalp,5,1,977909932064,6009,2081,ok,80,3.834248627059411,20.864583333333332,0,233,10000.0,-768.4311518234053,9231.56884817659,-7.684311518234053,9.01312385915294,123.01924689000002,-11.008095066595802,-779.439246890006,1604.1258292729262,-2372.5569810963325,48.6098736143311,-50.479935768007074,64.88470511759738,-59.034322627457556,0.6761168823568896,0.4125,-0.1987845339017893,-0.4109668204163875,0.030339423395876,-0.16163180909289107,0.037152724808898176,46.8625,527.699705431718,0.11710925596740644,0.0,,
BANKUSD,manual_scalp_banded,5,1,14eba00aeaf8,6009,867,ok,67,3.211183225162257,20.864583333333332,0,92,10000.0,-72.34221251275046,9927.657787487253,-0.7234221251275047,3.1217791555415717,100.283203076,-13.742990563247904,-86.0852030759961,1642.9596577397397,-1715.30187025249,48.32234287469822,-51.97884455310576,66.39365174823918,-65.9274326508338,0.9578253753655025,0.5074626865671642,-0.01856471371820201,-0.2552751081111942,0.22973297318933228,0.0177293693365212,0.036294083054723224,48.47761194029851,541.1326183625428,0.1142929382746249,0.0,,
ETHUSD,manual_scalp,5,1,977909932064,169475,75623,ok,1512,2.5694409204897477,588.4548611111111,19072,6063,10000.0,-4648.798695012535,5351.201304987472,-46.48798695012535,49.37533783528287,5165.493716173,-0.7055211604514495,-4649.5042161729625,26883.212468304402,-31532.011163316936,35.701477381546354,-41.544151730325346,49.63214918399994,-60.03883295999974,0.8525689125589059,0.498015873015873,-0.08070801120266041,-0.12734319603433336,-0.03169083476571094,0.024952499419450255,0.10566051062211065,72.78108465608466,146.78882945927523,0.3327546204567598,0.0,,
ETHUSD,manual_scalp_banded,5,1,14eba00aeaf8,169475,31718,ok,1293,2.1972798347838913,588.4548611111111,8731,1922,10000.0,-2756.4979120643966,7243.502087935603,-27.56497912064397,31.180827878690565,4694.1154174660005,-38.003005401600355,-2794.500917465978,25126.190399580224,-27882.68831164462,37.67045037418325,-44.54103564160482,49.16404173999974,-58.788023939999746,0.9011394496378887,0.5158546017014695,-0.047708772388351986,-0.1021164550451637,0.009311299828584644,0.05831707036375644,0.10602584275210844,74.89404485692188,144.4379732090856,0.33394572213765533,0.0,,
SOLUSD,manual_scalp,5,1,977909932064,169475,73308,ok,1827,3.1047411122584454,588.4548611111111,14198,7045,10000.0,-3484.7896065804252,6515.2103934195775,-34.84789606580425,41.17748037695539,6415.7515922344,22.151214346042067,-3462.6383922343566,36106.747552861794,-39591.53715944222,38.16780925249661,-44.939315731489465,53.49869350989903,-60.273705640000344,0.9119814521839212,0.5177887246852764,-0.04575732988598554,-0.0905490782960048,0.0010628046636336104,0.05774712253885317,0.1035044524248387,63.214012041598245,150.00649174368374,0.3189822018845122,0.0,,
SOLUSD,manual_scalp_banded,5,1,14eba00aeaf8,169475,29539,ok,1570,2.6680041304027142,588.4548611111111,6604,2145,10000.0,-5774.339626425229,4225.660373574782,-57.74339626425229,59.486003152427415,4335.322798233599,-22.356671808374813,-5796.696298233579,22717.856752075524,-28492.196378500754,29.931300068610703,-35.132178025278364,46.622657337599954,-57.26002035800033,0.7973361003933571,0.4834394904458599,-0.11229344775226444,-0.16224179771469074,-0.06132295223335121,-0.008823875722217744,0.10346957203004668,62.07770700636943,149.71293977366926,0.31663777849138774,0.0,,
