cell,tf,conf,gates,tgt,hrs,net,pos,nblk,n,win,dd,wk,lo,hi,allsym,s_BEAT,s_AKEU,s_BANK,b0,b1,b2,b3
5/1m c=x none      1R all,5/1,x,none,1.0,all,-0.08860092179529416,2,4.0,83,0.46987951807228917,18.836440800124137,2.6543568267263122,-0.30861396953621917,0.13055848512927323,False,-0.09485259239848502,-0.4216120295948881,0.24937313778595788,0.38226169298339396,0.06297222929466405,-0.08605531675592808,-0.26648052928854365
5/1m c=x none      1R 18-24,5/1,x,none,1.0,18-24,-0.024831593424311755,1,4.0,12,0.5,2.350797378444171,0.3837624327797078,-0.552405338191324,0.5044386653226058,False,-0.17482744823750554,0.014825080024915338,0.29872095217365574,1.0249225285004968,-1.1428158585973685,-0.037942621984164704,-0.01302506837831749
5/1m c=x none      1.5R all,5/1,x,none,1.5,all,0.03340142778245762,3,4.0,78,0.4230769230769231,15.326026067509858,2.4944558130681007,-0.2508146742238826,0.3225327683234506,False,-0.011337190147639252,-0.2714256471149512,0.6653846729879914,0.5274968225791625,0.09035417258213108,0.16374695323809546,-0.14570850132701912
5/1m c=x none      1.5R 18-24,5/1,x,none,1.5,18-24,0.2384849688019374,3,4.0,12,0.5,2.20684624198395,0.3837624327797078,-0.43227582579518864,0.9194979515281986,True,0.042640345240274255,0.26544100430108375,0.6774850667797203,1.5474199092829968,-1.1428158585973685,0.21186556658153255,0.2541855552218194
5/1m c=x none      3R all,5/1,x,none,3.0,all,0.3049637930203338,4,4.0,72,0.3472222222222222,14.88752972507707,2.3025745966782467,-0.10230499944020645,0.7274378285530215,True,0.23285945873887484,0.002698124566499427,1.2375455646880245,0.45754977198438296,0.7496932809682677,0.5876895392812995,0.028908634559946744
5/1m c=x none      3R 18-24,5/1,x,none,3.0,18-24,0.5113780580457292,3,4.0,12,0.4166666666666667,3.1148774849857928,0.3837624327797078,-0.5203924822838218,1.619494275465647,False,-0.15984902131170445,1.1229509596748564,1.6698593087936562,1.3193998337149988,-1.1428158585973685,0.9096751803431157,0.5175752950931112
5/1m c=x A25       1R all,5/1,x,A25,1.0,all,-0.03907398286289974,2,4.0,43,0.4883720930232558,9.632093531309131,1.3751487174606196,-0.33404195338999093,0.26600724627563316,False,-0.08310963059956479,-0.44368731916170745,0.6531531481690344,0.6415362914120903,-0.01820551095725803,0.17464916444270712,-0.22461857818882452
5/1m c=x A25       1R 18-24,5/1,x,A25,1.0,18-24,-0.005431581310890443,1,3.0,8,0.5,2.0685171969579703,0.2558416218531385,-0.7555272649428683,0.7470001604218541,False,-0.2087189336914947,0.014825080024915338,0.9704918579205192,1.0249225285004968,,-0.03794262198416459,-0.19849798700385823
5/1m c=x A25       1.5R all,5/1,x,A25,1.5,all,-0.04909256137767475,2,4.0,41,0.3902439024390244,10.79446640993892,1.311188311997335,-0.41005906274848564,0.32240572902328424,False,-0.166415485100677,-0.3005807727617971,0.9834638921535095,0.3093157998673644,-0.10555595709360899,0.47441607551848775,-0.19907045569990367
5/1m c=x A25       1.5R 18-24,5/1,x,A25,1.5,18-24,0.24722837932271552,3,3.0,8,0.5,1.992631952989641,0.2558416218531385,-0.6964843962233181,1.1823878450692331,False,-0.004296182108715829,0.26544100430108375,1.4684259365231358,1.5474199092829968,,0.21186556658153255,0.0013351984271324558
5/1m c=x A25       3R all,5/1,x,A25,3.0,all,0.22414478972189864,3,4.0,38,0.34210526315789475,12.067743248755622,1.215247703802408,-0.35030292643109007,0.8302146386384458,False,0.10759334073948855,-0.32509511172842614,1.8638647847742567,0.6574554218438206,0.34400998248024184,1.3677887606036125,-0.1526969708328586
5/1m c=x A25       3R 18-24,5/1,x,A25,3.0,18-24,0.7913399730456524,3,3.0,8,0.5,1.9926319529896412,0.2558416218531385,-0.5194908202301939,2.076493413198121,True,0.22922364828231795,1.1229509596748564,2.9386996236039167,1.3193998337149988,,0.9096751803431161,0.6383939179927977
5/1m c=x DI        1R all,5/1,x,DI,1.0,all,-0.42255314919761205,0,3.0,10,0.3,5.3463907905298855,0.31980202731642315,-1.0357134036982403,0.21472691938472116,False,-0.7981429431502742,,1.0798060266130367,,-1.0789667573575248,-0.03820834967685677,-0.18244290410996628
5/1m c=x DI        1R 18-24,5/1,x,DI,1.0,18-24,-1.0745751966908073,0,3.0,3,0.0,2.0809097314750535,0.09594060819492695,-1.1428158585973685,-1.0168793480884721,False,-1.0745751966908073,,,,-1.1428158585973685,-1.0640303833865816,-1.0168793480884721
5/1m c=x DI        1.5R all,5/1,x,DI,1.5,all,-0.46335872238412346,1,3.0,9,0.2222222222222222,4.641126569573042,0.28782182458478084,-1.062040281515662,0.40045326626335337,False,-0.7099849155306686,,1.509650822788237,,-1.0789667573575248,0.31442376080156575,-0.390543937746917
5/1m c=x DI        1.5R 18-24,5/1,x,DI,1.5,18-24,-1.0745751966908073,0,3.0,3,0.0,2.0809097314750535,0.09594060819492695,-1.1428158585973685,-1.0168793480884721,False,-1.0745751966908073,,,,-1.1428158585973685,-1.0640303833865816,-1.0168793480884721
5/1m c=x DI        3R all,5/1,x,DI,3.0,all,-0.13806021439797483,1,3.0,9,0.2222222222222222,4.135856957162487,0.28782182458478084,-1.0611019016460423,1.2293163952574175,False,-0.5314798440462513,,3.0092968227882366,,-1.0789667573575248,1.028444046739235,-0.015632437746917027
5/1m c=x DI        3R 18-24,5/1,x,DI,3.0,18-24,-1.0745751966908073,0,3.0,3,0.0,2.0809097314750535,0.09594060819492695,-1.1428158585973685,-1.0168793480884721,False,-1.0745751966908073,,,,-1.1428158585973685,-1.0640303833865816,-1.0168793480884721
5/1m c=x DI+A25    1R all,5/1,x,DI+A25,1.0,all,-0.33589701528736454,1,3.0,6,0.3333333333333333,3.136241390277953,0.1918812163898539,-1.047746001265472,0.4044473543918551,False,-1.0437485362375651,,1.0798060266130367,,-1.0470422067376033,-1.0640303833865816,0.38091090171253383
5/1m c=x DI+A25    1R 18-24,5/1,x,DI+A25,1.0,18-24,-1.040454865737527,0,2.0,2,0.0,1.0168793480884724,0.06396040546328463,-1.0640303833865816,-1.0168793480884721,False,-1.040454865737527,,,,,-1.0640303833865816,-1.0168793480884721
5/1m c=x DI+A25    1.5R all,5/1,x,DI+A25,1.5,all,-0.5330686644324046,1,3.0,5,0.2,3.136241390277953,0.15990101365821158,-1.0554953678102534,0.4913482922946681,False,-1.0437485362375651,,1.509650822788237,,-1.0470422067376033,-1.0640303833865816,0.24638573734988245
5/1m c=x DI+A25    1.5R 18-24,5/1,x,DI+A25,1.5,18-24,-1.040454865737527,0,2.0,2,0.0,1.0168793480884724,0.06396040546328463,-1.0640303833865816,-1.0168793480884721,False,-1.040454865737527,,,,,-1.0640303833865816,-1.0168793480884721
5/1m c=x DI+A25    3R all,5/1,x,DI+A25,3.0,all,-0.2331394644324048,1,3.0,5,0.2,3.136241390277953,0.15990101365821158,-1.0554953678102537,1.3893961473779313,False,-1.0437485362375651,,3.0092968227882366,,-1.0470422067376033,-1.0640303833865816,0.9962087373498822
5/1m c=x DI+A25    3R 18-24,5/1,x,DI+A25,3.0,18-24,-1.040454865737527,0,2.0,2,0.0,1.0168793480884724,0.06396040546328463,-1.0640303833865816,-1.0168793480884721,False,-1.040454865737527,,,,,-1.0640303833865816,-1.0168793480884721
5/1m c=x ST        1R all,5/1,x,ST,1.0,all,-0.5251568548239424,0,4.0,12,0.25,7.292624183888687,0.3837624327797078,-1.030414683656794,-0.011317597401866346,False,-0.6646955527886859,,1.009768822788237,-0.009513448393429824,-1.0470422067376033,-0.6329554551983574,-0.34133122387781856
5/1m c=x ST        1R 18-24,5/1,x,ST,1.0,18-24,-0.3519957343248523,1,3.0,3,0.3333333333333333,2.080909731475054,0.09594060819492695,-1.0640303833865816,1.0249225285004968,False,-0.3519957343248523,,,1.0249225285004968,,-1.0640303833865816,-1.0168793480884721
5/1m c=x ST        1.5R all,5/1,x,ST,1.5,all,-0.381186554678997,1,4.0,12,0.25,6.587359962931841,0.3837624327797078,-1.0336127329876956,0.29182508239264354,False,-0.5530808617214729,,1.509650822788237,0.25173524199782016,-1.0470422067376033,-0.49190261100698834,-0.17470389054448524
5/1m c=x ST        1.5R 18-24,5/1,x,ST,1.5,18-24,-0.17782994073068567,1,3.0,3,0.3333333333333333,2.080909731475054,0.09594060819492695,-1.0640303833865816,1.5474199092829968,False,-0.17782994073068567,,,1.5474199092829968,,-1.0640303833865816,-1.0168793480884721
5/1m c=x ST        3R all,5/1,x,ST,3.0,all,-0.15621434665338527,2,4.0,12,0.25,6.186153454446348,0.3837624327797078,-1.0294257525491857,0.7404813749597103,False,-0.44398808932989636,,3.0092968227882366,0.13772520421382117,-1.0470422067376033,-0.20629449663192068,0.3251781094555146
5/1m c=x ST        3R 18-24,5/1,x,ST,3.0,18-24,-0.253836632586685,1,3.0,3,0.3333333333333333,2.080909731475054,0.09594060819492695,-1.0640303833865816,1.3193998337149988,False,-0.253836632586685,,,1.3193998337149988,,-1.0640303833865816,-1.0168793480884721
