symbol,family,target_r,stop_mult,gate,trades,net_r,cost_r,win_rate,gross_r,rej_cost,med_r_bps,model
BEATUSD,atr_arm,1.0,2.0,0.15,1165,-0.02745759204287938,0.07515465357417257,0.5158798283261803,0.0476970615312932,156,225.88085580211546,taker/taker
BEATUSD,atr_arm,1.0,4.0,0.15,522,-0.07902217488240844,0.04722808034309162,0.4789272030651341,-0.031794094539316815,1,385.1539146583092,taker/taker
BEATUSD,atr_arm,2.0,2.0,0.15,876,-0.029525382024952206,0.07411409283818635,0.3470319634703196,0.04458871081323414,118,234.3635898078422,taker/taker
BEATUSD,atr_arm,2.0,4.0,0.15,383,-0.09066827213017674,0.04737935805028366,0.32114882506527415,-0.043288914079893055,1,389.9939199166155,taker/taker
BEATUSD,adx_only,1.0,2.0,0.15,501,-0.08243237942249679,0.06845047280489032,0.4870259481037924,-0.013981906617606467,35,249.39467312348745,taker/taker
BEATUSD,adx_only,1.0,4.0,0.15,239,-0.14979908337954173,0.048781031089034727,0.4435146443514644,-0.10101805229050699,0,375.42057729768015,taker/taker
BEATUSD,adx_only,2.0,2.0,0.15,419,-0.0850251014802507,0.06786803185476557,0.3269689737470167,-0.01715706962548516,28,251.99211973301084,taker/taker
BEATUSD,adx_only,2.0,4.0,0.15,201,-0.07926626237541264,0.04913613263275083,0.3283582089552239,-0.030130129742661844,0,383.09225061486467,taker/taker
BEATUSD,wpr_only,1.0,2.0,0.15,1534,-0.08062440231570077,0.07766543757569569,0.4908735332464146,-0.002958964740005099,356,217.867528921555,taker/taker
BEATUSD,wpr_only,1.0,4.0,0.15,662,-0.010083332726121767,0.048448552243736634,0.5151057401812689,0.038365219517614874,3,385.3984458284075,taker/taker
BEATUSD,wpr_only,2.0,2.0,0.15,1109,-0.06581687996844046,0.0761506110668689,0.33543733092876465,0.010333731098428462,271,223.57229647630498,taker/taker
BEATUSD,wpr_only,2.0,4.0,0.15,458,0.034024415412071345,0.04729950881219626,0.36899563318777295,0.08132392422426762,2,397.9489360370342,taker/taker
BEATUSD,atr_arm,1.0,2.0,0.15,1235,-0.007789358085124769,0.05280447578250924,0.5141700404858299,0.04501511769738447,13,217.15575620767612,maker/taker
BEATUSD,atr_arm,1.0,4.0,0.15,523,-0.06083964415815337,0.030814655480547935,0.47992351816443596,-0.030024988677605443,0,384.94197565808093,maker/taker
BEATUSD,atr_arm,2.0,2.0,0.15,921,-0.007639690854795712,0.05184201205263051,0.3463626492942454,0.044202321197834814,14,227.93248037845387,maker/taker
BEATUSD,atr_arm,2.0,4.0,0.15,384,-0.06921153221077445,0.030965589967380483,0.3255208333333333,-0.03824594224339397,0,389.66170401021793,maker/taker
BEATUSD,adx_only,1.0,2.0,0.15,527,-0.06955427410552899,0.048265418568183595,0.4819734345351044,-0.021288855537345393,2,243.79659947138074,maker/taker
BEATUSD,adx_only,1.0,4.0,0.15,239,-0.13269484842807003,0.03167679613756306,0.4435146443514644,-0.10101805229050699,0,375.42057729768015,maker/taker
BEATUSD,adx_only,2.0,2.0,0.15,442,-0.08745045637167488,0.04807728231217107,0.3190045248868778,-0.03937317405950382,2,244.1220471418414,maker/taker
BEATUSD,adx_only,2.0,4.0,0.15,201,-0.06203751713582787,0.031907387393166044,0.3283582089552239,-0.0301301297426618,0,383.09225061486467,maker/taker
BEATUSD,wpr_only,1.0,2.0,0.15,1662,-0.06289898619842492,0.05599496522185729,0.48856799037304455,-0.006904020976567616,23,205.3462895986168,maker/taker
BEATUSD,wpr_only,1.0,4.0,0.15,665,0.008040694937396713,0.03179502505317678,0.5157894736842106,0.03983571999057348,0,385.1476014760146,maker/taker
BEATUSD,wpr_only,2.0,2.0,0.15,1200,-0.0674419207693826,0.055094921306763925,0.3283333333333333,-0.01234699946261867,19,209.97330165926184,maker/taker
BEATUSD,wpr_only,2.0,4.0,0.15,460,0.0521481944533254,0.031029430137206274,0.3717391304347826,0.08317762459053164,0,397.31079391246965,maker/taker
BEATUSD,atr_arm,1.0,2.0,0.097,1164,-0.002203422259302623,0.04871556746056424,0.5154639175257731,0.04651214520126162,161,225.9416429678868,maker/taker
BEATUSD,atr_arm,1.0,4.0,0.097,522,-0.062462455572235794,0.030668361032918996,0.4789272030651341,-0.031794094539316815,1,385.1539146583092,maker/taker
BEATUSD,atr_arm,2.0,2.0,0.097,875,-0.00271690923152376,0.048060009645504984,0.3474285714285714,0.045343100413981235,121,234.45806054501858,maker/taker
BEATUSD,atr_arm,2.0,4.0,0.097,383,-0.07405550987710256,0.030766595797209525,0.3237597911227154,-0.04328891407989306,1,389.9939199166155,maker/taker
BEATUSD,adx_only,1.0,2.0,0.097,501,-0.05843139085673145,0.04444948423912499,0.4870259481037924,-0.01398190661760646,35,249.39467312348745,maker/taker
BEATUSD,adx_only,1.0,4.0,0.097,239,-0.13269484842807003,0.03167679613756306,0.4435146443514644,-0.10101805229050699,0,375.42057729768015,maker/taker
BEATUSD,adx_only,2.0,2.0,0.097,419,-0.06122833588054177,0.04407126625505665,0.3269689737470167,-0.017157069625485136,28,251.99211973301084,maker/taker
BEATUSD,adx_only,2.0,4.0,0.097,201,-0.06203751713582787,0.031907387393166044,0.3283582089552239,-0.0301301297426618,0,383.09225061486467,maker/taker
BEATUSD,wpr_only,1.0,2.0,0.097,1534,-0.056256945977950196,0.050397317506154386,0.4895697522816167,-0.005859628471795811,360,217.867528921555,maker/taker
BEATUSD,wpr_only,1.0,4.0,0.097,662,0.006904324199846653,0.031460895317768224,0.5151057401812689,0.03836521951761487,3,385.3984458284075,maker/taker
BEATUSD,wpr_only,2.0,2.0,0.097,1108,-0.043692119867167686,0.04937720687359222,0.33393501805054154,0.005685087006424531,274,223.73688991181618,maker/taker
