symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,model,target_r,stop_mult,rt_bps
BEATUSD,atr_arm,5,1,ae190a209e26,62961,7452,ok,1165,5.3290131986467815,218.61458333333334,156,1339,10000.0,-1600.1555618131745,8399.844438186847,-16.001555618131743,22.62239600931979,3262.5657700439997,-78.70320823081819,-1678.8587700439784,25779.884059622793,-27380.039621435964,42.89498179637736,-48.54616954155313,63.37234633651731,-64.9047933725798,0.9415575877925172,0.5158798283261803,-0.02745759204287938,-0.08499343021053414,0.03235696172991404,0.0476970615312932,0.07515465357417257,11.944206008583691,225.88085580211546,0.23686037059633705,0.0,taker/taker (current backtest),1.0,2.0,15.8
BEATUSD,atr_arm,5,1,fba2f87a03ea,62961,5618,ok,522,2.387763853814266,218.61458333333334,1,311,10000.0,-1904.6433988634712,8095.3566011365365,-19.04643398863471,26.171197769014544,915.9287542000002,50.9116446634748,-1853.7317541999828,10815.115776550218,-12719.759175413687,43.26046310620087,-46.763820497844435,59.606367003917995,-67.87396852290473,0.8502610487669454,0.4789272030651341,-0.07902217488240844,-0.16173539296856665,0.0079838875413976,-0.031794094539316815,0.04722808034309162,40.17624521072797,385.1539146583092,0.1486221229983874,0.0,taker/taker (current backtest),1.0,4.0,15.8
BEATUSD,atr_arm,5,1,5104b68fd7d7,62961,7452,ok,876,4.007051984561872,218.61458333333334,118,944,10000.0,-1419.7565385209887,8580.243461479035,-14.197565385209888,29.793772581649524,2475.958927346,-25.028388825006786,-1444.784927345967,25030.369777114734,-26450.12631563572,82.33674268787742,-46.24147957278972,114.61219768902191,-66.6668893792597,0.9463232605554057,0.3470319634703196,-0.029525382024952206,-0.12316265866152194,0.07282366241095223,0.04458871081323414,0.07411409283818635,24.162100456621005,234.3635898078422,0.23351766866315551,0.0,taker/taker (current backtest),2.0,2.0,15.8
BEATUSD,atr_arm,5,1,1245719458bf,62961,5618,ok,383,1.7519416781817314,218.61458333333334,1,178,10000.0,-1669.573562290029,8330.426437709988,-16.69573562290029,24.386117332124233,728.9714082380001,-139.9428459479706,-1809.5164082379724,10349.926206991182,-12019.49976928121,84.14574152025351,-46.228845266466195,115.0030155728078,-73.55391719476839,0.8610945884322878,0.32114882506527415,-0.09066827213017674,-0.21905484363509004,0.05174052641103254,-0.043288914079893055,0.04737935805028366,68.44647519582246,389.9939199166155,0.14915770830101352,0.0,taker/taker (current backtest),2.0,4.0,15.8
BEATUSD,wpr_only,5,1,5536e003be2a,62961,24919,ok,1534,7.016915233239624,218.61458333333334,356,4146,10000.0,-4691.242734189236,5308.757265810754,-46.91242734189236,51.93446617574398,3488.885954002,-55.035219812769995,-4746.277954002023,24676.751658051908,-29367.994392241144,32.7712505419016,-37.603065803125666,62.01998042301595,-63.22311870017489,0.8402600234958968,0.4908735332464146,-0.08062440231570077,-0.13301233185074654,-0.03225827580316978,-0.002958964740005099,0.07766543757569569,12.069752281616688,217.867528921555,0.24451656592244886,0.0,taker/taker (current backtest),1.0,2.0,15.8
BEATUSD,wpr_only,5,1,d4527a09260f,62961,19978,ok,662,3.0281602897031497,218.61458333333334,3,859,10000.0,-407.7175126178197,9592.282487382183,-4.077175126178196,12.70666236797223,1310.0640357800003,63.21347683782304,-344.50403577998077,16257.214978335995,-16664.932490953815,47.67511723852198,-51.915677541912196,60.4611686392831,-62.983296687242344,0.9755344035843445,0.5151057401812689,-0.010083332726121767,-0.08839864116779225,0.06796990129728932,0.038365219517614874,0.048448552243736634,39.57552870090635,385.3984458284075,0.15266383227228214,0.0,taker/taker (current backtest),1.0,4.0,15.8
BEATUSD,wpr_only,5,1,461613bee59c,62961,24919,ok,1109,5.072854624291228,218.61458333333334,271,2775,10000.0,-3239.023758151435,6760.97624184852,-32.39023758151435,47.523609204204725,2849.7984486960004,149.2393094554364,-3089.7844486960394,26650.41664068914,-29889.44039884058,71.64090494808909,-40.55555006626944,112.57898257079081,-64.92985457961564,0.8916331749631191,0.33543733092876465,-0.06581687996844046,-0.1509177108980402,0.019453503613518476,0.010333731098428462,0.0761506110668689,23.52028854824166,223.57229647630498,0.23981400115988394,0.0,taker/taker (current backtest),2.0,2.0,15.8
BEATUSD,wpr_only,5,1,247ec2c731ff,62961,19978,ok,458,2.0950111974079193,218.61458333333334,2,518,10000.0,680.1178181907981,10680.11781819078,6.801178181907981,9.61750048289747,972.561572582,220.09360922720123,900.2114274179785,15985.163626621663,-15305.045808430863,94.58676702142996,-52.958636015331706,117.53018762670419,-75.58965899985212,1.04443748987776,0.36899563318777295,0.034024415412071345,-0.09544638762776278,0.16482994272474355,0.08132392422426762,0.04729950881219626,71.05458515283843,397.9489360370342,0.14900791001957261,0.0,taker/taker (current backtest),2.0,4.0,15.8
BEATUSD,adx_only,5,1,8822505d8858,62961,2722,ok,501,2.2917043884309334,218.61458333333334,35,257,10000.0,-1929.1910127209985,8070.80898727901,-19.291910127209984,23.75325386519607,1245.220580722,-3.6355680010001024,-1932.826580721995,10019.647895146682,-11948.838907867681,41.064130717814265,-46.49353660648903,54.89730670427988,-59.68881017987404,0.8385457342260486,0.4870259481037924,-0.08243237942249679,-0.16863459140239126,0.006616951723012712,-0.013981906617606467,0.06845047280489032,12.131736526946108,249.39467312348745,0.21562015294786796,0.0,taker/taker (current backtest),1.0,2.0,15.8
BEATUSD,adx_only,5,1,88d2c6a947a0,62961,2128,ok,239,1.0932482012674511,218.61458333333334,0,53,10000.0,-1663.532907700782,8336.467092299219,-16.63532907700782,18.91647398388695,448.37663739000004,-1.9357296892179008,-1665.468637389993,4599.35318281391,-6262.886090514692,43.39012436616896,-47.089369101614224,55.97636682508201,-58.544547247616215,0.734382378402148,0.4435146443514644,-0.14979908337954173,-0.2733742132083224,-0.023992703434240297,-0.10101805229050699,0.048781031089034727,35.47280334728033,375.42057729768015,0.1536332739493796,0.0,taker/taker (current backtest),1.0,4.0,15.8
