symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,stop_mult,hold_hours
BEATUSD,manual_flip,5,1,420f59213a03,62961,717,ok,201,0.9194263115261828,218.61458333333334,0,17,10000.0,-679.5885139989364,9320.411486001054,-6.795885139989363,10.888151667654808,299.934622564,-36.254108565063206,-715.8426225640178,4639.869246622301,-5319.457760621238,47.83370357342579,-51.14863231366575,56.273817946546146,-59.168112403462445,0.8722447767082993,0.48258706467661694,-0.06906819079408497,-0.20807722641647802,0.06966438230323709,-0.0328261879953795,0.03624200279870548,47.830845771144276,500.38022813688104,0.11373658541603408,0.0,,
BEATUSD,manual_scalp_st,5,1,218901c5946f,62961,16288,ok,707,3.234002001238862,218.61458333333334,1,1058,10000.0,-733.3905647793672,9266.609435220671,-7.333905647793672,15.093147842913341,1095.08895802,33.26060675936972,-700.1299580199502,16187.295851504496,-16920.68641628386,44.9647106986236,-48.76278506133678,66.80092853336282,-64.66369313000673,0.9566571623197522,0.5091937765205092,-0.019262684268898767,-0.09233474090581888,0.0543338604208996,0.020429927545852343,0.03969261181475111,49.183875530410184,463.5635253719952,0.12480306476803246,0.0,,
AKEUSD,manual_flip,5,1,420f59213a03,6009,32,ok,17,0.8147778332501249,20.864583333333332,0,2,10000.0,220.09732004918968,10220.894322158672,2.2009732004918967,1.0435450274489853,30.201050022,-0.43037007119029913,219.01237177800613,529.1680259672114,-309.0707059180217,48.1061841788374,-51.511784319670284,51.111533597100845,-54.85326350000042,1.7121261117110484,0.6470588235294118,0.2591673298440912,-0.21342666841198726,0.7279503060597177,0.30483687271319043,0.045669542869099265,42.1764705882353,395.337567271151,0.14276922977059292,0.0,,
AKEUSD,manual_scalp_st,5,1,218901c5946f,6009,1409,ok,81,3.8821767348976537,20.864583333333332,1,148,10000.0,-455.729856050979,9541.727301337663,-4.55729856050979,7.274742961429452,124.330513392,-12.090657341021803,-468.6214596319969,1690.2913962902423,-2146.021252341221,45.68355125108763,-48.773210280482296,58.486598407907934,-53.8074432726218,0.7876396351835769,0.4567901234567901,-0.11442990063429039,-0.33189172314617343,0.1070783660301098,-0.07592860766640586,0.038501292967884515,48.77777777777778,572.7561872577285,0.11993708866170548,0.0,,
BANKUSD,manual_flip,5,1,420f59213a03,6009,39,ok,21,1.0064902646030953,20.864583333333332,0,1,10000.0,-187.44031013765155,9812.559689862343,-1.8744031013765154,3.319918049860915,35.791630124,3.1036800136530003,-184.3366301240021,445.3155704137687,-632.7558805514202,49.47950782375207,-52.72965671261835,58.07164856938386,-65.2569841831982,0.7037715240602661,0.42857142857142855,-0.18051852437171978,-0.5885668416772531,0.2975063339826459,-0.1412386644874341,0.03927985988428565,36.42857142857143,416.66666666666646,0.12374335562881152,0.0,,
BANKUSD,manual_scalp_st,5,1,218901c5946f,6009,1292,ok,78,3.7383924113829257,20.864583333333332,0,145,10000.0,-4.479353861859089,9995.520646138137,-0.04479353861859089,2.663715752704123,114.844612746,-36.600258884144,-41.079612746005296,1952.3855689248742,-1956.8649227867334,48.809639223121856,-51.49644533649298,64.88470511759738,-61.709921535833104,0.9977109539806763,0.5128205128205128,0.00014308522654470044,-0.2112727150153105,0.21721564273503083,0.03572326729505816,0.03558018206851347,44.14102564102564,563.6071042500337,0.11197573133762741,0.0,,
ETHUSD,manual_flip,5,1,420f59213a03,169475,823,ok,312,0.5302020947042337,588.4548611111111,422,30,10000.0,-423.5944222553465,9576.405577744628,-4.235944222553465,13.98086003487088,1233.926227007,0.691195248342547,-422.9032270070202,6812.735210114994,-7236.32963237034,41.795921534447814,-48.56597068704926,48.08984921628802,-59.1357872544687,0.9414628072827864,0.5224358974358975,-0.025398232417767657,-0.14064326600255275,0.08634573167709018,0.07937322907959773,0.10477146149736537,67.56410256410257,146.51649532455798,0.3300147193565722,0.0,,
ETHUSD,manual_scalp_st,5,1,218901c5946f,169475,46108,ok,1491,2.533754241038501,588.4548611111111,11643,3923,10000.0,-3474.282353737388,6525.717646262643,-34.74282353737388,39.16182378736748,5769.411826293001,43.48952744439501,-3430.7928262929736,31027.975044121406,-34502.25739785879,40.88007252189909,-47.13423141783988,50.77637645065597,-59.91251116000035,0.899302752464162,0.5090543259557344,-0.054983946582622366,-0.1044360426831384,-0.004232860258733853,0.05038171865567807,0.10536566523830043,73.1569416498994,145.375362919951,0.33202964094509985,0.0,,
SOLUSD,manual_flip,5,1,420f59213a03,169475,1047,ok,509,0.864977135270689,588.4548611111111,393,39,10000.0,-2083.2257103090988,7916.774289690913,-20.83225710309099,24.288193398267875,1874.9045947816,-22.528684472498284,-2105.7543947815975,10093.942773909843,-12177.168484218942,40.21491144984001,-47.19832745821296,47.496740345600124,-55.87716397999987,0.8289236358182228,0.4931237721021611,-0.09204979189156753,-0.18095059212482498,-0.004844914368001808,0.010656264919526351,0.10270605681109389,57.53045186640472,150.58769088385128,0.3166050827447913,0.0,,
SOLUSD,manual_scalp_st,5,1,218901c5946f,169475,45897,ok,1813,3.080949992624281,588.4548611111111,9116,4746,10000.0,-5633.617016282714,4366.382983717216,-56.33617016282714,56.87941484256713,5763.3649440172,19.33607226551821,-5530.612474014221,30883.832373874637,-36517.44939015735,34.4685629172708,-39.82273652143659,46.51464303237137,-56.54282088000008,0.8457280804008958,0.4942084942084942,-0.09142355055635988,-0.13752361649486497,-0.04829263478942189,0.012743179545667897,0.10416673010202776,62.49751792608935,148.319160938511,0.32040007405687065,0.05515719801434087,,
