symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,model
BEATUSD,manual_scalp,5,1,977909932064,62961,24919,ok,741,3.3895268499547337,218.61458333333334,3,1525,10000.0,-972.5150238682137,9027.484976131793,-9.725150238682136,20.640578652110523,1148.614080308,70.83794356021463,-901.6770803079871,16296.159656280364,-17268.67468014858,43.68943607581867,-46.92574641344722,63.160724447705924,-62.330877046090286,0.943683285377645,0.5033738191632928,-0.025650860958821832,-0.09685747653027608,0.04313707174120691,0.015472695888940513,0.04112355684776234,48.37246963562753,450.68027210884264,0.12928710460743298,0.0,taker/taker
BEATUSD,manual_scalp,5,1,977909932064,62961,24919,ok,744,3.4032496307237814,218.61458333333334,0,1525,10000.0,-439.57957375314766,9560.420426246883,-4.3957957375314765,16.88140041920939,688.142794716,74.13877903714723,-365.44079471597433,17144.105360777736,-17583.68493453088,45.717614295407294,-47.652262695205636,65.08772624659314,-61.39091804979389,0.9750007137076315,0.5040322580645161,-0.01014275209857424,-0.07901231509080851,0.06332114575678673,0.016879363073622634,0.02702211517219688,48.26747311827957,448.792313740777,0.13085697491562706,0.0,maker/taker (yours)
AKEUSD,manual_scalp,5,1,977909932064,6009,2337,ok,87,4.169745381927109,20.864583333333332,0,253,10000.0,-398.91477082809786,9601.085229171893,-3.9891477082809788,7.919311749642379,125.51780921599997,10.860961612097299,-388.05380921600954,1865.5847452001958,-2264.4995160282933,45.50206695610234,-49.22825034844116,51.715977609064204,-55.74263305446446,0.8238397632657682,0.47126436781609193,-0.09547144623028991,-0.30329658394254144,0.12222647507115614,-0.05884221997395824,0.0366292262563317,49.39080459770115,562.4713024845687,0.1137717363725567,0.0,taker/taker
AKEUSD,manual_scalp,5,1,977909932064,6009,2337,ok,87,4.169745381927109,20.864583333333332,0,253,10000.0,-349.90084129597665,9650.09915870402,-3.4990084129597663,7.68371027719127,72.743408946,10.9304323499762,-338.9704089460047,1892.9591796601958,-2242.8600209561723,46.169736089273066,-48.757826542525486,52.2427618050642,-54.89278719472046,0.8439934556652325,0.47126436781609193,-0.0826280339859812,-0.29084145692646457,0.134306653039151,-0.05884221997395824,0.023785814012022986,49.39080459770115,562.4713024845687,0.11377125262166776,0.0,maker/taker (yours)
BANKUSD,manual_scalp,5,1,977909932064,6009,2081,ok,80,3.834248627059411,20.864583333333332,0,233,10000.0,-768.4311518234053,9231.56884817659,-7.684311518234053,9.01312385915294,123.01924689000002,-11.008095066595802,-779.439246890006,1604.1258292729262,-2372.5569810963325,48.6098736143311,-50.479935768007074,64.88470511759738,-59.034322627457556,0.6761168823568896,0.4125,-0.1987845339017893,-0.4109668204163875,0.030339423395876,-0.16163180909289107,0.037152724808898176,46.8625,527.699705431718,0.11710925596740644,0.0,taker/taker
BANKUSD,manual_scalp,5,1,977909932064,6009,2081,ok,80,3.834248627059411,20.864583333333332,0,233,10000.0,-719.490069213287,9280.509930786717,-7.194900692132871,8.577602554873932,72.96184230600001,-11.162773092714003,-730.6528423059881,1628.7678611272863,-2348.2579303405732,49.35660185234201,-49.962934688097306,65.92614932491827,-58.030266759888015,0.6936068819710373,0.4125,-0.18575756583588449,-0.3978799582136229,0.044320827769637486,-0.16163180909289115,0.02412575674299337,46.8625,527.699705431718,0.11715008709992777,0.0,maker/taker (yours)
ETHUSD,manual_scalp,5,1,977909932064,169475,75623,ok,1512,2.5694409204897477,588.4548611111111,19072,6063,10000.0,-4648.798695012535,5351.201304987472,-46.48798695012535,49.37533783528287,5165.493716173,-0.7055211604514495,-4649.5042161729625,26883.212468304402,-31532.011163316936,35.701477381546354,-41.544151730325346,49.63214918399994,-60.03883295999974,0.8525689125589059,0.498015873015873,-0.08070801120266041,-0.12734319603433336,-0.03169083476571094,0.024952499419450255,0.10566051062211065,72.78108465608466,146.78882945927523,0.3327546204567598,0.0,taker/taker
ETHUSD,manual_scalp,5,1,977909932064,169475,75623,ok,2045,3.475202832276147,588.4548611111111,4904,8247,10000.0,-4688.34351415826,5310.804125703758,-46.8834351415826,52.57752651752461,4717.248693927,-2.793679768713501,-4691.989554064964,35453.12438861323,-40141.46790277149,34.656035570491916,-39.277365853983845,52.75573903799994,-62.05876014615596,0.8832044825686466,0.5002444987775061,-0.05950781070284278,-0.10172153760113997,-0.017394326992766038,0.026149114549084397,0.08565692525192715,66.33447432762836,125.51576882015046,0.41566111798972694,0.0,maker/taker (yours)
SOLUSD,manual_scalp,5,1,977909932064,169475,73308,ok,1827,3.1047411122584454,588.4548611111111,14198,7045,10000.0,-3484.7896065804252,6515.2103934195775,-34.84789606580425,41.17748037695539,6415.7515922344,22.151214346042067,-3462.6383922343566,36106.747552861794,-39591.53715944222,38.16780925249661,-44.939315731489465,53.49869350989903,-60.273705640000344,0.9119814521839212,0.5177887246852764,-0.04575732988598554,-0.0905490782960048,0.0010628046636336104,0.05774712253885317,0.1035044524248387,63.214012041598245,150.00649174368374,0.3189822018845122,0.0,taker/taker
SOLUSD,manual_scalp,5,1,977909932064,169475,73308,ok,2347,3.988411270098835,588.4548611111111,2966,9126,10000.0,-3416.0697716774243,6583.930228322643,-34.160697716774244,39.25307453436438,5846.8455262798,26.82794539764819,-3289.1739808717302,48698.65431104652,-52114.724082723944,40.54842157455997,-45.47532642471548,51.2953362431997,-60.211450634400315,0.9344509669425679,0.5117170856412442,-0.034374730741895024,-0.07449440389752465,0.007000442433660728,0.046643107159878794,0.08101783790177383,57.87430762675756,131.74181099397526,0.3869466473390785,0.04260758414997869,maker/taker (yours)
BTCUSD,manual_scalp,5,1,977909932064,169474,73998,ok,783,1.3306111851965492,588.4513888888889,40428,3049,10000.0,-3176.5378471007957,6823.462152899205,-31.765378471007956,34.60179677193051,3217.6743038430004,-6.020456742204905,-3182.558303842996,14308.862675192133,-17485.400522292926,37.85413406135485,-43.173828450105994,49.53784893784189,-59.20143994015,0.8183319939940248,0.4827586206896552,-0.09670541489875926,-0.16136390262077613,-0.029810686404646996,0.020248251658698087,0.11695366655745737,86.40229885057471,127.43099121706399,0.3652027525470967,0.0,taker/taker
BTCUSD,manual_scalp,5,1,977909932064,169474,73998,ok,1440,2.4471010302465275,588.4513888888889,20279,5578,10000.0,-4416.941444833829,5583.058555166197,-44.169414448338294,49.26840279814677,3938.866810703,0.4206341308294643,-4416.520810702982,23204.039294145172,-27620.980738979,32.63577959795383,-37.88886246773525,49.89516114,-58.65747065629605,0.8400874506747475,0.49375,-0.07937723385602673,-0.12840638300282028,-0.027586485545348396,0.024030841100376045,0.10340807495640277,74.03611111111111,96.09248089441235,0.4977996036836108,0.0,maker/taker (yours)
XRPUSD,manual_scalp,5,1,977909932064,169475,74364,ok,1529,2.598330137188376,588.4548611111111,19228,5969,10000.0,-5034.259330463039,4965.740669536987,-50.34259330463039,52.78387762211687,4742.9590148808,38.9415155822381,-4995.3178148807865,25711.234454715523,-30745.493785178565,33.786116234843,-40.03319503278459,49.226401419200116,-58.22269086000003,0.8362602544087322,0.4977109221713538,-0.0890731011740868,-0.13973171013386512,-0.03879373765775186,0.01365741447585475,0.10273051564994154,68.15500327011118,148.76903497608302,0.32512615286945135,0.0,taker/taker
XRPUSD,manual_scalp,5,1,977909932064,169475,74364,ok,2152,3.657034960908689,588.4548611111111,5517,8361,10000.0,-6189.3153118769815,3810.684688123023,-61.89315311876982,63.7914001217359,4287.032171217001,69.95314065999429,-6119.362171216981,31881.40757687825,-38070.722888755234,30.21934367476611,-34.70439643459912,50.69376694200011,-57.29636199480023,0.8374258526699767,0.4902416356877323,-0.08710668782907939,-0.12890842987442877,-0.045811295488936365,-0.0004667370375975911,0.08663995079148183,60.8131970260223,122.67526209769966,0.4222884129766944,0.0,maker/taker (yours)
