symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,stop_mult,hold_hours
BEATUSD,manual_scalp,5,1,977909932064,62961,24919,ok,741,3.3895268499547337,218.61458333333334,3,1525,10000.0,-972.5150238682137,9027.484976131793,-9.725150238682136,20.640578652110523,1148.614080308,70.83794356021463,-901.6770803079871,16296.159656280364,-17268.67468014858,43.68943607581867,-46.92574641344722,63.160724447705924,-62.330877046090286,0.943683285377645,0.5033738191632928,-0.025650860958821832,-0.09685747653027608,0.04313707174120691,0.015472695888940513,0.04112355684776234,48.37246963562753,450.68027210884264,0.12928710460743298,0.0,,
BEATUSD,manual_scalp_st,5,1,218901c5946f,62961,16288,ok,707,3.234002001238862,218.61458333333334,1,1058,10000.0,-733.3905647793672,9266.609435220671,-7.333905647793672,15.093147842913341,1095.08895802,33.26060675936972,-700.1299580199502,16187.295851504496,-16920.68641628386,44.9647106986236,-48.76278506133678,66.80092853336282,-64.66369313000673,0.9566571623197522,0.5091937765205092,-0.019262684268898767,-0.09233474090581888,0.0543338604208996,0.020429927545852343,0.03969261181475111,49.183875530410184,463.5635253719952,0.12480306476803246,0.0,,
AKEUSD,manual_scalp,5,1,977909932064,6009,2337,ok,87,4.169745381927109,20.864583333333332,0,253,10000.0,-398.91477082809786,9601.085229171893,-3.9891477082809788,7.919311749642379,125.51780921599997,10.860961612097299,-388.05380921600954,1865.5847452001958,-2264.4995160282933,45.50206695610234,-49.22825034844116,51.715977609064204,-55.74263305446446,0.8238397632657682,0.47126436781609193,-0.09547144623028991,-0.30329658394254144,0.12222647507115614,-0.05884221997395824,0.0366292262563317,49.39080459770115,562.4713024845687,0.1137717363725567,0.0,,
AKEUSD,manual_scalp_st,5,1,218901c5946f,6009,1409,ok,81,3.8821767348976537,20.864583333333332,1,148,10000.0,-455.729856050979,9541.727301337663,-4.55729856050979,7.274742961429452,124.330513392,-12.090657341021803,-468.6214596319969,1690.2913962902423,-2146.021252341221,45.68355125108763,-48.773210280482296,58.486598407907934,-53.8074432726218,0.7876396351835769,0.4567901234567901,-0.11442990063429039,-0.33189172314617343,0.1070783660301098,-0.07592860766640586,0.038501292967884515,48.77777777777778,572.7561872577285,0.11993708866170548,0.0,,
BANKUSD,manual_scalp,5,1,977909932064,6009,2081,ok,80,3.834248627059411,20.864583333333332,0,233,10000.0,-768.4311518234053,9231.56884817659,-7.684311518234053,9.01312385915294,123.01924689000002,-11.008095066595802,-779.439246890006,1604.1258292729262,-2372.5569810963325,48.6098736143311,-50.479935768007074,64.88470511759738,-59.034322627457556,0.6761168823568896,0.4125,-0.1987845339017893,-0.4109668204163875,0.030339423395876,-0.16163180909289107,0.037152724808898176,46.8625,527.699705431718,0.11710925596740644,0.0,,
BANKUSD,manual_scalp_st,5,1,218901c5946f,6009,1292,ok,78,3.7383924113829257,20.864583333333332,0,145,10000.0,-4.479353861859089,9995.520646138137,-0.04479353861859089,2.663715752704123,114.844612746,-36.600258884144,-41.079612746005296,1952.3855689248742,-1956.8649227867334,48.809639223121856,-51.49644533649298,64.88470511759738,-61.709921535833104,0.9977109539806763,0.5128205128205128,0.00014308522654470044,-0.2112727150153105,0.21721564273503083,0.03572326729505816,0.03558018206851347,44.14102564102564,563.6071042500337,0.11197573133762741,0.0,,
ETHUSD,manual_scalp,5,1,977909932064,169475,75623,ok,1512,2.5694409204897477,588.4548611111111,19072,6063,10000.0,-4648.798695012535,5351.201304987472,-46.48798695012535,49.37533783528287,5165.493716173,-0.7055211604514495,-4649.5042161729625,26883.212468304402,-31532.011163316936,35.701477381546354,-41.544151730325346,49.63214918399994,-60.03883295999974,0.8525689125589059,0.498015873015873,-0.08070801120266041,-0.12734319603433336,-0.03169083476571094,0.024952499419450255,0.10566051062211065,72.78108465608466,146.78882945927523,0.3327546204567598,0.0,,
ETHUSD,manual_scalp_st,5,1,218901c5946f,169475,46108,ok,1491,2.533754241038501,588.4548611111111,11643,3923,10000.0,-3474.282353737388,6525.717646262643,-34.74282353737388,39.16182378736748,5769.411826293001,43.48952744439501,-3430.7928262929736,31027.975044121406,-34502.25739785879,40.88007252189909,-47.13423141783988,50.77637645065597,-59.91251116000035,0.899302752464162,0.5090543259557344,-0.054983946582622366,-0.1044360426831384,-0.004232860258733853,0.05038171865567807,0.10536566523830043,73.1569416498994,145.375362919951,0.33202964094509985,0.0,,
SOLUSD,manual_scalp,5,1,977909932064,169475,73308,ok,1827,3.1047411122584454,588.4548611111111,14198,7045,10000.0,-3484.7896065804252,6515.2103934195775,-34.84789606580425,41.17748037695539,6415.7515922344,22.151214346042067,-3462.6383922343566,36106.747552861794,-39591.53715944222,38.16780925249661,-44.939315731489465,53.49869350989903,-60.273705640000344,0.9119814521839212,0.5177887246852764,-0.04575732988598554,-0.0905490782960048,0.0010628046636336104,0.05774712253885317,0.1035044524248387,63.214012041598245,150.00649174368374,0.3189822018845122,0.0,,
SOLUSD,manual_scalp_st,5,1,218901c5946f,169475,45897,ok,1813,3.080949992624281,588.4548611111111,9116,4746,10000.0,-5633.617016282714,4366.382983717216,-56.33617016282714,56.87941484256713,5763.3649440172,19.33607226551821,-5530.612474014221,30883.832373874637,-36517.44939015735,34.4685629172708,-39.82273652143659,46.51464303237137,-56.54282088000008,0.8457280804008958,0.4942084942084942,-0.09142355055635988,-0.13752361649486497,-0.04829263478942189,0.012743179545667897,0.10416673010202776,62.49751792608935,148.319160938511,0.32040007405687065,0.05515719801434087,,
BTCUSD,manual_scalp,5,1,977909932064,169474,73998,ok,783,1.3306111851965492,588.4513888888889,40428,3049,10000.0,-3176.5378471007957,6823.462152899205,-31.765378471007956,34.60179677193051,3217.6743038430004,-6.020456742204905,-3182.558303842996,14308.862675192133,-17485.400522292926,37.85413406135485,-43.173828450105994,49.53784893784189,-59.20143994015,0.8183319939940248,0.4827586206896552,-0.09670541489875926,-0.16136390262077613,-0.029810686404646996,0.020248251658698087,0.11695366655745737,86.40229885057471,127.43099121706399,0.3652027525470967,0.0,,
BTCUSD,manual_scalp_st,5,1,218901c5946f,169474,45905,ok,765,1.3000224223184678,588.4513888888889,25372,2028,10000.0,-3725.7595340322614,6274.2404659677395,-37.25759534032262,39.37320339429607,2975.675147831,43.126386201260765,-3682.633147831003,12865.632520114634,-16591.392054146894,35.248308274286664,-41.478480135367235,46.693520726922905,-57.196702800000004,0.7754402088822298,0.477124183006536,-0.12088436639740399,-0.1892093555686285,-0.05128656257638471,-0.004355739621995002,0.11652862677540901,87.24575163398693,128.16890353975356,0.3637257085033656,0.0,,
XRPUSD,manual_scalp,5,1,977909932064,169475,74364,ok,1529,2.598330137188376,588.4548611111111,19228,5969,10000.0,-5034.259330463039,4965.740669536987,-50.34259330463039,52.78387762211687,4742.9590148808,38.9415155822381,-4995.3178148807865,25711.234454715523,-30745.493785178565,33.786116234843,-40.03319503278459,49.226401419200116,-58.22269086000003,0.8362602544087322,0.4977109221713538,-0.0890731011740868,-0.13973171013386512,-0.03879373765775186,0.01365741447585475,0.10273051564994154,68.15500327011118,148.76903497608302,0.32512615286945135,0.0,,
XRPUSD,manual_scalp_st,5,1,218901c5946f,169475,46115,ok,1495,2.54055170379112,588.4548611111111,12412,3906,10000.0,-3978.477479774617,6021.522520225357,-39.78477479774617,41.892007924571885,5212.882802154001,37.82997762060789,-3940.6475021540546,28789.419727041546,-32767.897206816167,37.930724278052104,-44.521599465782835,50.15141589119978,-57.838715992000296,0.8785861218172082,0.5076923076923077,-0.0653616325356495,-0.11510038941184988,-0.011243484097408437,0.037686082251054534,0.10304771478670402,68.24080267558529,148.82987115435296,0.3261112106977748,0.0,,
