symbol,stop_mult,target_r,hold_h,trades,gross_r,cost_r,net_r,hit,timeout
BTCUSD,2.0,1.0,48,304,0.10428990374380212,0.12436396083400725,-0.02007405709020513,53.61842105263158,0.9868421052631579
BTCUSD,2.0,1.0,168,298,0.10604741081391814,0.12442779049220729,-0.018380379678289156,54.0268456375839,0.0
BTCUSD,2.0,1.5,48,269,0.015916186897452445,0.12433034332362429,-0.10841415642617185,39.03345724907063,2.2304832713754648
BTCUSD,2.0,1.5,168,265,0.009167232825523609,0.1244715341842091,-0.1153043013586855,39.62264150943396,0.0
BTCUSD,2.0,2.0,48,253,-0.06675635279601404,0.1251563037407269,-0.19191265653674092,29.64426877470356,2.371541501976284
BTCUSD,2.0,2.0,168,252,-0.10302504202755487,0.12490841005904589,-0.22793345208660074,29.365079365079367,0.0
BTCUSD,2.0,2.5,48,235,-0.12359459450731523,0.12550127233277297,-0.2490958668400882,21.70212765957447,5.957446808510639
BTCUSD,2.0,2.5,168,236,-0.12267316675371294,0.12540503921652055,-0.24807820597023356,24.576271186440678,0.0
BTCUSD,2.0,3.0,48,223,-0.0957763006736284,0.12566799287953445,-0.22144429355316286,18.83408071748879,7.623318385650224
BTCUSD,2.0,3.0,168,219,-0.09775683634706679,0.1254922084023461,-0.22324904474941293,21.91780821917808,0.45662100456621
BTCUSD,2.0,4.0,48,200,-0.11067876446297628,0.12675111483938434,-0.23742987930236062,12.5,11.5
BTCUSD,2.0,4.0,168,195,-0.12962930507865425,0.12625872869415175,-0.25588803377280595,16.923076923076923,0.5128205128205128
BTCUSD,3.0,1.0,48,563,0.03376869435574998,0.11259799921114114,-0.07882930485539116,49.02309058614564,3.5523978685612785
BTCUSD,3.0,1.0,168,549,0.033093660158695935,0.11253728163168722,-0.07944362147299128,50.63752276867031,0.0
BTCUSD,3.0,1.5,48,466,0.050472977721013834,0.11262773073764228,-0.06215475301662842,36.69527896995708,9.44206008583691
BTCUSD,3.0,1.5,168,445,0.08416745960069946,0.11214777832284116,-0.027980318722141722,42.47191011235955,0.44943820224719105
BTCUSD,3.0,2.0,48,418,0.016376300469167184,0.11213714640023623,-0.09576084593106907,27.51196172248804,12.918660287081341
BTCUSD,3.0,2.0,168,391,0.08087414515469706,0.11239193991434132,-0.03151779475964428,34.78260869565217,1.278772378516624
BTCUSD,3.0,2.5,48,378,-0.018731228415370626,0.11206910041603996,-0.13080032883141057,19.576719576719576,17.724867724867725
BTCUSD,3.0,2.5,168,325,0.11710151861307849,0.11215250873018083,0.004949009882897652,30.153846153846153,2.4615384615384617
BTCUSD,3.0,3.0,48,371,-0.02184255750741656,0.11136297144129036,-0.13320552894870694,15.633423180592992,19.67654986522911
BTCUSD,3.0,3.0,168,303,0.14645918533328744,0.11095529126030959,0.03550389407297785,27.062706270627064,2.6402640264026402
BTCUSD,3.0,4.0,48,329,0.06744435025498903,0.11264994793811396,-0.045205597683124925,10.33434650455927,27.0516717325228
BTCUSD,3.0,4.0,168,245,0.164652241789817,0.11267962570935809,0.051972616080458896,19.591836734693878,7.346938775510205
BTCUSD,4.0,1.0,48,606,0.03180160094913473,0.10257325116705639,-0.07077165021792164,46.6996699669967,8.085808580858085
BTCUSD,4.0,1.0,168,558,0.007465267206105584,0.10092791137994109,-0.09346264417383549,49.46236559139785,0.17921146953405018
BTCUSD,4.0,1.5,48,505,0.053186134452369103,0.10180291032666737,-0.04861677587429828,35.445544554455445,13.663366336633665
BTCUSD,4.0,1.5,168,439,0.044166938726805785,0.09959121965557079,-0.055424280928765016,40.77448747152619,0.9111617312072893
BTCUSD,4.0,2.0,48,448,-0.02881871064076824,0.10249065485098899,-0.1313093654917572,23.883928571428573,18.75
BTCUSD,4.0,2.0,168,376,0.005487376511644969,0.0998942913915619,-0.09440691487991693,32.71276595744681,1.0638297872340425
BTCUSD,4.0,2.5,48,414,0.03901667997519943,0.10368911218048774,-0.06467243220528832,18.115942028985508,25.36231884057971
BTCUSD,4.0,2.5,168,302,0.04145637393931698,0.10177023864123584,-0.06031386470191885,26.490066225165563,4.966887417218543
