symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,stop_mult,hold_hours
BEATUSD,manual_scalp,5,1,977909932064,62961,24919,ok,741,3.3895268499547337,218.61458333333334,3,1525,10000.0,-972.5150238682137,9027.484976131793,-9.725150238682136,20.640578652110523,1148.614080308,70.83794356021463,-901.6770803079871,16296.159656280364,-17268.67468014858,43.68943607581867,-46.92574641344722,63.160724447705924,-62.330877046090286,0.943683285377645,0.5033738191632928,-0.025650860958821832,-0.09685747653027608,0.04313707174120691,0.015472695888940513,0.04112355684776234,48.37246963562753,450.68027210884264,0.12928710460743298,0.0,,
BEATUSD,manual_scalp_both,5,1,9cd8ed95f1a7,62961,14645,ok,667,3.0510315909848953,218.61458333333334,1,1051,10000.0,-1845.6342196593394,8154.365780340679,-18.456342196593393,23.294930743743723,982.872795838,117.48342382134038,-1728.1507958379825,13999.196997749012,-15844.831217408351,43.207398141200656,-46.19484319944126,64.73489035776602,-67.32430683654059,0.8835182152251907,0.48575712143928035,-0.0595769170671512,-0.13963528769030142,0.01426202548751737,-0.020491210439263212,0.039085706627887976,51.01349325337331,473.5859983270067,0.1227817305243837,0.0,,
AKEUSD,manual_scalp,5,1,977909932064,6009,2337,ok,87,4.169745381927109,20.864583333333332,0,253,10000.0,-398.91477082809786,9601.085229171893,-3.9891477082809788,7.919311749642379,125.51780921599997,10.860961612097299,-388.05380921600954,1865.5847452001958,-2264.4995160282933,45.50206695610234,-49.22825034844116,51.715977609064204,-55.74263305446446,0.8238397632657682,0.47126436781609193,-0.09547144623028991,-0.30329658394254144,0.12222647507115614,-0.05884221997395824,0.0366292262563317,49.39080459770115,562.4713024845687,0.1137717363725567,0.0,,
AKEUSD,manual_scalp_both,5,1,9cd8ed95f1a7,6009,1668,ok,83,3.978032950574139,20.864583333333332,2,181,10000.0,-458.4876423039334,9538.9695150847,-4.584876423039334,6.110302706580469,124.461045646,4.0365966579341,-455.25199188600163,1778.891807492126,-2237.3794497960594,46.81294230242437,-49.71954332880132,55.91420310903519,-54.43796531999898,0.7950782812697572,0.4578313253012048,-0.11034433220062614,-0.33296194522740047,0.10759377425957012,-0.07330266586509403,0.03704166633553212,47.30120481927711,575.2353013079062,0.11531386954747458,0.0,,
BANKUSD,manual_scalp,5,1,977909932064,6009,2081,ok,80,3.834248627059411,20.864583333333332,0,233,10000.0,-768.4311518234053,9231.56884817659,-7.684311518234053,9.01312385915294,123.01924689000002,-11.008095066595802,-779.439246890006,1604.1258292729262,-2372.5569810963325,48.6098736143311,-50.479935768007074,64.88470511759738,-59.034322627457556,0.6761168823568896,0.4125,-0.1987845339017893,-0.4109668204163875,0.030339423395876,-0.16163180909289107,0.037152724808898176,46.8625,527.699705431718,0.11710925596740644,0.0,,
BANKUSD,manual_scalp_both,5,1,9cd8ed95f1a7,6009,1469,ok,73,3.4987518721917126,20.864583333333332,0,151,10000.0,-27.331313320953555,9972.66868667905,-0.27331313320953554,3.6473639137838987,106.41079040400001,-11.415477083048803,-38.74679040399678,1836.6503089908035,-1863.9816223117573,49.63919754029199,-51.777267286437706,65.63917843291827,-62.362478814904016,0.9853371336960626,0.5068493150684932,-0.005966735013796908,-0.23053410219127055,0.23208220621728595,0.0285692278970547,0.034535962910851606,50.78082191780822,575.6276791181866,0.10878243919010389,0.0,,
ETHUSD,manual_scalp,5,1,977909932064,169475,75623,ok,1512,2.5694409204897477,588.4548611111111,19072,6063,10000.0,-4648.798695012535,5351.201304987472,-46.48798695012535,49.37533783528287,5165.493716173,-0.7055211604514495,-4649.5042161729625,26883.212468304402,-31532.011163316936,35.701477381546354,-41.544151730325346,49.63214918399994,-60.03883295999974,0.8525689125589059,0.498015873015873,-0.08070801120266041,-0.12734319603433336,-0.03169083476571094,0.024952499419450255,0.10566051062211065,72.78108465608466,146.78882945927523,0.3327546204567598,0.0,,
ETHUSD,manual_scalp_both,5,1,9cd8ed95f1a7,169475,58765,ok,1513,2.5711402861779025,588.4548611111111,14879,4610,10000.0,-4317.4492671839425,5682.550732816011,-43.174492671839424,46.10268515643953,5029.813775898,9.2614912859615,-4308.1877758980045,26035.272621107924,-30352.721888291864,34.34732535766217,-40.20228064674419,49.40380325888275,-58.88765594999975,0.857757426728529,0.5009914077990747,-0.07265528429796077,-0.12460072768540197,-0.01911535043981474,0.03355094590715016,0.10620623020511091,71.83079973562458,143.9174511223751,0.3344080806743294,0.0,,
SOLUSD,manual_scalp,5,1,977909932064,169475,73308,ok,1827,3.1047411122584454,588.4548611111111,14198,7045,10000.0,-3484.7896065804252,6515.2103934195775,-34.84789606580425,41.17748037695539,6415.7515922344,22.151214346042067,-3462.6383922343566,36106.747552861794,-39591.53715944222,38.16780925249661,-44.939315731489465,53.49869350989903,-60.273705640000344,0.9119814521839212,0.5177887246852764,-0.04575732988598554,-0.0905490782960048,0.0010628046636336104,0.05774712253885317,0.1035044524248387,63.214012041598245,150.00649174368374,0.3189822018845122,0.0,,
SOLUSD,manual_scalp_both,5,1,9cd8ed95f1a7,169475,56198,ok,1798,3.055459507301962,588.4548611111111,11456,5242,10000.0,-5732.11297707083,4267.88702292915,-57.3211297707083,58.722416990681346,5289.2188925096,13.1398845612387,-5718.973092509609,28058.71554284986,-33790.82851992069,31.633275696561284,-37.09201813383171,47.22056312399979,-57.57072510000062,0.8303648289152904,0.4933259176863181,-0.09589224597087398,-0.14473042325811866,-0.049403986122991385,0.008151095593358767,0.10404334156423274,62.81090100111235,147.95595221526096,0.319213654048141,0.0,,
