split,train_end,test_end,cell,block_trades,block_net_r,block_gross_r,symbols_positive
0,2026-02-18,2026-04-03,hwpr_v2@5m,29,-0.14520714577126803,-0.0993401295343821,0/1
0,2026-02-18,2026-04-03,atr_arm@5m,144,-0.16350897765617717,-0.08412648188637514,0/1
0,2026-02-18,2026-04-03,flip@5m,44,0.21843077890907728,0.3230082219241405,1/1
0,2026-02-18,2026-04-03,trend_pure@5m,38,-0.21012642799744358,-0.15988031091581395,0/1
0,2026-02-18,2026-04-03,st_only@5m,122,-0.18534287630883653,-0.12007894293058259,0/1
0,2026-02-18,2026-04-03,adx_only@5m,66,-0.15562608041776801,-0.08181524429363211,0/1
0,2026-02-18,2026-04-03,wpr_only@5m,214,-0.12049525785511209,-0.03998303403531511,0/1
0,2026-02-18,2026-04-03,hwpr_no_confirm@5m,67,-0.29799756552505097,-0.23997937351805754,0/1
0,2026-02-18,2026-04-03,st_flip_atr@5m,106,-0.1432294159842826,-0.06360751255636898,0/1
0,2026-02-18,2026-04-03,flip_wide@5m,32,0.08395969367225092,0.11984606709416748,1/1
0,2026-02-18,2026-04-03,trend_wide_stop@5m,56,-0.1439062430690418,-0.105632913082974,0/1
0,2026-02-18,2026-04-03,counter_trend@5m,58,0.1147494059388344,0.18954534641837864,1/1
0,2026-02-18,2026-04-03,atr_pullback@5m,25,0.10994828957373162,0.18802137926089962,1/1
0,2026-02-18,2026-04-03,atr_banded@5m,69,-0.09801911221196928,-0.021769490914763677,0/1
0,2026-02-18,2026-04-03,atr_adx@5m,76,-0.1914831890885827,-0.11872996338835427,0/1
0,2026-02-18,2026-04-03,atr_adx_both@5m,52,-0.3818970431201408,-0.3128973160132925,0/1
0,2026-02-18,2026-04-03,atr_t3@5m,117,-0.02626595924803684,0.05229359268319354,0/1
0,2026-02-18,2026-04-03,atr_t4@5m,110,-0.09974938766631396,-0.020535452077045973,0/1
0,2026-02-18,2026-04-03,manual_scalp@5m,141,-0.03920451639742889,0.0027493218991063734,0/1
0,2026-02-18,2026-04-03,manual_scalp_both@5m,115,0.05593949243184146,0.09424789768510154,1/1
0,2026-02-18,2026-04-03,manual_scalp_banded@5m,89,-0.0012221339219311241,0.03704031311260352,0/1
0,2026-02-18,2026-04-03,manual_scalp_st@5m,127,-0.11717716733795959,-0.07652972629520034,0/1
0,2026-02-18,2026-04-03,manual_scalp_st_banded@5m,79,0.04208633742881112,0.08141300400185897,1/1
0,2026-02-18,2026-04-03,manual_flip@5m,38,0.06862151909703898,0.10439760467613378,1/1
0,2026-02-18,2026-04-03,manual_v2@5m,30,0.10486536707938862,0.14235067152010217,1/1
0,2026-02-18,2026-04-03,manual_stb_t15@5m,57,-0.032153395518326584,0.0037081264903525233,0/1
0,2026-02-18,2026-04-03,manual_stb_t20@5m,52,-0.006239362539195603,0.029242225171192706,0/1
0,2026-02-18,2026-04-03,atr_banded_adx@5m,30,-0.1305311604250071,-0.06208851388882667,0/1
1,2026-04-03,2026-05-16,hwpr_v2@5m,13,-0.230187402032308,-0.1649842893221401,0/1
1,2026-04-03,2026-05-16,atr_arm@5m,90,-0.2074178546959341,-0.12509555102255926,0/1
1,2026-04-03,2026-05-16,flip@5m,16,-0.13343839011158204,-0.028899261607579163,0/1
1,2026-04-03,2026-05-16,trend_pure@5m,34,-0.38741701788893385,-0.3212131864332095,0/1
1,2026-04-03,2026-05-16,st_only@5m,100,-0.23919171465700406,-0.16373643202222649,0/1
1,2026-04-03,2026-05-16,adx_only@5m,45,-0.5384490927033622,-0.4639171608132801,0/1
1,2026-04-03,2026-05-16,wpr_only@5m,139,-0.08324464899349822,0.0054060944200546475,0/1
1,2026-04-03,2026-05-16,hwpr_no_confirm@5m,46,-0.43317313041720434,-0.36921670592802747,0/1
1,2026-04-03,2026-05-16,st_flip_atr@5m,68,0.28503826023491863,0.3687312978136009,1/1
1,2026-04-03,2026-05-16,flip_wide@5m,13,0.1583253521047014,0.20292901169663982,1/1
1,2026-04-03,2026-05-16,trend_wide_stop@5m,49,0.03471055330155605,0.08459926480086466,1/1
1,2026-04-03,2026-05-16,counter_trend@5m,22,-0.22931329178765988,-0.14771351637748828,0/1
1,2026-04-03,2026-05-16,atr_pullback@5m,9,-0.06842455275866752,0.017732034164389596,0/1
1,2026-04-03,2026-05-16,atr_banded@5m,43,-0.016019692729299942,0.0631264015075338,0/1
1,2026-04-03,2026-05-16,atr_adx@5m,39,-0.185328271351729,-0.11117902508638548,0/1
1,2026-04-03,2026-05-16,atr_adx_both@5m,25,-0.2874868246962645,-0.22026829435377945,0/1
1,2026-04-03,2026-05-16,atr_t3@5m,80,-0.06826684990917449,0.016324076096517294,0/1
1,2026-04-03,2026-05-16,atr_t4@5m,76,-0.25578753311292957,-0.17192135056684166,0/1
1,2026-04-03,2026-05-16,manual_scalp@5m,112,-0.05061518414930416,0.0026035084300908918,0/1
1,2026-04-03,2026-05-16,manual_scalp_both@5m,83,-0.11817132780778761,-0.06757194638068485,0/1
1,2026-04-03,2026-05-16,manual_scalp_banded@5m,78,-0.013817741480920648,0.03282920444109159,0/1
1,2026-04-03,2026-05-16,manual_scalp_st@5m,96,-0.09069002771542428,-0.039344441680580815,0/1
1,2026-04-03,2026-05-16,manual_scalp_st_banded@5m,61,-0.06113838461182847,-0.01409121914979565,0/1
1,2026-04-03,2026-05-16,manual_flip@5m,14,-0.02520520557531175,0.020054010077520026,0/1
1,2026-04-03,2026-05-16,manual_v2@5m,21,0.07640511913463706,0.1192043750529723,1/1
1,2026-04-03,2026-05-16,manual_stb_t15@5m,53,0.13098742171095132,0.17728288683192053,1/1
1,2026-04-03,2026-05-16,manual_stb_t20@5m,47,0.06751243885040221,0.11274156566990506,1/1
1,2026-04-03,2026-05-16,atr_banded_adx@5m,14,-0.23740268055203811,-0.17117543252849524,0/1
2,2026-05-16,2026-06-29,hwpr_v2@5m,45,-0.4509859390968488,-0.4065103345895356,0/1
2,2026-05-16,2026-06-29,atr_arm@5m,268,0.033862567002090144,0.09192151718649114,1/1
2,2026-05-16,2026-06-29,flip@5m,79,-0.19101046586657255,-0.08584005702164547,0/1
2,2026-05-16,2026-06-29,trend_pure@5m,62,-0.31579100232874713,-0.2672896952715053,0/1
2,2026-05-16,2026-06-29,st_only@5m,218,-0.06235279055000124,-0.0046843225005028435,0/1
2,2026-05-16,2026-06-29,adx_only@5m,134,-0.002534045583741186,0.05425498701020569,0/1
2,2026-05-16,2026-06-29,wpr_only@5m,317,-0.10997331182165533,-0.05001084369691353,0/1
2,2026-05-16,2026-06-29,hwpr_no_confirm@5m,90,-0.32640618113940045,-0.2745903769462277,0/1
2,2026-05-16,2026-06-29,st_flip_atr@5m,209,-0.01077899651230466,0.05007558542129928,0/1
2,2026-05-16,2026-06-29,flip_wide@5m,43,-0.268134792504265,-0.24410263319856582,0/1
