cell,trades,blocks_net_pos,blocks_gross_pos,net_by_block,trades_by_block,mean_net
15m x2ATR 24h,1986,1,3,+0.025 -0.112 -0.166 -0.090,485 531 544 426,-0.08860441039352424
15m x2ATR 720h,1940,1,1,+0.023 -0.125 -0.195 -0.118,471 522 527 420,-0.10661735818603604
15m x8ATR 24h,1686,2,2,+0.044 -0.085 +0.015 -0.074,424 408 418 436,-0.02487585187431641
15m x8ATR 168h,586,3,4,+0.117 +0.080 +0.111 -0.018,157 149 138 142,0.07326141075622186
15m x8ATR 720h,470,4,4,+0.034 +0.001 +0.079 +0.326,128 121 127 94,0.09629770831550614
15m x16ATR 720h,198,2,2,-0.079 +0.160 -0.089 +0.345,51 51 58 38,0.06089420461048637
60m x2ATR 24h,1240,1,3,-0.069 -0.088 +0.027 -0.010,326 320 319 275,-0.03634806966038244
60m x2ATR 720h,1002,1,2,-0.091 -0.124 +0.002 -0.047,262 255 256 229,-0.06558458882781888
60m x4ATR 720h,431,3,4,+0.189 -0.022 +0.041 +0.011,112 114 110 95,0.05622312688430899
60m x8ATR 24h,395,2,4,-0.018 +0.010 +0.146 -0.010,82 82 87 144,0.026731495018221686
60m x8ATR 168h,169,3,3,-0.095 +0.046 +0.462 +0.038,33 41 42 53,0.11964705552714462
60m x8ATR 720h,124,3,3,+0.044 -0.054 +0.654 +0.290,23 30 35 36,0.26370047017221343
