symbol,turnover_usd,oi_usd,age_days,bars,synth_pct,halt_bars,coverage,maker,taker,contract_value,tick_size,funding_h,max_lev
BTCUSD,682263756.3024956,90542916.321,967.6909490740741,43189,0.0,0,0.9999537037037037,0.0002,0.0005,0.001,0.5,8.0,200.0
ETHUSD,391498576.05050343,54740719.6312,918.737037037037,43191,0.01620708017874094,0,0.9999537037037037,0.0002,0.0005,0.01,0.05,8.0,200.0
SOLUSD,59987409.1287999,18219797.28,855.7563425925925,43199,1.5555915646195513,0,0.9999537037037037,0.0002,0.0005,1.0,0.0001,8.0,100.0
BEATUSD,40904351.51800011,763673.3783,218.80542824074075,43198,5.7919348117968426,0,0.9999537037037037,0.0002,0.0005,10.0,0.0001,4.0,20.0
XRPUSD,9825752.50050003,5736466.4553,854.0108333333334,43196,6.817760903787387,0,0.9999537037037037,0.0002,0.0005,1.0,0.0001,8.0,100.0
BLESSUSD,5083532.311100013,286484.9712,308.9794444444444,43117,37.07354407774196,2542,0.35962962962962963,0.0002,0.0005,100.0,1e-06,4.0,20.0
HUSD,1888545.3370000026,607780.3782,391.9953587962963,43134,38.74205962813558,770,0.0,0.0002,0.0005,100.0,1e-05,4.0,20.0
KAITOUSD,322563.43960000004,47105.4698,536.8274537037037,43179,39.350147062229325,1986,0.0,0.0002,0.0005,1.0,0.0001,4.0,20.0
DOGEUSD,3529314.9941999996,818600.9337,855.8358101851852,43157,41.267928725351624,544,0.0,0.0002,0.0005,100.0,1e-06,8.0,100.0
ZECUSD,2177285.3730000025,489302.9873,309.7697685185185,43151,42.6015619568492,697,0.0,0.0002,0.0005,0.1,0.01,8.0,20.0
RIVERUSD,701020.8350000005,444940.0035,218.80041666666668,43157,50.70324628681326,1535,0.2025462962962963,0.0002,0.0005,1.0,0.001,4.0,20.0
ADAUSD,701277.2455900011,614314.5979,845.7001273148148,43156,54.430438409491146,1694,0.0,0.0002,0.0005,1.0,1e-05,8.0,100.0
UNIUSD,552815.7136000001,180112.8,849.0430902777778,43173,54.932480948741116,1832,0.0,0.0002,0.0005,1.0,0.0001,8.0,100.0
BNBUSD,2499606.3616000013,402861.416,853.9457638888889,43120,57.75510204081633,2216,0.0,0.0002,0.0005,0.1,0.001,8.0,100.0
AAVEUSD,909183.6520000002,493564.05,827.9711805555555,43161,61.37716920367925,2418,0.0,0.0002,0.0005,1.0,0.001,8.0,50.0
MMTUSD,3197933.3919999967,41688.1893,273.0058449074074,43019,63.70208512517724,16197,0.4323611111111111,0.0002,0.0005,10.0,0.0001,4.0,20.0
AVAAIUSD,341133.1172999999,24577.8439,564.9932060185185,43038,66.4087550536735,13444,0.8621527777777778,0.0002,0.0005,100.0,1e-06,4.0,20.0
LINKUSD,4362925.979000004,357706.1895,853.9517939814815,43130,66.64734523533504,3867,0.0,0.0002,0.0005,1.0,0.001,8.0,100.0
LTCUSD,738567.149,1001086.463,853.9918865740741,43143,66.9610365528591,2935,0.0,0.0002,0.0005,0.1,0.01,8.0,100.0
GIGGLEUSD,1636924.5679999974,46180.715,273.0059606481482,42331,69.50225602985991,20798,0.4080787037037037,0.0002,0.0005,0.1,0.01,4.0,20.0
AIOUSD,303305.5479999997,242839.8594,362.9626736111111,42965,70.3363202606773,12293,0.0,0.0002,0.0005,100.0,1e-05,4.0,20.0
HYPEUSD,410653.2235000002,296496.6402,433.9385648148148,43135,70.7708357482323,5225,0.0,0.0002,0.0005,0.1,0.001,4.0,20.0
AVAXUSD,640238.3481000002,346473.1733,855.74875,43048,73.04868983460324,5318,0.0,0.0002,0.0005,1.0,0.0001,8.0,100.0
BCHUSD,360450.68279999995,288049.454,854.0003703703703,43070,75.1149291850476,6286,0.0,0.0002,0.0005,0.01,0.01,8.0,100.0
LIGHTUSD,1178480.216,98610.0822,218.80030092592594,42732,76.78788729757558,18955,0.0,0.0002,0.0005,10.0,0.0001,4.0,20.0
TSTUSD,2582389.7929999996,50780.105,537.8740277777778,41970,78.41553490588515,25710,0.16319444444444445,0.0002,0.0005,100.0,1e-06,4.0,20.0
MUBARAKUSD,630358.8738000002,27664.4556,509.0434143518519,42797,78.58027431829335,23181,0.10645833333333334,0.0002,0.0005,10.0,1e-05,4.0,20.0
ARCUSD,552708.0969,71777.088,564.9372106481482,42882,78.61573620633366,16703,0.13756944444444444,0.0002,0.0005,10.0,1e-05,4.0,20.0
COOKIEUSD,1753097.0090000005,26048.7579,564.993425925926,41541,81.20170434029032,28113,0.2001851851851852,0.0002,0.0005,10.0,1e-05,4.0,20.0
LITUSD,529309.110999999,23965.3627,218.80060185185187,42889,81.87647182261186,17362,0.0,0.0002,0.0005,10.0,0.0001,4.0,20.0
BMTUSD,5274271.226499999,92639.3209,509.04347222222225,42076,87.51069493297841,34262,0.10280092592592592,0.0002,0.0005,10.0,1e-05,4.0,20.0
AINUSD,327510.03900000034,17876.4745,391.9951967592593,41554,94.2508543100544,33105,0.0,0.0002,0.0005,100.0,1e-05,4.0,20.0
