adx,rr,window,skipped_size,trades,wins,losses,win_rate,avg_win_r,avg_loss_r,net_r,gross_r,cost_r,t,end_equity,trades_per_day
0.0,1.0,train,17773,5995,2932,3063,0.4891,0.842,-1.158,-0.1802,-0.0219,0.1583,-12.52,32.94,17.0
0.0,1.0,valid,809,2544,1298,1246,0.5102,0.844,-1.158,-0.1365,0.0204,0.1569,-5.11,208.17,21.62
0.0,1.0,TEST,0,1887,940,947,0.4981,0.843,-1.157,-0.1606,-0.0025,0.1581,-5.26,233.01,16.04
0.0,1.5,train,17070,4868,1861,3007,0.3823,1.342,-1.158,-0.2024,-0.0443,0.1581,-10.45,41.6,13.8
0.0,1.5,valid,761,1962,781,1181,0.3981,1.344,-1.157,-0.1614,-0.0048,0.1566,-4.19,224.41,16.67
0.0,1.5,TEST,0,1414,581,833,0.4109,1.344,-1.159,-0.1302,0.0288,0.159,-2.89,313.42,12.02
0.0,2.0,train,13242,4237,1403,2834,0.3311,1.842,-1.158,-0.1647,-0.0066,0.1581,-6.61,85.08,12.01
0.0,2.0,valid,731,1633,557,1076,0.3411,1.845,-1.156,-0.1323,0.0233,0.1555,-2.56,288.37,13.88
0.0,2.0,TEST,0,1135,413,722,0.3639,1.842,-1.16,-0.0673,0.0908,0.1581,-1.2,410.07,9.65
20.0,1.0,train,12919,5577,2733,2844,0.49,0.841,-1.158,-0.1783,-0.0199,0.1584,-11.93,40.85,15.81
20.0,1.0,valid,592,2389,1224,1165,0.5123,0.844,-1.158,-0.1321,0.0247,0.1568,-4.84,225.39,20.31
20.0,1.0,TEST,0,1794,878,916,0.4894,0.844,-1.157,-0.1778,-0.0199,0.1579,-5.69,223.99,15.25
20.0,1.5,train,12265,4579,1746,2833,0.3813,1.342,-1.158,-0.205,-0.0467,0.1582,-10.03,46.82,12.98
20.0,1.5,valid,577,1855,745,1110,0.4016,1.343,-1.157,-0.1532,0.004,0.1572,-3.85,243.54,15.77
20.0,1.5,TEST,0,1365,549,816,0.4022,1.344,-1.158,-0.1514,0.0071,0.1584,-3.37,296.35,11.6
20.0,2.0,train,9342,4005,1327,2678,0.3313,1.841,-1.158,-0.1643,-0.006,0.1583,-6.43,94.13,11.36
20.0,2.0,valid,475,1546,537,1009,0.3473,1.844,-1.156,-0.1138,0.042,0.1558,-2.24,318.93,13.14
20.0,2.0,TEST,0,1110,387,723,0.3486,1.846,-1.158,-0.111,0.0469,0.1578,-1.99,364.83,9.44
25.0,1.0,train,8011,4669,2249,2420,0.4817,0.841,-1.158,-0.1952,-0.0366,0.1586,-11.9,50.46,13.24
25.0,1.0,valid,342,2054,1052,1002,0.5122,0.844,-1.157,-0.1321,0.0243,0.1564,-4.68,252.08,17.46
25.0,1.0,TEST,0,1641,819,822,0.4991,0.844,-1.157,-0.1585,-0.0004,0.1581,-4.91,259.62,13.95
25.0,1.5,train,6969,3970,1492,2478,0.3758,1.341,-1.158,-0.2187,-0.0605,0.1583,-9.9,55.98,11.26
25.0,1.5,valid,345,1632,680,952,0.4167,1.343,-1.157,-0.1151,0.0417,0.1567,-2.93,310.23,13.87
25.0,1.5,TEST,0,1255,510,745,0.4064,1.345,-1.158,-0.1407,0.0177,0.1584,-3.14,319.6,10.67
25.0,2.0,train,5831,3500,1132,2368,0.3234,1.841,-1.158,-0.1879,-0.0297,0.1582,-6.86,94.48,9.93
25.0,2.0,valid,303,1365,487,878,0.3568,1.843,-1.157,-0.0866,0.0703,0.157,-1.68,368.75,11.61
25.0,2.0,TEST,0,1038,371,667,0.3574,1.846,-1.156,-0.0829,0.0732,0.1561,-1.41,400.53,8.82
30.0,1.0,train,3919,3441,1673,1768,0.4862,0.842,-1.158,-0.186,-0.0276,0.1584,-9.74,99.84,9.76
30.0,1.0,valid,181,1550,787,763,0.5077,0.846,-1.157,-0.1403,0.0155,0.1558,-4.25,288.87,13.18
30.0,1.0,TEST,0,1338,643,695,0.4806,0.844,-1.157,-0.1957,-0.0384,0.1573,-5.52,258.71,11.37
30.0,1.5,train,3269,3042,1160,1882,0.3813,1.342,-1.158,-0.2046,-0.0467,0.1579,-8.25,103.99,8.63
30.0,1.5,valid,200,1295,535,760,0.4131,1.346,-1.156,-0.122,0.0328,0.1549,-2.67,334.72,11.01
30.0,1.5,TEST,0,1052,415,637,0.3945,1.343,-1.157,-0.171,-0.0135,0.1574,-3.59,317.31,8.94
30.0,2.0,train,3134,2706,872,1834,0.3222,1.841,-1.157,-0.1911,-0.0333,0.1578,-6.48,134.97,7.67
30.0,2.0,valid,179,1114,390,724,0.3501,1.845,-1.155,-0.105,0.0503,0.1553,-1.87,370.57,9.48
30.0,2.0,TEST,0,885,292,593,0.3299,1.841,-1.158,-0.1685,-0.0118,0.1568,-2.77,342.47,7.52
