reading,sl_pct,target_r,tr_trades,tr_n_eff,tr_win_rate,tr_avg_win_r,tr_avg_loss_r,tr_gross_r,tr_cost_r,tr_net_r,tr_se,tr_t,tr_risk_per_trade_pct,tr_end_equity,tr_trades_per_day,tr_dur_median,va_trades,va_n_eff,va_win_rate,va_avg_win_r,va_avg_loss_r,va_gross_r,va_cost_r,va_net_r,va_se,va_t,va_risk_per_trade_pct,va_end_equity,va_trades_per_day,va_dur_median
cross,0.0025,2.0,9034,8596.4,0.3325,1.346,-1.673,-0.0011,0.6677,-0.6688,0.0161,-41.46,0.062,227.96,25.68,10.0,7065,4779.4,0.3482,1.361,-1.643,0.045,0.6418,-0.5968,0.0208,-28.75,0.062,714.64,60.04,17.0
cross,0.005,2.0,12375,8630.0,0.3223,1.682,-1.318,-0.033,0.3183,-0.3513,0.0151,-23.27,0.125,42.76,35.06,41.0,3981,2537.9,0.3497,1.687,-1.316,0.049,0.3151,-0.2661,0.0284,-9.35,0.125,2642.47,33.83,52.0
cross,0.0075,2.0,9225,5991.9,0.3234,1.789,-1.211,-0.0299,0.2111,-0.241,0.0181,-13.29,0.188,149.76,26.15,77.0,2464,1210.4,0.3433,1.792,-1.209,0.03,0.2089,-0.1789,0.041,-4.36,0.188,4337.51,20.94,102.0
cross,0.01,2.0,6270,3999.5,0.3276,1.842,-1.158,-0.0172,0.158,-0.1752,0.0223,-7.87,0.25,616.64,17.77,123.0,1709,773.7,0.3423,1.844,-1.156,0.0269,0.1556,-0.1287,0.0512,-2.51,0.25,5708.68,14.52,159.0
cross,0.015,2.0,3374,2296.9,0.3248,1.895,-1.104,-0.0255,0.1045,-0.13,0.0293,-4.43,0.375,1842.3,9.57,267.0,885,402.8,0.3412,1.896,-1.099,0.0237,0.101,-0.0772,0.0709,-1.09,0.375,7642.41,7.52,363.0
cross,0.02,2.0,2132,1542.8,0.3452,1.922,-1.078,0.0356,0.0781,-0.0424,0.0363,-1.17,0.5,6027.78,6.05,451.0,548,311.6,0.312,1.914,-1.079,-0.0639,0.0815,-0.1454,0.0787,-1.85,0.5,6625.13,4.66,611.0
cross,0.03,2.0,1046,849.6,0.3509,1.949,-1.05,0.0526,0.0504,0.0022,0.0491,0.05,0.75,9583.55,2.97,972.0,276,174.1,0.3007,1.949,-1.05,-0.0978,0.0505,-0.1483,0.1047,-1.42,0.75,7247.78,2.35,1235.5
cross,0.01,1.0,9500,6150.9,0.4878,0.842,-1.158,-0.0244,0.1582,-0.1826,0.0127,-14.32,0.25,126.8,26.92,82.0,2682,1468.6,0.5097,0.844,-1.157,0.0194,0.1569,-0.1375,0.0261,-5.27,0.25,3942.84,22.79,97.0
cross,0.01,1.5,7577,4949.8,0.3854,1.342,-1.158,-0.0366,0.158,-0.1945,0.0173,-11.25,0.25,242.21,21.48,105.0,2060,1034.4,0.399,1.344,-1.157,-0.0024,0.1566,-0.159,0.0381,-4.17,0.25,4366.49,17.51,125.0
cross,0.01,2.0,6270,3999.5,0.3276,1.842,-1.158,-0.0172,0.158,-0.1752,0.0223,-7.87,0.25,616.64,17.77,123.0,1709,773.7,0.3423,1.844,-1.156,0.0269,0.1556,-0.1287,0.0512,-2.51,0.25,5708.68,14.52,159.0
cross,0.01,3.0,4690,3232.8,0.2505,2.842,-1.158,0.0021,0.1578,-0.1556,0.0305,-5.1,0.25,1542.78,13.3,149.5,1262,518.2,0.2536,2.844,-1.153,0.0143,0.1539,-0.1397,0.0765,-1.83,0.25,6359.19,10.73,205.5
from_zone,0.0025,2.0,9271,8341.5,0.3351,1.345,-1.685,0.0073,0.6769,-0.6696,0.0167,-40.16,0.062,205.48,26.28,10.0,7707,5262.5,0.3492,1.36,-1.644,0.0475,0.6423,-0.5949,0.0198,-30.03,0.062,567.55,65.5,15.0
from_zone,0.005,2.0,13112,8751.6,0.3254,1.682,-1.319,-0.0239,0.3186,-0.3425,0.015,-22.79,0.125,35.7,37.16,39.0,4255,2963.3,0.3502,1.687,-1.317,0.0505,0.3156,-0.265,0.0263,-10.06,0.125,2425.21,36.17,48.0
from_zone,0.0075,2.0,9730,6308.2,0.3221,1.789,-1.211,-0.0337,0.2112,-0.2449,0.0177,-13.87,0.188,110.88,27.58,74.0,2610,1321.1,0.3448,1.792,-1.209,0.0345,0.2087,-0.1742,0.0393,-4.44,0.188,4222.68,22.18,95.0
from_zone,0.01,2.0,6600,4507.4,0.3267,1.842,-1.158,-0.02,0.158,-0.178,0.021,-8.5,0.25,508.34,18.71,119.0,1765,860.5,0.3473,1.845,-1.155,0.0419,0.1552,-0.1133,0.0487,-2.32,0.25,5997.22,15.0,151.0
from_zone,0.015,2.0,3465,2316.3,0.3221,1.895,-1.105,-0.0338,0.1047,-0.1385,0.0291,-4.75,0.375,1576.23,9.82,254.0,901,430.1,0.3307,1.897,-1.1,-0.0078,0.1011,-0.1089,0.0681,-1.6,0.375,6835.11,7.66,342.0
from_zone,0.02,2.0,2174,1494.1,0.3372,1.922,-1.078,0.0115,0.0783,-0.0668,0.0367,-1.82,0.5,4581.24,6.17,444.5,554,287.9,0.3195,1.915,-1.078,-0.0415,0.0804,-0.1219,0.0824,-1.48,0.5,7037.85,4.71,538.5
from_zone,0.03,2.0,1048,845.2,0.3569,1.948,-1.05,0.0706,0.0504,0.0202,0.0494,0.41,0.75,11035.17,2.97,950.5,286,172.2,0.3042,1.947,-1.05,-0.0874,0.0511,-0.1386,0.1055,-1.31,0.75,7314.9,2.43,1139.5
from_zone,0.01,1.0,9989,6057.7,0.4866,0.842,-1.158,-0.0267,0.1582,-0.185,0.0128,-14.4,0.25,95.48,28.3,78.0,2768,1425.5,0.5033,0.844,-1.157,0.0065,0.1567,-0.1502,0.0265,-5.66,0.25,3505.44,23.53,94.0
from_zone,0.01,1.5,7937,5295.2,0.3854,1.342,-1.158,-0.0365,0.158,-0.1945,0.0167,-11.63,0.25,203.19,22.5,103.0,2134,1064.3,0.4096,1.345,-1.156,0.0239,0.1557,-0.1318,0.0377,-3.49,0.25,4899.73,18.14,125.0
from_zone,0.01,2.0,6600,4507.4,0.3267,1.842,-1.158,-0.02,0.158,-0.178,0.021,-8.5,0.25,508.34,18.71,119.0,1765,860.5,0.3473,1.845,-1.155,0.0419,0.1552,-0.1133,0.0487,-2.32,0.25,5997.22,15.0,151.0
from_zone,0.01,3.0,4906,3316.4,0.2481,2.842,-1.158,-0.0077,0.1579,-0.1657,0.03,-5.52,0.25,1251.66,13.91,142.0,1282,591.0,0.252,2.844,-1.153,0.0078,0.1534,-0.1456,0.0714,-2.04,0.25,6194.59,10.9,197.5
