symbol,definition,horizon,endpoint,n_shock,n_base,median_shock,median_base,mean_shock,mean_base,ratio_median,ratio_mean,ci_low,ci_high,p_perm,tier,excluded_no_outcome
BTCUSD,C1_rvol_median,30,raw,5365,278594,0.001595761687938121,0.001273046351112124,0.0025545564502265647,0.001890221979965326,1.2534984971631826,1.3514584410204695,1.2026244811663718,1.3080631427159068,9.999000099990002e-05,PRIMARY,1
ETHUSD,C1_rvol_median,30,raw,5480,290041,0.002456219660855444,0.001995797748609271,0.0038551093137716096,0.0030080528356875697,1.2306956767372887,1.2815962765130164,1.1879520560491972,1.285693652852003,9.999000099990002e-05,PRIMARY,0
BTCUSD,C1_rvol_median,30,normalised,5365,278594,0.588739493275903,0.42713814252737453,0.8591401668235199,0.5865657037329434,1.3783350973816901,1.4646955342869425,1.3248720126042088,1.426667465959647,9.999000099990002e-05,pre-specified,1
ETHUSD,C1_rvol_median,30,normalised,5480,290041,0.5774365952415736,0.42787892943081063,0.8453200326594866,0.601900058175908,1.3495326727345824,1.404419257278819,1.3069383286344503,1.3989335289579183,9.999000099990002e-05,pre-specified,0
BTCUSD,C2_logvol_z,30,raw,16,601228,,,,,,,,,,pre-specified,0
BTCUSD,C2_logvol_z,30,normalised,16,601228,,,,,,,,,,pre-specified,0
ETHUSD,C2_logvol_z,30,raw,11,620280,,,,,,,,,,pre-specified,0
ETHUSD,C2_logvol_z,30,normalised,11,620280,,,,,,,,,,pre-specified,0
BTCUSD,C1_rvol_median,15,raw,5363,278611,0.001165675071337325,0.0008974165736676508,0.0019042461613608432,0.0013312230589051669,1.2989230481595955,1.4304486003472219,,,,pre-specified,3
BTCUSD,C1_rvol_median,15,normalised,5363,278611,0.6204903192421928,0.42502927027260906,0.9067240682397187,0.5807905208248004,1.459876678244341,1.561189509346759,,,,pre-specified,3
BTCUSD,C1_rvol_median,60,raw,5364,278593,0.0022405785826345474,0.0017903275965479015,0.0034670638786816863,0.0026850110678667215,1.2514908371824336,1.291266140454429,,,,pre-specified,2
BTCUSD,C1_rvol_median,60,normalised,5364,278593,0.5867214945614305,0.4245570569036934,0.83230560463543,0.5925321776578478,1.3819614702447933,1.4046589130827543,,,,pre-specified,2
ETHUSD,C1_rvol_median,15,raw,5480,290029,0.001834888406295216,0.0014083607730862153,0.0028637243178466815,0.0020979607923864245,1.3028539571393545,1.365003735169523,,,,pre-specified,0
ETHUSD,C1_rvol_median,15,normalised,5480,290029,0.6201131172820493,0.4303431833018711,0.8890287776572159,0.5918243723888134,1.4409734866116402,1.5021834502502491,,,,pre-specified,0
ETHUSD,C1_rvol_median,60,raw,5478,290046,0.003346034091828747,0.0027923142807100764,0.005303834806987913,0.004291439648928569,1.1983013928424495,1.2359103799379085,,,,pre-specified,2
ETHUSD,C1_rvol_median,60,normalised,5478,290046,0.5490232953266676,0.4236484046014622,0.8262662926328534,0.6109850049169121,1.295940901378229,1.3523511804438104,,,,pre-specified,2
SOLUSD,C1_rvol_median,30,raw,7958,324282,0.002738052142366133,0.002537168295114102,0.004214800498934542,0.003691963691561598,1.0791763982069613,1.1416148291403696,1.047307904169326,1.1172519084127202,9.999000099990002e-05,pre-specified,2
SOLUSD,C1_rvol_median,30,normalised,7958,324282,0.5641692708180246,0.4641412665691238,0.7914132440609637,0.6188197491467724,1.215511981919418,1.2789075415775966,1.1808250925451573,1.2539836800447675,9.999000099990002e-05,pre-specified,2
XRPUSD,C1_rvol_median,30,raw,9806,227702,0.0023963507935507054,0.002422104813863301,0.0037320379006610363,0.0035894936574349667,0.9893670909016041,1.0397115183448828,0.9635999124374699,1.0194352149717028,0.6955304469553044,pre-specified,0
XRPUSD,C1_rvol_median,30,normalised,9806,227702,0.5503278253890767,0.4586523018571409,0.7563347982043793,0.6081727440144254,1.1998802211625887,1.2436183726550554,1.1652624705638803,1.2328805046435336,9.999000099990002e-05,pre-specified,0
BEATUSD,C1_rvol_median,30,raw,2493,115932,0.010278204146614586,0.008581566477028504,0.015598866352633384,0.01288984671184375,1.1977072221170473,1.2101669400226822,,,,exploratory,3
BEATUSD,C1_rvol_median,30,normalised,2493,115932,0.5111704409349214,0.4731500045824788,0.7195286602439604,0.6561350359721583,1.080355988553763,1.096616734050599,,,,exploratory,3
