symbol,definition,horizon,endpoint,n_shock,n_base,median_shock,median_base,mean_shock,mean_base,ratio_median,ratio_mean,ci_low,ci_high,p_perm,tier,excluded_no_outcome,third,start,end
BTCUSD,C1_rvol_median,30,raw,1699,97742,0.0017642496542070087,0.001378609865869091,0.002790409470578499,0.0019779177371227574,1.2797309071154848,1.410781357690669,,,,third_1,0,1,2025-01-01,2025-07-16
BTCUSD,C1_rvol_median,30,normalised,1699,97742,0.6108039047438801,0.4346103088160339,0.9036162134836766,0.5837215486122886,1.4054059288373373,1.548026136146404,,,,third_1,0,1,2025-01-01,2025-07-16
BTCUSD,C1_rvol_median,30,raw,1902,97177,0.0014467480222479252,0.001139983358997246,0.0022590903901363625,0.001669614488764235,1.2690957379592944,1.3530610840640391,,,,third_2,0,2,2025-07-16,2026-01-28
BTCUSD,C1_rvol_median,30,normalised,1902,97177,0.5907552421053051,0.4222262122873895,0.8503947693330997,0.5843301952268337,1.3991439302285804,1.4553325778466422,,,,third_2,0,2,2025-07-16,2026-01-28
BTCUSD,C1_rvol_median,30,raw,1764,83675,0.0016436838626102978,0.0013211231466649799,0.0026459749109485767,0.0020439885228558763,1.244156433682647,1.2945155422162549,,,,third_3,1,3,2026-01-28,2026-08-12
BTCUSD,C1_rvol_median,30,normalised,1764,83675,0.5623137893842738,0.4239477405632533,0.8257325379976541,0.5924842387780731,1.3263752476595077,1.3936784878879265,,,,third_3,1,3,2026-01-28,2026-08-12
ETHUSD,C1_rvol_median,30,raw,1917,105857,0.0027696956993265654,0.002375847213766016,0.004270182234946009,0.003444989027333934,1.1657718069068297,1.2395343500558809,,,,third_1,0,1,2025-01-01,2025-07-16
ETHUSD,C1_rvol_median,30,normalised,1917,105857,0.5848225491314916,0.45544174396104914,0.8580701355884557,0.6239723031741846,1.2840776167006498,1.375173435140312,,,,third_1,0,1,2025-01-01,2025-07-16
ETHUSD,C1_rvol_median,30,raw,1715,99847,0.002480534478694038,0.0019236806768608947,0.0039031022101146465,0.0028636488967780623,1.2894730963050633,1.3629821080741042,,,,third_2,0,2,2025-07-16,2026-01-28
ETHUSD,C1_rvol_median,30,normalised,1715,99847,0.5720149725551188,0.42079875359358904,0.8665620760253039,0.595255206546502,1.3593551969205109,1.4557824383474873,,,,third_2,0,2,2025-07-16,2026-01-28
ETHUSD,C1_rvol_median,30,raw,1848,84337,0.0021384712772750296,0.0016629391004146657,0.0033799996778843626,0.0026305855988779663,1.2859588644838447,1.284884886211666,,,,third_3,0,3,2026-01-28,2026-08-12
ETHUSD,C1_rvol_median,30,normalised,1848,84337,0.576991622798813,0.4023994151576563,0.8123806107508225,0.5820625830684075,1.4338778861613233,1.395692893482807,,,,third_3,0,3,2026-01-28,2026-08-12
