symbol,tier,horizon,endpoint,n_shock,n_base,unstratified_ratio,stratified_ratio,ci_low,ci_high,p_perm
BTCUSD,PRIMARY,30,raw,5365,278594,1.2534984971631826,1.0428829613965707,1.0035396503348493,1.0796705933767334,0.007799220077992201
ETHUSD,PRIMARY,30,raw,5480,290041,1.2306956767372887,1.0030105280570236,0.971789224530527,1.0387574733060123,0.44465553444655537
SOLUSD,PRIMARY,30,raw,7958,324282,1.0791763982069613,0.969837043229036,0.940372120193017,0.9979666923907887,0.9894010598940106
XRPUSD,PRIMARY,30,raw,9806,227702,0.9893670909016041,0.9727942045986566,0.9482369177878534,0.9997466747413885,0.9895010498950105
BTCUSD,secondary,30,normalised,5365,278594,1.3783350973816901,1.3349299098609304,1.283273698120812,1.384315476200184,9.999000099990002e-05
ETHUSD,secondary,30,normalised,5480,290041,1.3495326727345824,1.280739165644043,1.2429793920223269,1.3247312069424613,9.999000099990002e-05
SOLUSD,secondary,30,normalised,7958,324282,1.215511981919418,1.1961738425608444,1.1599847129264933,1.2326802629244573,9.999000099990002e-05
XRPUSD,secondary,30,normalised,9806,227702,1.1998802211625887,1.2112657724000275,1.180450803454581,1.2462460510375606,9.999000099990002e-05
BTCUSD,secondary,15,raw,5363,278611,1.2989230481595955,1.0948909917217469,,,
BTCUSD,secondary,60,raw,5364,278593,1.2514908371824336,1.0263647631305775,,,
ETHUSD,secondary,15,raw,5480,290029,1.3028539571393545,1.0637323116387132,,,
ETHUSD,secondary,60,raw,5478,290046,1.1983013928424495,0.9828252227037977,,,
