symbol,endpoint,horizon,decile,n_shock,n_base,median_shock,median_base,ratio,used
BTCUSD,raw,30,0,242,28154,0.0005353196255480476,0.0006090340341169722,0.8789650422807622,True
BTCUSD,raw,30,1,296,28100,0.0007627612649259074,0.0008423508013924347,0.9055149750733744,True
BTCUSD,raw,30,2,324,28072,0.0009716694346118718,0.0009832388090374403,0.9882334034018708,True
BTCUSD,raw,30,3,415,27981,0.0011853187820634334,0.00111628717342702,1.0618403671382206,True
BTCUSD,raw,30,4,442,27953,0.001229454769402175,0.0012620589576651329,0.9741658754807485,True
BTCUSD,raw,30,5,477,27919,0.0015450223944619118,0.0014124134381946203,1.0938882006367734,True
BTCUSD,raw,30,6,552,27844,0.0014259220273334246,0.0015683143232213224,0.9092067873260102,True
BTCUSD,raw,30,7,586,27810,0.001755056688633857,0.0017387551958273919,1.009375381218463,True
BTCUSD,raw,30,8,798,27598,0.002137867160799196,0.001954244814106199,1.093960769586066,True
BTCUSD,raw,30,9,1233,27163,0.0031930735580348976,0.0027440718768889523,1.163626064217747,True
ETHUSD,raw,30,0,252,29300,0.0009514047838311843,0.0009391603525222868,1.0130376365186338,True
ETHUSD,raw,30,1,302,29250,0.0014357579922760714,0.0013742292254860355,1.0447732922928301,True
ETHUSD,raw,30,2,341,29211,0.0016544338652040435,0.0015798086368721044,1.0472368783093193,True
ETHUSD,raw,30,3,376,29176,0.0018050044003687447,0.0018095991680458974,0.9974608920260976,True
ETHUSD,raw,30,4,446,29106,0.0018237391163937078,0.0019908731326506684,0.9160498911176541,True
ETHUSD,raw,30,5,488,29065,0.0021141027878310787,0.0021680225294167066,0.9751295289352299,True
ETHUSD,raw,30,6,526,29026,0.002199911219401012,0.0023698660853307763,0.9282850339174152,True
ETHUSD,raw,30,7,631,28920,0.002780311727203369,0.0026667270847033834,1.042593275911704,True
ETHUSD,raw,30,8,768,28784,0.0029942593712163033,0.0030688501623537656,0.9756942218774696,True
ETHUSD,raw,30,9,1350,28203,0.004375122500350086,0.004178194313141459,1.0471323668670076,True
SOLUSD,raw,30,0,592,32632,0.0012578922627806213,0.0013830037073595358,0.9095364358655406,True
SOLUSD,raw,30,1,555,32669,0.0016309589203584174,0.0017957500649286823,0.9082326946334764,True
SOLUSD,raw,30,2,593,32631,0.0020092243048729897,0.002062871715591249,0.9739938211800615,True
SOLUSD,raw,30,3,631,32593,0.0020962170971117566,0.002254286620873716,0.9298804675952453,True
SOLUSD,raw,30,4,700,32524,0.0025786957218347853,0.002474315358650841,1.0421855535993032,True
SOLUSD,raw,30,5,722,32502,0.0026200668311444388,0.002606034075798059,1.0053847167528238,True
SOLUSD,raw,30,6,760,32464,0.002938872768649492,0.0029186729697552134,1.0069208846292816,True
SOLUSD,raw,30,7,930,32294,0.002902643727855159,0.003282917233156609,0.8841659785203274,True
SOLUSD,raw,30,8,1031,32193,0.003737461358528734,0.003850544573626009,0.9706318903897829,True
SOLUSD,raw,30,9,1444,31780,0.005422434982357813,0.00533581228570387,1.0162342099039035,True
XRPUSD,raw,30,0,916,22835,0.0011811372961023383,0.0013258436749087556,0.8908571338047255,True
XRPUSD,raw,30,1,931,22820,0.0014117474574160127,0.0016657416400185612,0.8475188609683082,True
XRPUSD,raw,30,2,914,22837,0.0018548174880117065,0.00185120221389654,1.0019529331199086,True
XRPUSD,raw,30,3,904,22846,0.002084005161504286,0.0020749181510380937,1.004379454901219,True
XRPUSD,raw,30,4,992,22759,0.0021300832482787505,0.0023259252758756443,0.9158003786157038,True
XRPUSD,raw,30,5,968,22783,0.0025386618736479836,0.002544473841177785,0.997715847010983,True
XRPUSD,raw,30,6,967,22783,0.0027150998150513197,0.0028557424253598963,0.95075094691327,True
XRPUSD,raw,30,7,1001,22750,0.0032327209297870396,0.0032406456642562927,0.9975545816203661,True
XRPUSD,raw,30,8,1000,22751,0.0037922291511747813,0.0037013712078963973,1.0245471038096774,True
XRPUSD,raw,30,9,1213,22538,0.005905128134884651,0.005536888757896529,1.0665065514388294,True
BTCUSD,normalised,30,0,242,28154,0.389830036312828,0.33592776542789826,1.1604579211136956,True
BTCUSD,normalised,30,1,296,28100,0.4326813094110713,0.372715761430945,1.1608881463716594,True
BTCUSD,normalised,30,2,324,28072,0.46688391487751835,0.39893962417985784,1.1703122141284932,True
BTCUSD,normalised,30,3,415,27981,0.5030941703696399,0.40224536869203137,1.2507146372015057,True
BTCUSD,normalised,30,4,442,27953,0.5276853437495101,0.4297541060629018,1.2278773752362344,True
BTCUSD,normalised,30,5,477,27919,0.6132617291987864,0.44454709210775517,1.3795202804973832,True
