underlying,expiry_ts,expiry,spot_at_obs,settle,max_pain,n_strikes,total_oi,pull,move
BTC,1705147200,2024-01-13 12:00:00+00:00,45987.1,42623.50689655173,43200.0,28,0.11,-0.06060612650069255,-0.07314210079453305
BTC,1706184000,2024-01-25 12:00:00+00:00,40230.8,40217.520689655175,35800.0,41,0.11,-0.11013452379768741,-0.000330078207364197
BTC,1706875200,2024-02-02 12:00:00+00:00,42091.3,43156.048275862064,42200.0,51,0.025,0.0025824814153993124,0.02529616039091358
BTC,1707912000,2024-02-14 12:00:00+00:00,49917.5,51401.84827586208,45200.0,41,0.026000000000000002,-0.09450593479240747,0.02973602996668666
BTC,1708603200,2024-02-22 12:00:00+00:00,50955.9,51616.49310344828,51400.0,42,0.095,0.008715379377069163,0.012964016010869757
BTC,1708948800,2024-02-26 12:00:00+00:00,51642.8,51105.60000000001,51800.0,33,0.02,0.0030439867706630367,-0.010402224511451544
BTC,1709640000,2024-03-05 12:00:00+00:00,65069.0,66643.18275862071,64000.0,53,0.1,-0.016428714134226745,0.024192515001317177
BTC,1709985600,2024-03-09 12:00:00+00:00,67657.8,68270.78965517241,64400.0,52,0.001,-0.04815113704554394,0.009060147613023312
BTC,1710331200,2024-03-13 12:00:00+00:00,72105.4,73190.1068965517,71000.0,20,0.25,-0.015330335869435496,0.015043351767713794
BTC,1710676800,2024-03-17 12:00:00+00:00,68086.6,67047.61724137932,68600.0,53,1.3679999999999999,0.007540397082538916,-0.01525972450703488
BTC,1711022400,2024-03-21 12:00:00+00:00,63202.9,67062.17586206897,62400.0,53,1.052,-0.012703531008861959,0.06106168960710606
BTC,1711368000,2024-03-25 12:00:00+00:00,65461.1,66824.32413793103,64600.0,37,3.1559999999999997,-0.013154377179729618,0.020824950053253556
BTC,1711713600,2024-03-29 12:00:00+00:00,70788.2,70193.35862068967,71000.0,53,20.604999999999997,0.002992024094411257,-0.008403114916191182
BTC,1712059200,2024-04-02 12:00:00+00:00,69465.0,65364.62758620689,70000.0,29,43.827,0.007701720290793925,-0.05902789050303193
BTC,1712404800,2024-04-06 12:00:00+00:00,66307.7,67706.83333333334,66800.0,39,49.977000000000004,0.007424477096928455,0.021100616268296835
BTC,1712750400,2024-04-10 12:00:00+00:00,70869.5,69027.04137931034,70800.0,43,40.912,-0.0009806757490881126,-0.025997906302283266
BTC,1713096000,2024-04-14 12:00:00+00:00,67419.2,64053.57241379312,67400.0,43,33.188,-0.00028478534304763464,-0.049920906599409065
BTC,1713441600,2024-04-18 12:00:00+00:00,62741.1,62724.56896551725,62400.0,48,47.446,-0.005436627665119014,-0.00026348015069471443
BTC,1713787200,2024-04-22 12:00:00+00:00,65272.0,65857.41379310346,65000.0,35,53.791000000000004,-0.004167177350165461,0.008968834923144132
BTC,1714132800,2024-04-26 12:00:00+00:00,63756.8,64190.337931034475,64000.0,19,98.92099999999999,0.003814495081308928,0.006799869677186942
BTC,1714478400,2024-04-30 12:00:00+00:00,62328.3,61222.87586206896,62400.0,27,50.982,0.0011503602697329638,-0.01773550919776475
BTC,1714824000,2024-05-04 12:00:00+00:00,59208.0,64050.81379310345,60000.0,36,85.70900000000002,0.013376570733684636,0.08179323390594938
BTC,1715169600,2024-05-08 12:00:00+00:00,63519.6,62303.44482758621,63200.0,31,50.756,-0.005031517830716795,-0.019146140284475813
BTC,1715515200,2024-05-12 12:00:00+00:00,60724.2,61154.85517241379,60800.0,31,54.64,0.001248266753617222,0.007091985936641238
BTC,1715860800,2024-05-16 12:00:00+00:00,62456.0,66205.37931034483,62600.0,29,55.259,0.0023056231587037274,0.060032331727053065
BTC,1716206400,2024-05-20 12:00:00+00:00,67245.9,67078.42413793103,67000.0,24,54.994,-0.0036567285143033882,-0.0024904992284878057
BTC,1716552000,2024-05-24 12:00:00+00:00,69989.6,67341.82068965517,69000.0,52,119.583,-0.014139243544755303,-0.03783103933076964
BTC,1716897600,2024-05-28 12:00:00+00:00,68429.2,68399.40000000001,68400.0,22,41.47,-0.0004267184184528986,-0.00043548660513331093
BTC,1717243200,2024-06-01 12:00:00+00:00,68402.6,67675.13793103448,69000.0,28,66.273,0.00873358615023397,-0.010635006110374861
BTC,1717588800,2024-06-05 12:00:00+00:00,68999.9,70962.31724137932,69000.0,30,51.377,1.4492774628053196e-06,0.028440870803860988
BTC,1717934400,2024-06-09 12:00:00+00:00,69317.7,69367.42413793103,69000.0,25,66.161,-0.004583244972063371,0.0007173368119690781
BTC,1718280000,2024-06-13 12:00:00+00:00,67788.5,67809.15862068966,67800.0,39,62.125,0.00016964529381827302,0.0003047511110241544
BTC,1718625600,2024-06-17 12:00:00+00:00,66520.5,65843.38275862069,66400.0,27,89.18800000000002,-0.0018114716515961245,-0.0101790762453576
BTC,1718971200,2024-06-21 12:00:00+00:00,66149.3,63802.30344827585,66000.0,42,141.1,-0.0022570155693257964,-0.03548029309039023
BTC,1719316800,2024-06-25 12:00:00+00:00,61232.4,61204.78275862068,62400.0,32,56.043000000000006,0.01906833637094085,-0.0004510233369804988
BTC,1719662400,2024-06-29 12:00:00+00:00,61715.1,61146.21379310346,61600.0,25,73.843,-0.0018650216883712178,-0.00921794191205295
BTC,1720008000,2024-07-03 12:00:00+00:00,62801.7,60279.54137931035,62800.0,27,76.982,-2.7069330925708854e-05,-0.04016067432393783
BTC,1720353600,2024-07-07 12:00:00+00:00,56723.2,57426.10344827585,55800.0,41,166.894,-0.016275527473767298,0.012391815840358984
BTC,1720699200,2024-07-11 12:00:00+00:00,58443.2,58672.35862068966,58000.0,37,83.022,-0.007583431434281441,0.003921048482794592
BTC,1721044800,2024-07-15 12:00:00+00:00,60097.5,62465.29310344827,60000.0,31,70.02699999999999,-0.0016223636590540372,0.03939919469941791
BTC,1721390400,2024-07-19 12:00:00+00:00,64816.9,64007.700000000004,64600.0,52,136.226,-0.003346349486013701,-0.012484398359069889
BTC,1721736000,2024-07-23 12:00:00+00:00,67434.5,66702.09310344828,67600.0,28,69.58200000000001,0.0024542333671933505,-0.010861011745497064
BTC,1722081600,2024-07-27 12:00:00+00:00,67352.0,68174.48620689656,67000.0,37,84.08599999999998,-0.0052262739042641644,0.012211756249206548
BTC,1722427200,2024-07-31 12:00:00+00:00,66459.5,66095.48275862067,66600.0,36,69.0,0.002114069470880762,-0.005477279266009125
BTC,1722772800,2024-08-04 12:00:00+00:00,61854.6,60882.0551724138,61600.0,39,112.418,-0.004116104541941885,-0.015723080055261855
