underlying,entry_hours,population,n,first_expiry,last_expiry,premium_frac_of_spot,cost_frac_of_premium,gross_mean,gross_median,gross_ci_low,gross_ci_high,gross_t,net_mean,net_t,win_rate,worst_gross
BTC,24,daily,959,2024-01-06,2026-08-24,0.01658107672581486,0.0901296594429288,-0.0011137133635204406,0.2760846470169843,-0.06483277124016247,0.0580661347096382,-0.035417144062739554,-0.0958919441573374,-3.071726960023674,0.629822732012513,-11.419342419404819
BTC,48,daily,957,2024-01-10,2026-08-24,0.023716530173905036,0.06979659195069698,-0.037808434841225445,0.23781588353905364,-0.12892944794804603,0.04339456203314962,-0.8745201748673288,-0.10972216829641113,-2.5341512982317327,0.6217345872518286,-14.090890919510802
BTC,72,weekly+,137,2024-01-12,2026-08-21,0.03328618118875753,0.05949000586022951,-0.1338904058192091,0.2175316978166718,-0.34420638536316994,0.05093959919362103,-1.3264351134005359,-0.19254071819001423,-1.9074084036534347,0.5766423357664233,-10.753598792509866
BTC,120,weekly+,136,2024-01-19,2026-08-21,0.041928263326488614,0.05359712026997486,-0.07829376500418343,0.23179526893955144,-0.29353804469820444,0.10628797218688582,-0.7608082894824051,-0.13043258563263352,-1.2705873554668312,0.5955882352941176,-9.275514088063726
BTC,168,weekly+,136,2024-01-19,2026-08-21,0.048151589958477306,0.048705034283669346,-0.0764953502811005,0.3374698541736534,-0.270820733177646,0.09536610136974491,-0.8110985312841308,-0.12545977296356667,-1.3316624082650408,0.6176470588235294,-7.082033660890529
BTC,336,weekly+,135,2024-01-26,2026-08-21,0.0692381394106132,0.04263849266183837,-0.07913178291126109,0.18642157291943806,-0.2676480961944706,0.0973272226614715,-0.8518961325262716,-0.12096479166478052,-1.3032970922113938,0.5777777777777777,-3.5905509311171544
BTC,720,weekly+,30,2024-02-23,2026-07-31,0.10220222505553651,0.03753003760563716,-0.1021709259589775,0.14237606076552128,-0.3326402800096931,0.10363563630392014,-0.9133685483217417,-0.1389350833880722,-1.2476174182148654,0.6666666666666666,-2.246930776317602
ETH,24,daily,929,2024-02-07,2026-08-24,0.024205702040722497,0.07096052961364978,-0.02424138650715712,0.2744613829453536,-0.09492211133374981,0.045001971816882605,-0.6853232927186982,-0.09753079576830352,-2.7521964538293284,0.6210979547900969,-13.94795288212303
ETH,48,daily,928,2024-02-08,2026-08-24,0.033595267451558254,0.0584602519236152,-0.07982791759500524,0.22679284520285745,-0.16946404928749853,0.0076904176745836465,-1.7548214668187294,-0.13861509637155375,-3.0415647889676247,0.6099137931034483,-11.149077628039105
ETH,72,weekly+,133,2024-02-09,2026-08-21,0.047162419788284365,0.04922317049849267,-0.1673866022794804,0.16085508438773008,-0.37954856648466534,0.04282146508380635,-1.5292589735544673,-0.21689577813137495,-1.9816747285578336,0.556390977443609,-10.106996481819161
ETH,120,weekly+,132,2024-02-16,2026-08-21,0.05782733530813039,0.04663165924208028,-0.14187678439048235,0.21787605365378332,-0.3261734798726687,0.022410495127832625,-1.5917506802974675,-0.18674206637190746,-2.092924523504566,0.6136363636363636,-7.698437202630352
ETH,168,weekly+,132,2024-02-16,2026-08-21,0.06785994074817572,0.04383288743424876,-0.061972380656873535,0.37347052978157197,-0.2273945792017892,0.08691417031570482,-0.7676593705147406,-0.10450034599917402,-1.2918374417830878,0.6212121212121212,-5.818189932003991
ETH,336,weekly+,131,2024-02-23,2026-08-21,0.09740528716350488,0.0391978089957689,-0.129894695879011,0.1702276634078442,-0.30244321813775354,0.032104383632146474,-1.5220648445400835,-0.16753991232693052,-1.9596453846771247,0.5648854961832062,-3.691949320823797
ETH,720,weekly+,29,2024-03-29,2026-07-31,0.14118636244052543,0.035505854550111994,-0.24788075648720184,0.03489517914770486,-0.5356800159599558,-0.0035893505712710667,-1.811007705203893,-0.2820480954937625,-2.0623647493967927,0.5172413793103449,-2.7549355131702766
